,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_53082,0,0,0,0,0,0,0,0,0,0
1,sequence_19402,13,13,12,13,12,13,12,13,13,12
2,sequence_20054,4,4,4,5,4,5,4,5,5,4
3,sequence_20048,4,4,4,5,4,5,4,5,5,4
4,sequence_20036,4,4,4,5,4,5,4,5,5,4
5,sequence_19525,6,6,6,7,6,7,6,7,7,6
6,sequence_20061,10,10,11,12,11,12,11,12,12,11
7,sequence_19496,9,9,9,10,9,10,9,10,10,9
8,sequence_19477,1,1,1,1,1,1,1,1,1,1
9,sequence_19363,13,13,12,13,12,13,12,13,13,12
10,sequence_19500,12,12,16,17,16,17,16,17,17,16
11,sequence_19453,24,24,24,24,24,24,24,24,24,24
12,sequence_53075,2,2,2,2,2,2,2,2,2,2
13,sequence_19522,16,16,16,17,16,17,16,17,17,16
14,sequence_19523,29,29,29,29,29,29,29,30,30,30
15,sequence_53078,2,2,2,2,2,2,2,2,2,2
16,sequence_20069,14,14,13,14,13,14,13,14,14,13
17,sequence_53062,34,34,34,34,34,34,34,34,34,34
18,sequence_20060,10,10,11,12,11,12,11,12,12,11
19,sequence_53066,22,22,22,22,22,22,22,22,22,22
20,sequence_19417,18,18,18,19,18,19,18,19,19,18
21,sequence_19391,8,8,8,9,8,9,8,9,9,8
22,sequence_19447,3,3,3,4,3,4,3,4,4,3
23,sequence_53079,22,22,22,22,22,22,22,22,22,22
24,sequence_20042,7,7,7,8,7,8,7,8,8,7
25,sequence_19419,31,31,31,31,31,31,31,27,27,27
26,sequence_19425,23,23,23,23,23,23,23,23,23,23
27,sequence_19450,1,1,1,1,1,1,1,1,1,1
28,sequence_53085,32,32,32,32,32,32,32,32,32,32
29,sequence_19509,28,28,28,28,28,28,28,29,29,29
