id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,514911.68179999996
sequence_53082,55.0,sequence_20054,49.0,511019.4774
sequence_53082,55.0,sequence_20048,39.8,525248.1244
sequence_53082,55.0,sequence_20036,52.9,508136.7834
sequence_53082,55.0,sequence_19525,48.8,532521.1619
sequence_53082,55.0,sequence_20061,45.0,466886.2616
sequence_53082,55.0,sequence_19496,48.3,518889.14819999994
sequence_53082,55.0,sequence_19477,61.5,502459.92809999996
sequence_53082,55.0,sequence_19363,54.6,508165.2136
sequence_53082,55.0,sequence_19500,51.2,484742.5223
sequence_53082,55.0,sequence_19453,47.3,500133.0562
sequence_53082,55.0,sequence_53075,51.6,474559.6535
sequence_53082,55.0,sequence_19522,45.4,509992.0679
sequence_53082,55.0,sequence_19523,50.8,516048.4173
sequence_53082,55.0,sequence_53078,43.3,485268.4817
sequence_53082,55.0,sequence_20069,53.4,508359.01490000007
sequence_53082,55.0,sequence_53062,49.1,382918.208
sequence_53082,55.0,sequence_20060,52.6,481364.0814
sequence_53082,55.0,sequence_53066,39.2,504376.944
sequence_53082,55.0,sequence_19417,47.9,527309.7525
sequence_53082,55.0,sequence_19391,46.8,541287.5615000001
sequence_53082,55.0,sequence_19447,51.0,504402.76560000004
sequence_53082,55.0,sequence_53079,47.8,490381.3692
sequence_53082,55.0,sequence_20042,49.4,482764.82920000004
sequence_53082,55.0,sequence_19419,53.3,497158.709
sequence_53082,55.0,sequence_19425,56.9,454098.0382
sequence_53082,55.0,sequence_19450,46.0,498376.6519
sequence_53082,55.0,sequence_53085,51.2,458708.92260000005
sequence_53082,55.0,sequence_19509,50.6,536812.7844
sequence_53082,55.0,sequence_53059,47.1,489095.3089999999
sequence_53082,55.0,sequence_19430,45.7,495255.2369
sequence_53082,55.0,sequence_20052,42.9,519581.24659999995
sequence_53082,55.0,sequence_19369,47.9,414793.15359999996
sequence_53082,55.0,sequence_53064,48.4,482108.31380000006
sequence_53082,55.0,sequence_20072,48.7,480613.5812
sequence_53082,55.0,sequence_20038,49.1,496028.00789999997
sequence_53082,55.0,sequence_20039,52.6,460396.3134
sequence_53082,55.0,sequence_19506,49.3,537717.941
sequence_53082,55.0,sequence_20064,47.3,378709.5959
sequence_53082,55.0,sequence_19530,45.6,517185.90450000006
sequence_53082,55.0,sequence_19498,63.2,520587.25879999995
sequence_53082,55.0,sequence_19504,50.6,473768.223
sequence_53082,55.0,sequence_19386,50.7,492179.836
sequence_53082,55.0,sequence_19519,50.3,480449.28930000006
sequence_53082,55.0,sequence_19404,51.3,432094.14560000005
sequence_53082,55.0,sequence_19446,39.5,519388.71140000003
sequence_53082,55.0,sequence_20063,48.9,484257.09030000004
sequence_53082,55.0,sequence_20043,46.6,402019.4373
sequence_53082,55.0,sequence_19497,54.9,503711.6784999999
sequence_53082,55.0,sequence_19490,52.9,517359.67410000006
sequence_53082,55.0,sequence_19376,53.0,490720.4232
sequence_53082,55.0,sequence_19406,53.8,510062.75789999997
sequence_53082,55.0,sequence_19405,48.7,518584.91620000004
sequence_53082,55.0,sequence_19382,52.0,500930.0998
sequence_53082,55.0,sequence_20067,50.8,501622.0569999999
sequence_53082,55.0,sequence_19409,51.1,486928.4488000001
sequence_53082,55.0,sequence_19354,60.0,509471.05350000004
sequence_53082,55.0,sequence_20040,47.2,523504.5342
sequence_53082,55.0,sequence_19370,51.7,466051.8343
sequence_53082,55.0,sequence_19432,51.0,523234.65550000005
sequence_53082,55.0,sequence_19371,49.0,532153.7071
sequence_53082,55.0,sequence_19434,48.0,486266.0032
sequence_53082,55.0,sequence_19505,42.4,491839.1928
sequence_53082,55.0,sequence_53070,45.7,478617.6193
sequence_53082,55.0,sequence_19392,50.5,491369.664
sequence_53082,55.0,sequence_19357,58.5,537448.8635
sequence_53082,55.0,sequence_20056,56.9,394774.3737
sequence_53082,55.0,sequence_19526,49.3,511204.5704
sequence_53082,55.0,sequence_20046,47.4,459023.29390000005
sequence_53082,55.0,sequence_19443,48.0,504458.45269999997
sequence_53082,55.0,sequence_19410,49.9,515218.48250000004
sequence_53082,55.0,sequence_19390,46.3,521918.11419999995
sequence_53082,55.0,sequence_19439,49.5,485632.7036
sequence_53082,55.0,sequence_20071,44.9,465497.8058
sequence_53082,55.0,sequence_19451,51.0,521973.9282
sequence_53082,55.0,sequence_20041,48.5,510035.96199999994
sequence_53082,55.0,sequence_19415,52.8,513393.2424000001
sequence_53082,55.0,sequence_20035,52.5,483824.2914
sequence_53082,55.0,sequence_20051,42.5,522108.47900000005
sequence_53082,55.0,sequence_19397,49.6,541551.7989
sequence_53082,55.0,sequence_19394,45.4,523476.4921
sequence_53082,55.0,sequence_19374,50.7,516772.26399999997
sequence_53082,55.0,sequence_19378,52.4,528328.5315
sequence_53082,55.0,sequence_19441,49.0,503501.159
sequence_53082,55.0,sequence_19433,50.1,512284.31070000003
sequence_53082,55.0,sequence_20062,57.9,478688.28929999995
sequence_53082,55.0,sequence_19393,53.7,524064.7544
sequence_53082,55.0,sequence_20065,46.5,502926.1167
sequence_53082,55.0,sequence_19383,50.5,515112.55370000005
sequence_53082,55.0,sequence_19422,46.6,514541.02470000007
sequence_53082,55.0,sequence_19495,58.9,529720.1951
sequence_53082,55.0,sequence_19431,50.5,483551.5008
sequence_53082,55.0,sequence_20058,54.9,505145.71239999996
sequence_53082,55.0,sequence_19488,51.3,538385.5189
sequence_53082,55.0,sequence_19375,49.9,530581.1706000001
sequence_53082,55.0,sequence_19511,62.4,421297.8871
sequence_53082,55.0,sequence_53065,44.8,460465.3423
sequence_53082,55.0,sequence_53074,48.3,475058.78229999996
sequence_53082,55.0,sequence_20050,47.9,488332.2158
sequence_53082,55.0,sequence_19515,50.4,490597.5
sequence_53082,55.0,sequence_20057,51.9,487545.3319
sequence_53082,55.0,sequence_19438,56.1,521171.4889
sequence_53082,55.0,sequence_19486,54.2,532360.7404
sequence_53082,55.0,sequence_19389,44.0,527768.154
sequence_53082,55.0,sequence_19468,54.8,482202.7584
sequence_53082,55.0,sequence_20068,50.6,497680.49409999995
sequence_53082,55.0,sequence_19420,40.6,476400.8256
sequence_53082,55.0,sequence_20076,55.7,477386.1495
sequence_53082,55.0,sequence_20070,51.8,463628.90009999997
sequence_53082,55.0,sequence_19399,47.5,520546.1889
sequence_53082,55.0,sequence_19436,46.4,510572.9314
sequence_53082,55.0,sequence_19492,58.5,465324.372
sequence_53082,55.0,sequence_19445,45.5,486765.5906
sequence_53082,55.0,sequence_19403,50.9,399621.7476
sequence_53082,55.0,sequence_19428,49.3,468809.0353
sequence_53082,55.0,sequence_19377,50.3,525545.5489
sequence_53082,55.0,sequence_19427,53.8,503910.0205
sequence_53082,55.0,sequence_19521,53.0,337394.3206
sequence_53082,55.0,sequence_20045,48.8,494876.28339999996
sequence_53082,55.0,sequence_19412,55.3,508110.88790000003
sequence_53082,55.0,sequence_19508,49.5,530911.7048
sequence_53082,55.0,sequence_53080,50.4,470559.12100000004
sequence_53082,55.0,sequence_20073,51.0,494602.4889
sequence_53082,55.0,sequence_19442,47.4,491155.2891
sequence_53082,55.0,sequence_53077,43.5,369243.0669
sequence_53082,55.0,sequence_19429,50.9,463571.573
sequence_53082,55.0,sequence_19416,49.4,537013.4684
sequence_53082,55.0,sequence_20055,46.3,509731.77729999996
sequence_53082,55.0,sequence_19388,48.4,534229.7689
sequence_53082,55.0,sequence_20049,43.9,484278.2425
sequence_53082,55.0,sequence_20059,52.3,479395.6789
sequence_53082,55.0,sequence_19467,64.4,510555.173
sequence_53082,55.0,sequence_19373,53.1,527192.6157
sequence_53082,55.0,sequence_19396,43.1,501922.027
sequence_53082,55.0,sequence_19527,50.1,521023.1321
sequence_53082,55.0,sequence_19435,51.4,503771.6346
sequence_53082,55.0,sequence_53069,50.9,474469.434
sequence_53082,55.0,sequence_19418,47.2,521703.2182
sequence_53082,55.0,sequence_20075,54.9,462868.9635
sequence_53082,55.0,sequence_19423,61.2,514301.1873
sequence_53082,55.0,sequence_19516,51.9,489004.98980000004
sequence_53082,55.0,sequence_19512,54.4,407281.6853
sequence_53082,55.0,sequence_19387,47.7,499606.5965
sequence_53082,55.0,sequence_53061,50.6,396511.612
sequence_53082,55.0,sequence_19448,46.3,468785.67760000005
sequence_53082,55.0,sequence_19469,50.5,490565.45139999996
sequence_53082,55.0,sequence_19449,54.3,506407.9656
sequence_53082,55.0,sequence_53063,44.0,473553.7095
sequence_53082,55.0,sequence_19457,43.6,523386.6757
sequence_53082,55.0,sequence_19466,56.9,479888.3996
sequence_53082,55.0,sequence_19494,60.0,501978.0829
sequence_53082,55.0,sequence_19454,43.1,530024.4774
sequence_53082,55.0,sequence_19529,48.8,503657.5828000001
sequence_53082,55.0,sequence_19426,56.3,517576.9752
sequence_53082,55.0,sequence_19491,48.8,525237.8775
sequence_53082,55.0,sequence_19421,53.0,505919.78870000003
sequence_53082,55.0,sequence_19514,53.0,492100.70349999995
sequence_53082,55.0,sequence_19368,56.2,518894.743
sequence_53082,55.0,sequence_19437,46.7,525465.9175
sequence_53082,55.0,sequence_20044,48.4,490134.1185
sequence_53082,55.0,sequence_19501,57.2,438017.2943
sequence_53082,55.0,sequence_20074,47.1,492243.4001999999
sequence_53082,55.0,sequence_19395,49.7,494670.4597
sequence_53082,55.0,sequence_19510,47.8,521189.0741000001
sequence_53082,55.0,sequence_19489,49.1,525804.7952
sequence_53082,55.0,sequence_19440,48.5,506824.347
sequence_53082,55.0,sequence_19408,51.1,509678.22250000003
sequence_53082,55.0,sequence_53076,46.3,412290.59239999996
sequence_53082,55.0,sequence_19372,49.2,532804.7901
sequence_53082,55.0,sequence_19507,46.0,500145.113
sequence_53082,55.0,sequence_20066,49.9,507729.99820000003
sequence_53082,55.0,sequence_19524,46.4,514598.52509999997
sequence_53082,55.0,sequence_19414,54.7,473446.5911
sequence_53082,55.0,sequence_19485,58.0,519931.3896
sequence_53082,55.0,sequence_19384,50.8,525386.2789
sequence_53082,55.0,sequence_19493,50.4,477941.3209
sequence_53082,55.0,sequence_19484,52.0,421429.5044
sequence_53082,55.0,sequence_53073,53.8,480816.2915
sequence_53082,55.0,sequence_20034,52.0,391313.9303
sequence_53082,55.0,sequence_19456,48.0,509162.30250000005
sequence_53082,55.0,sequence_53067,40.9,501804.4986
sequence_53082,55.0,sequence_19502,59.9,484988.6814
sequence_53082,55.0,sequence_20053,54.7,482689.92329999997
sequence_53082,55.0,sequence_19355,58.8,526573.1362
sequence_53082,55.0,sequence_19365,53.0,458598.01259999996
sequence_53082,55.0,sequence_20047,49.9,494458.69820000004
sequence_53082,55.0,sequence_19528,47.1,470876.3795
sequence_53082,55.0,sequence_19455,44.5,474491.8352
sequence_53082,55.0,sequence_19479,60.8,490127.39940000005
sequence_53082,55.0,sequence_19452,44.2,496011.50049999997
sequence_53082,55.0,sequence_19407,49.2,469555.5758
sequence_53082,55.0,sequence_19444,50.7,476430.86089999997
sequence_53082,55.0,sequence_19499,53.3,484174.9702
sequence_53082,55.0,sequence_19487,55.9,507172.0828
sequence_53082,55.0,sequence_19398,46.2,527675.3243
sequence_53082,55.0,sequence_19424,50.9,509802.1285
sequence_53082,55.0,sequence_20037,57.8,489577.9865
sequence_53082,55.0,sequence_53058,51.2,457111.088
sequence_53082,55.0,sequence_19458,62.9,361001.1966
sequence_53082,55.0,sequence_19470,61.0,502516.1275
sequence_53082,55.0,sequence_19364,57.1,501309.2919
sequence_53082,55.0,sequence_19366,60.0,497092.0584
sequence_53082,55.0,sequence_19361,55.6,473867.5833
sequence_53082,55.0,sequence_19358,59.1,522750.09329999995
sequence_53082,55.0,sequence_19360,63.5,520939.8628
sequence_53082,55.0,sequence_19474,64.4,512967.6061
sequence_53082,55.0,sequence_53060,47.9,505474.3851
sequence_53082,55.0,sequence_19473,60.6,480134.67819999997
sequence_53082,55.0,sequence_19459,59.2,430252.1881
sequence_53082,55.0,sequence_19481,63.1,531197.2358
sequence_53082,55.0,sequence_19465,62.9,520892.578
sequence_53082,55.0,sequence_19476,62.2,504734.0423
sequence_53082,55.0,sequence_19480,62.8,493392.41520000005
sequence_53082,55.0,sequence_19463,62.7,437910.7206
sequence_53082,55.0,sequence_19464,62.2,496359.5224
sequence_53082,55.0,sequence_19359,59.3,482510.4597
sequence_53082,55.0,sequence_19350,60.1,428766.4526
sequence_53082,55.0,sequence_19367,61.0,537870.3789
sequence_53082,55.0,sequence_19471,60.0,524691.9198
sequence_53082,55.0,sequence_19475,59.1,471704.7025
sequence_53082,55.0,sequence_19353,64.3,528691.1076
sequence_53082,55.0,sequence_19461,61.2,393413.5041
sequence_53082,55.0,sequence_19483,60.6,517021.7711
sequence_53082,55.0,sequence_19472,59.9,524448.4315
sequence_53082,55.0,sequence_19462,63.2,374270.4448
sequence_53082,55.0,sequence_19362,61.0,505845.6816
sequence_53082,55.0,sequence_19349,58.9,373129.3972
sequence_53082,55.0,sequence_19478,60.1,498646.84280000004
sequence_53082,55.0,sequence_19351,60.9,448911.466
sequence_53082,55.0,sequence_19460,61.0,317272.3569
sequence_53082,55.0,sequence_19352,58.5,499145.3083
sequence_53082,55.0,sequence_19482,59.3,482249.2415
sequence_53082,55.0,sequence_19518,61.6,516945.2563
sequence_53082,55.0,sequence_19356,59.0,518336.04209999996
sequence_53082,55.0,sequence_19503,60.0,531683.3016
sequence_53082,55.0,sequence_19517,61.6,478635.0277
sequence_53082,55.0,sequence_19520,58.7,530489.628
sequence_53082,55.0,sequence_19385,58.2,522044.40650000004
sequence_53082,55.0,sequence_19411,58.0,516946.0464
sequence_53082,55.0,sequence_19513,61.0,519912.74390000006
sequence_53082,55.0,sequence_19413,58.7,533740.1880000001
sequence_53082,55.0,sequence_53083,51.0,179739.3235
sequence_53082,55.0,sequence_53088,48.0,440229.77150000003
sequence_53082,55.0,sequence_19381,50.0,427191.6456
sequence_53082,55.0,sequence_53081,53.0,188870.2116
sequence_53082,55.0,sequence_53086,40.0,460529.6311
sequence_53082,55.0,sequence_53087,52.0,141996.27889999998
sequence_53082,55.0,sequence_19400,43.0,500498.23490000004
sequence_53082,55.0,sequence_53068,36.0,416233.7232
sequence_53082,55.0,sequence_53072,47.0,200574.2402
sequence_53082,55.0,sequence_53098,42.0,446195.7752
sequence_53082,55.0,sequence_53052,55.0,180775.6958
sequence_53082,55.0,sequence_53084,39.0,253323.63030000002
sequence_53082,55.0,sequence_53099,53.0,218586.9618
sequence_53082,55.0,sequence_53056,52.0,217653.4275
sequence_53082,55.0,sequence_19347,58.9,234313.4889
sequence_53082,55.0,sequence_19379,50.3,283340.5501
sequence_53082,55.0,sequence_19348,46.7,343400.4643
sequence_53082,55.0,sequence_19380,48.1,366031.20680000004
sequence_53082,55.0,sequence_19401,47.4,314122.657
sequence_19402,43.0,sequence_53082,55.0,514911.68179999996
sequence_19402,43.0,sequence_20054,49.0,472323.84660000005
sequence_19402,43.0,sequence_20048,39.8,365589.9074
sequence_19402,43.0,sequence_20036,52.9,421851.885
sequence_19402,43.0,sequence_19525,48.8,391727.6481
sequence_19402,43.0,sequence_20061,45.0,435479.13899999997
sequence_19402,43.0,sequence_19496,48.3,343358.77540000004
sequence_19402,43.0,sequence_19477,61.5,351795.8999
sequence_19402,43.0,sequence_19363,54.6,258074.47460000002
sequence_19402,43.0,sequence_19500,51.2,347654.4943
sequence_19402,43.0,sequence_19453,47.3,410833.04360000003
sequence_19402,43.0,sequence_53075,51.6,429565.8471
sequence_19402,43.0,sequence_19522,45.4,371491.14770000003
sequence_19402,43.0,sequence_19523,50.8,429114.5675
sequence_19402,43.0,sequence_53078,43.3,431568.9865
sequence_19402,43.0,sequence_20069,53.4,403292.46869999997
sequence_19402,43.0,sequence_53062,49.1,475296.6662
sequence_19402,43.0,sequence_20060,52.6,446832.74340000004
sequence_19402,43.0,sequence_53066,39.2,369485.2834
sequence_19402,43.0,sequence_19417,47.9,316294.2811
sequence_19402,43.0,sequence_19391,46.8,325578.29390000005
sequence_19402,43.0,sequence_19447,51.0,391148.57139999996
sequence_19402,43.0,sequence_53079,47.8,382070.7534
sequence_19402,43.0,sequence_20042,49.4,409142.3074
sequence_19402,43.0,sequence_19419,53.3,382711.01780000003
sequence_19402,43.0,sequence_19425,56.9,411795.8906
sequence_19402,43.0,sequence_19450,46.0,378845.00970000005
sequence_19402,43.0,sequence_53085,51.2,450304.5460000001
sequence_19402,43.0,sequence_19509,50.6,380992.8722
sequence_19402,43.0,sequence_53059,47.1,416979.6702
sequence_19402,43.0,sequence_19430,45.7,404016.1829
sequence_19402,43.0,sequence_20052,42.9,408688.6834
sequence_19402,43.0,sequence_19369,47.9,469362.2408
sequence_19402,43.0,sequence_53064,48.4,381242.51780000003
sequence_19402,43.0,sequence_20072,48.7,399828.1662
sequence_19402,43.0,sequence_20038,49.1,346580.3371
sequence_19402,43.0,sequence_20039,52.6,411076.8998
sequence_19402,43.0,sequence_19506,49.3,334579.5656
sequence_19402,43.0,sequence_20064,47.3,522451.4603
sequence_19402,43.0,sequence_19530,45.6,274363.8381
sequence_19402,43.0,sequence_19498,63.2,380552.6202
sequence_19402,43.0,sequence_19504,50.6,501460.63080000004
sequence_19402,43.0,sequence_19386,50.7,231733.3184
sequence_19402,43.0,sequence_19519,50.3,325461.4259
sequence_19402,43.0,sequence_19404,51.3,440078.4554
sequence_19402,43.0,sequence_19446,39.5,348275.5316
sequence_19402,43.0,sequence_20063,48.9,393578.8053
sequence_19402,43.0,sequence_20043,46.6,487314.4987
sequence_19402,43.0,sequence_19497,54.9,371206.60829999996
sequence_19402,43.0,sequence_19490,52.9,352468.2127
sequence_19402,43.0,sequence_19376,53.0,350995.4082
sequence_19402,43.0,sequence_19406,53.8,347524.0947
sequence_19402,43.0,sequence_19405,48.7,346120.78800000006
sequence_19402,43.0,sequence_19382,52.0,347991.55540000007
sequence_19402,43.0,sequence_20067,50.8,405446.4804
sequence_19402,43.0,sequence_19409,51.1,369202.13859999995
sequence_19402,43.0,sequence_19354,60.0,347266.2369
sequence_19402,43.0,sequence_20040,47.2,417243.93659999996
sequence_19402,43.0,sequence_19370,51.7,458331.9865
sequence_19402,43.0,sequence_19432,51.0,401863.9083
sequence_19402,43.0,sequence_19371,49.0,345213.2263
sequence_19402,43.0,sequence_19434,48.0,373961.9534
sequence_19402,43.0,sequence_19505,42.4,350917.0726
sequence_19402,43.0,sequence_53070,45.7,450365.39850000007
sequence_19402,43.0,sequence_19392,50.5,359899.42819999997
sequence_19402,43.0,sequence_19357,58.5,380699.4853
sequence_19402,43.0,sequence_20056,56.9,502954.5275
sequence_19402,43.0,sequence_19526,49.3,358159.1644
sequence_19402,43.0,sequence_20046,47.4,388990.2801
sequence_19402,43.0,sequence_19443,48.0,327462.09829999995
sequence_19402,43.0,sequence_19410,49.9,340028.0305
sequence_19402,43.0,sequence_19390,46.3,367061.9638
sequence_19402,43.0,sequence_19439,49.5,402275.32519999996
sequence_19402,43.0,sequence_20071,44.9,392315.24
sequence_19402,43.0,sequence_19451,51.0,389766.08040000004
sequence_19402,43.0,sequence_20041,48.5,389621.67799999996
sequence_19402,43.0,sequence_19415,52.8,321349.2036
sequence_19402,43.0,sequence_20035,52.5,419205.2150000001
sequence_19402,43.0,sequence_20051,42.5,373347.83999999997
sequence_19402,43.0,sequence_19397,49.6,363268.9397
sequence_19402,43.0,sequence_19394,45.4,261939.99690000003
sequence_19402,43.0,sequence_19374,50.7,378745.4798
sequence_19402,43.0,sequence_19378,52.4,316439.0145
sequence_19402,43.0,sequence_19441,49.0,346905.81899999996
sequence_19402,43.0,sequence_19433,50.1,411742.48449999996
sequence_19402,43.0,sequence_20062,57.9,414126.9475
sequence_19402,43.0,sequence_19393,53.7,371732.986
sequence_19402,43.0,sequence_20065,46.5,422766.1297
sequence_19402,43.0,sequence_19383,50.5,299800.35970000003
sequence_19402,43.0,sequence_19422,46.6,307378.23029999994
sequence_19402,43.0,sequence_19495,58.9,380803.73509999993
sequence_19402,43.0,sequence_19431,50.5,424007.93500000006
sequence_19402,43.0,sequence_20058,54.9,415033.8164
sequence_19402,43.0,sequence_19488,51.3,349154.5199
sequence_19402,43.0,sequence_19375,49.9,334875.543
sequence_19402,43.0,sequence_19511,62.4,494320.0133
sequence_19402,43.0,sequence_53065,44.8,338014.09630000003
sequence_19402,43.0,sequence_53074,48.3,448425.8187
sequence_19402,43.0,sequence_20050,47.9,368200.7334
sequence_19402,43.0,sequence_19515,50.4,302406.24860000005
sequence_19402,43.0,sequence_20057,51.9,388933.4959
sequence_19402,43.0,sequence_19438,56.1,417542.6331
sequence_19402,43.0,sequence_19486,54.2,389408.62919999997
sequence_19402,43.0,sequence_19389,44.0,311203.5792
sequence_19402,43.0,sequence_19468,54.8,363919.13659999997
sequence_19402,43.0,sequence_20068,50.6,418346.7379
sequence_19402,43.0,sequence_19420,40.6,384853.1352
sequence_19402,43.0,sequence_20076,55.7,428899.9993
sequence_19402,43.0,sequence_20070,51.8,426580.4195
sequence_19402,43.0,sequence_19399,47.5,229640.9989
sequence_19402,43.0,sequence_19436,46.4,336017.931
sequence_19402,43.0,sequence_19492,58.5,377840.23159999994
sequence_19402,43.0,sequence_19445,45.5,507756.4596
sequence_19402,43.0,sequence_19403,50.9,436292.73960000003
sequence_19402,43.0,sequence_19428,49.3,365264.0157
sequence_19402,43.0,sequence_19377,50.3,245554.0191
sequence_19402,43.0,sequence_19427,53.8,378169.06149999995
sequence_19402,43.0,sequence_19521,53.0,486585.5278
sequence_19402,43.0,sequence_20045,48.8,338188.9672
sequence_19402,43.0,sequence_19412,55.3,338179.8793
sequence_19402,43.0,sequence_19508,49.5,303473.1156
sequence_19402,43.0,sequence_53080,50.4,442961.2478
sequence_19402,43.0,sequence_20073,51.0,370718.2237
sequence_19402,43.0,sequence_19442,47.4,381050.0299
sequence_19402,43.0,sequence_53077,43.5,475725.65709999995
sequence_19402,43.0,sequence_19429,50.9,501885.963
sequence_19402,43.0,sequence_19416,49.4,353827.0806
sequence_19402,43.0,sequence_20055,46.3,451611.8297
sequence_19402,43.0,sequence_19388,48.4,335055.6509
sequence_19402,43.0,sequence_20049,43.9,442215.23309999995
sequence_19402,43.0,sequence_20059,52.3,412271.7537
sequence_19402,43.0,sequence_19467,64.4,409986.8472
sequence_19402,43.0,sequence_19373,53.1,367840.34530000004
sequence_19402,43.0,sequence_19396,43.1,357702.5816
sequence_19402,43.0,sequence_19527,50.1,372777.9339
