id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,261.9061042366803
sequence_53082,55.0,sequence_20054,49.0,288.49977061905554
sequence_53082,55.0,sequence_20048,39.8,284.8600277711455
sequence_53082,55.0,sequence_20036,52.9,260.03056172378956
sequence_53082,55.0,sequence_19525,48.8,277.9686081846176
sequence_53082,55.0,sequence_20061,45.0,233.63189589821283
sequence_53082,55.0,sequence_19496,48.3,267.71099600764217
sequence_53082,55.0,sequence_19477,61.5,230.81536254457032
sequence_53082,55.0,sequence_19363,54.6,232.67713830886046
sequence_53082,55.0,sequence_19500,51.2,220.32255643600624
sequence_53082,55.0,sequence_19453,47.3,274.89174101065896
sequence_53082,55.0,sequence_53075,51.6,193.54235030084698
sequence_53082,55.0,sequence_19522,45.4,262.07625618575
sequence_53082,55.0,sequence_19523,50.8,259.2161002534433
sequence_53082,55.0,sequence_53078,43.3,228.07553123921707
sequence_53082,55.0,sequence_20069,53.4,285.94380356640477
sequence_53082,55.0,sequence_53062,49.1,179.0103932627175
sequence_53082,55.0,sequence_20060,52.6,276.2861057877113
sequence_53082,55.0,sequence_53066,39.2,219.8419344049082
sequence_53082,55.0,sequence_19417,47.9,275.354915285677
sequence_53082,55.0,sequence_19391,46.8,258.0830919580625
sequence_53082,55.0,sequence_19447,51.0,228.0598527136467
sequence_53082,55.0,sequence_53079,47.8,227.95231146329985
sequence_53082,55.0,sequence_20042,49.4,288.57537215918796
sequence_53082,55.0,sequence_19419,53.3,291.5693128188328
sequence_53082,55.0,sequence_19425,56.9,219.60217919207363
sequence_53082,55.0,sequence_19450,46.0,232.0760919687567
sequence_53082,55.0,sequence_53085,51.2,144.00272350375388
sequence_53082,55.0,sequence_19509,50.6,291.73677569988706
sequence_53082,55.0,sequence_53059,47.1,225.05512200929894
sequence_53082,55.0,sequence_19430,45.7,272.9473634193487
sequence_53082,55.0,sequence_20052,42.9,285.4367280403469
sequence_53082,55.0,sequence_19369,47.9,228.64379633460877
sequence_53082,55.0,sequence_53064,48.4,188.95365765857287
sequence_53082,55.0,sequence_20072,48.7,251.66555138154803
sequence_53082,55.0,sequence_20038,49.1,265.0727019233929
sequence_53082,55.0,sequence_20039,52.6,278.27903370223976
sequence_53082,55.0,sequence_19506,49.3,294.2313636145177
sequence_53082,55.0,sequence_20064,47.3,293.985836377224
sequence_53082,55.0,sequence_19530,45.6,270.66688997515257
sequence_53082,55.0,sequence_19498,63.2,261.00649191608545
sequence_53082,55.0,sequence_19504,50.6,273.6479664408814
sequence_53082,55.0,sequence_19386,50.7,228.8649058314117
sequence_53082,55.0,sequence_19519,50.3,238.83263309331164
sequence_53082,55.0,sequence_19404,51.3,216.94728303061464
sequence_53082,55.0,sequence_19446,39.5,253.68254106824196
sequence_53082,55.0,sequence_20063,48.9,251.20576569023768
sequence_53082,55.0,sequence_20043,46.6,232.79947491715333
sequence_53082,55.0,sequence_19497,54.9,253.94535814162305
sequence_53082,55.0,sequence_19490,52.9,260.1185481414334
sequence_53082,55.0,sequence_19376,53.0,270.83615549982824
sequence_53082,55.0,sequence_19406,53.8,220.45550270322948
sequence_53082,55.0,sequence_19405,48.7,243.44316257101647
