,id,target,labels
0,sequence_53082,55.0,25
1,sequence_19402,43.0,11
2,sequence_20054,49.0,23
3,sequence_20048,39.8,26
4,sequence_20036,52.9,14
5,sequence_19525,48.8,7
6,sequence_20061,45.0,12
7,sequence_19496,48.3,0
8,sequence_19477,61.5,9
9,sequence_19363,54.6,1
10,sequence_19500,51.2,18
11,sequence_19453,47.3,3
12,sequence_53075,51.6,8
13,sequence_19522,45.4,13
14,sequence_19523,50.8,13
15,sequence_53078,43.3,8
16,sequence_20069,53.4,5
17,sequence_53062,49.1,17
18,sequence_20060,52.6,14
19,sequence_53066,39.2,17
20,sequence_19417,47.9,21
21,sequence_19391,46.8,3
22,sequence_19447,51.0,19
23,sequence_53079,47.8,13
24,sequence_20042,49.4,27
25,sequence_19419,53.3,3
26,sequence_19425,56.9,24
27,sequence_19450,46.0,19
28,sequence_53085,51.2,10
29,sequence_19509,50.6,7
30,sequence_53059,47.1,8
31,sequence_19430,45.7,16
32,sequence_20052,42.9,14
33,sequence_19369,47.9,0
34,sequence_53064,48.4,17
35,sequence_20072,48.7,22
36,sequence_20038,49.1,5
37,sequence_20039,52.6,27
38,sequence_19506,49.3,4
39,sequence_20064,47.3,23
40,sequence_19530,45.6,21
41,sequence_19498,63.2,9
42,sequence_19504,50.6,7
43,sequence_19386,50.7,1
44,sequence_19519,50.3,18
45,sequence_19404,51.3,19
46,sequence_19446,39.5,21
47,sequence_20063,48.9,5
48,sequence_20043,46.6,22
49,sequence_19497,54.9,20
50,sequence_19490,52.9,13
51,sequence_19376,53.0,16
52,sequence_19406,53.8,19
53,sequence_19405,48.7,1
54,sequence_19382,52.0,11
55,sequence_20067,50.8,5
56,sequence_19409,51.1,24
57,sequence_19354,60.0,19
58,sequence_20040,47.2,23
59,sequence_19370,51.7,0
60,sequence_19432,51.0,7
61,sequence_19371,49.0,4
62,sequence_19434,48.0,3
63,sequence_19505,42.4,4
64,sequence_53070,45.7,16
65,sequence_19392,50.5,3
66,sequence_19357,58.5,2
67,sequence_20056,56.9,14
68,sequence_19526,49.3,3
69,sequence_20046,47.4,27
70,sequence_19443,48.0,11
71,sequence_19410,49.9,19
72,sequence_19390,46.3,16
73,sequence_19439,49.5,24
74,sequence_20071,44.9,5
75,sequence_19451,51.0,2
76,sequence_20041,48.5,22
77,sequence_19415,52.8,19
78,sequence_20035,52.5,27
79,sequence_20051,42.5,26
80,sequence_19397,49.6,7
81,sequence_19394,45.4,21
82,sequence_19374,50.7,16
83,sequence_19378,52.4,0
84,sequence_19441,49.0,11
85,sequence_19433,50.1,7
86,sequence_20062,57.9,14
87,sequence_19393,53.7,0
88,sequence_20065,46.5,23
89,sequence_19383,50.5,11
90,sequence_19422,46.6,21
91,sequence_19495,58.9,7
92,sequence_19431,50.5,3
93,sequence_20058,54.9,5
94,sequence_19488,51.3,3
95,sequence_19375,49.9,0
96,sequence_19511,62.4,9
97,sequence_53065,44.8,17
98,sequence_53074,48.3,8
99,sequence_20050,47.9,26
100,sequence_19515,50.4,1
101,sequence_20057,51.9,26
102,sequence_19438,56.1,9
103,sequence_19486,54.2,7
104,sequence_19389,44.0,21
105,sequence_19468,54.8,18
106,sequence_20068,50.6,14
107,sequence_19420,40.6,12
108,sequence_20076,55.7,22
109,sequence_20070,51.8,5
110,sequence_19399,47.5,21
111,sequence_19436,46.4,3
112,sequence_19492,58.5,3
113,sequence_19445,45.5,7
114,sequence_19403,50.9,1
115,sequence_19428,49.3,24
116,sequence_19377,50.3,21
117,sequence_19427,53.8,9
118,sequence_19521,53.0,3
119,sequence_20045,48.8,26
120,sequence_19412,55.3,19
121,sequence_19508,49.5,4
122,sequence_53080,50.4,8
123,sequence_20073,51.0,5
124,sequence_19442,47.4,24
125,sequence_53077,43.5,13
126,sequence_19429,50.9,7
127,sequence_19416,49.4,0
128,sequence_20055,46.3,23
129,sequence_19388,48.4,0
130,sequence_20049,43.9,27
131,sequence_20059,52.3,22
132,sequence_19467,64.4,9
133,sequence_19373,53.1,3
134,sequence_19396,43.1,0
135,sequence_19527,50.1,0
136,sequence_19435,51.4,3
137,sequence_53069,50.9,8
138,sequence_19418,47.2,21
139,sequence_20075,54.9,27
140,sequence_19423,61.2,9
141,sequence_19516,51.9,2
142,sequence_19512,54.4,9
143,sequence_19387,47.7,19
144,sequence_53061,50.6,8
145,sequence_19448,46.3,18
146,sequence_19469,50.5,18
147,sequence_19449,54.3,9
148,sequence_53063,44.0,17
149,sequence_19457,43.6,7
150,sequence_19466,56.9,15
151,sequence_19494,60.0,3
152,sequence_19454,43.1,7
153,sequence_19529,48.8,12
154,sequence_19426,56.3,2
155,sequence_19491,48.8,4
156,sequence_19421,53.0,3
157,sequence_19514,53.0,13
158,sequence_19368,56.2,19
159,sequence_19437,46.7,0
160,sequence_20044,48.4,22
161,sequence_19501,57.2,6
162,sequence_20074,47.1,5
163,sequence_19395,49.7,3
164,sequence_19510,47.8,12
165,sequence_19489,49.1,7
166,sequence_19440,48.5,11
167,sequence_19408,51.1,11
168,sequence_53076,46.3,8
169,sequence_19372,49.2,3
170,sequence_19507,46.0,3
171,sequence_20066,49.9,23
172,sequence_19524,46.4,4
173,sequence_19414,54.7,24
