id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,232.6423889496169
sequence_53082,55.0,sequence_20054,49.0,229.36068602748483
sequence_53082,55.0,sequence_20048,39.8,225.992750803726
sequence_53082,55.0,sequence_20036,52.9,211.6670549442972
sequence_53082,55.0,sequence_19525,48.8,214.33668599875773
sequence_53082,55.0,sequence_20061,45.0,202.5176858673934
sequence_53082,55.0,sequence_19496,48.3,221.13938214677478
sequence_53082,55.0,sequence_19477,61.5,206.16233670500083
sequence_53082,55.0,sequence_19363,54.6,215.03236309717306
sequence_53082,55.0,sequence_19500,51.2,206.0467883008544
sequence_53082,55.0,sequence_19453,47.3,225.70961325021716
sequence_53082,55.0,sequence_53075,51.6,175.58476469902615
sequence_53082,55.0,sequence_19522,45.4,213.32595313452182
sequence_53082,55.0,sequence_19523,50.8,216.01025948073539
sequence_53082,55.0,sequence_53078,43.3,191.63871726218596
sequence_53082,55.0,sequence_20069,53.4,199.20477759880222
sequence_53082,55.0,sequence_53062,49.1,73.05885591964923
sequence_53082,55.0,sequence_20060,52.6,201.92101950680163
sequence_53082,55.0,sequence_53066,39.2,202.54170041822658
sequence_53082,55.0,sequence_19417,47.9,223.20671239093
sequence_53082,55.0,sequence_19391,46.8,231.12534707590908
sequence_53082,55.0,sequence_19447,51.0,211.44868795928704
sequence_53082,55.0,sequence_53079,47.8,189.55107727656417
sequence_53082,55.0,sequence_20042,49.4,224.6834000061949
sequence_53082,55.0,sequence_19419,53.3,223.93031835726725
sequence_53082,55.0,sequence_19425,56.9,217.36773168987907
sequence_53082,55.0,sequence_19450,46.0,211.19209293452298
sequence_53082,55.0,sequence_53085,51.2,167.6465728217642
sequence_53082,55.0,sequence_19509,50.6,222.12348852398173
sequence_53082,55.0,sequence_53059,47.1,203.19305000057176
sequence_53082,55.0,sequence_19430,45.7,232.43369904877054
sequence_53082,55.0,sequence_20052,42.9,220.37706457518743
sequence_53082,55.0,sequence_19369,47.9,104.01626237103845
sequence_53082,55.0,sequence_53064,48.4,186.48774785506677
sequence_53082,55.0,sequence_20072,48.7,201.86102721029133
sequence_53082,55.0,sequence_20038,49.1,209.775003959981
sequence_53082,55.0,sequence_20039,52.6,208.62944744303508
sequence_53082,55.0,sequence_19506,49.3,220.5160892991541
sequence_53082,55.0,sequence_20064,47.3,79.1655940030264
sequence_53082,55.0,sequence_19530,45.6,211.3677278930557
sequence_53082,55.0,sequence_19498,63.2,207.1464430822078
sequence_53082,55.0,sequence_19504,50.6,105.57878535999573
sequence_53082,55.0,sequence_19386,50.7,215.9884127396556
sequence_53082,55.0,sequence_19519,50.3,197.37866765555012
sequence_53082,55.0,sequence_19404,51.3,95.16382626474794
sequence_53082,55.0,sequence_19446,39.5,232.4095477001517
sequence_53082,55.0,sequence_20063,48.9,197.76848719552558
sequence_53082,55.0,sequence_20043,46.6,100.32132431594343
sequence_53082,55.0,sequence_19497,54.9,203.5451185090879
sequence_53082,55.0,sequence_19490,52.9,220.15670601726333
sequence_53082,55.0,sequence_19376,53.0,230.53742550397868
sequence_53082,55.0,sequence_19406,53.8,210.88591656064511
sequence_53082,55.0,sequence_19405,48.7,208.22966694915604
sequence_53082,55.0,sequence_19382,52.0,217.26104970341245
sequence_53082,55.0,sequence_20067,50.8,199.46137262356632
sequence_53082,55.0,sequence_19409,51.1,207.65272005807736
sequence_53082,55.0,sequence_19354,60.0,217.97326446815066
sequence_53082,55.0,sequence_20040,47.2,227.72100750745705
sequence_53082,55.0,sequence_19370,51.7,118.30512673541332
