id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,0.7008271855864392
sequence_53082,55.0,sequence_20054,49.0,0.7177994075971663
sequence_53082,55.0,sequence_20048,39.8,0.7097319721151275
sequence_53082,55.0,sequence_20036,52.9,0.6511270487375382
sequence_53082,55.0,sequence_19525,48.8,0.6693483126299884
sequence_53082,55.0,sequence_20061,45.0,0.6098442496541829
sequence_53082,55.0,sequence_19496,48.3,0.675545985214924
sequence_53082,55.0,sequence_19477,61.5,0.6147746089290975
sequence_53082,55.0,sequence_19363,54.6,0.6451988371667978
sequence_53082,55.0,sequence_19500,51.2,0.6075477863122201
sequence_53082,55.0,sequence_19453,47.3,0.6832888270625163
sequence_53082,55.0,sequence_53075,51.6,0.5675715142297311
sequence_53082,55.0,sequence_19522,45.4,0.6469026301916789
sequence_53082,55.0,sequence_19523,50.8,0.6583225540443532
sequence_53082,55.0,sequence_53078,43.3,0.6368200155434496
sequence_53082,55.0,sequence_20069,53.4,0.6220687026507378
sequence_53082,55.0,sequence_53062,49.1,0.20955873906761868
sequence_53082,55.0,sequence_20060,52.6,0.6292697152720041
sequence_53082,55.0,sequence_53066,39.2,0.677045885952299
sequence_53082,55.0,sequence_19417,47.9,0.6992720157422525
sequence_53082,55.0,sequence_19391,46.8,0.7057414355181775
sequence_53082,55.0,sequence_19447,51.0,0.6165101300978097
sequence_53082,55.0,sequence_53079,47.8,0.6063220579445587
sequence_53082,55.0,sequence_20042,49.4,0.7324239358462725
sequence_53082,55.0,sequence_19419,53.3,0.7323679090371342
sequence_53082,55.0,sequence_19425,56.9,0.6351768058975669
sequence_53082,55.0,sequence_19450,46.0,0.6297835903666413
sequence_53082,55.0,sequence_53085,51.2,0.5277542080993899
sequence_53082,55.0,sequence_19509,50.6,0.700864184554039
sequence_53082,55.0,sequence_53059,47.1,0.6783986570863327
sequence_53082,55.0,sequence_19430,45.7,0.7057641356270803
sequence_53082,55.0,sequence_20052,42.9,0.716421163888304
sequence_53082,55.0,sequence_19369,47.9,0.31823972122778577
sequence_53082,55.0,sequence_53064,48.4,0.6086470273759327
sequence_53082,55.0,sequence_20072,48.7,0.6097266582708742
sequence_53082,55.0,sequence_20038,49.1,0.6380568635730064
sequence_53082,55.0,sequence_20039,52.6,0.6642641359384793
sequence_53082,55.0,sequence_19506,49.3,0.6975288041998038
sequence_53082,55.0,sequence_20064,47.3,0.23393952811352858
sequence_53082,55.0,sequence_19530,45.6,0.647500598968781
sequence_53082,55.0,sequence_19498,63.2,0.6403105092573405
sequence_53082,55.0,sequence_19504,50.6,0.30770987583461495
sequence_53082,55.0,sequence_19386,50.7,0.647000154574463
sequence_53082,55.0,sequence_19519,50.3,0.5852387848871232
sequence_53082,55.0,sequence_19404,51.3,0.2802119481937073
sequence_53082,55.0,sequence_19446,39.5,0.6875127850327364
sequence_53082,55.0,sequence_20063,48.9,0.5924689095233239
sequence_53082,55.0,sequence_20043,46.6,0.29503718264855394
sequence_53082,55.0,sequence_19497,54.9,0.6186453225660333
sequence_53082,55.0,sequence_19490,52.9,0.6763645296518671
sequence_53082,55.0,sequence_19376,53.0,0.7208504439902027
sequence_53082,55.0,sequence_19406,53.8,0.6266245851475883
sequence_53082,55.0,sequence_19405,48.7,0.6390142147943696
sequence_53082,55.0,sequence_19382,52.0,0.655191359019717
sequence_53082,55.0,sequence_20067,50.8,0.6089950432865232
sequence_53082,55.0,sequence_19409,51.1,0.6222859342234137
sequence_53082,55.0,sequence_19354,60.0,0.6433364371702932
sequence_53082,55.0,sequence_20040,47.2,0.7199894681742626
sequence_53082,55.0,sequence_19370,51.7,0.3675228252676014
sequence_53082,55.0,sequence_19432,51.0,0.7171526096665463
sequence_53082,55.0,sequence_19371,49.0,0.7243076620521447
sequence_53082,55.0,sequence_19434,48.0,0.738082796034514
sequence_53082,55.0,sequence_19505,42.4,0.6823718078272385
sequence_53082,55.0,sequence_53070,45.7,0.6356284955604816
sequence_53082,55.0,sequence_19392,50.5,0.7505852503495327
sequence_53082,55.0,sequence_19357,58.5,0.6584383921460595
sequence_53082,55.0,sequence_20056,56.9,0.23128055572872885
sequence_53082,55.0,sequence_19526,49.3,0.6675030982161755
sequence_53082,55.0,sequence_20046,47.4,0.6660286807030886
sequence_53082,55.0,sequence_19443,48.0,0.63227402725759
sequence_53082,55.0,sequence_19410,49.9,0.6178985602619202
sequence_53082,55.0,sequence_19390,46.3,0.7095901744861678
sequence_53082,55.0,sequence_19439,49.5,0.6390976070390578
sequence_53082,55.0,sequence_20071,44.9,0.6100748759734693
sequence_53082,55.0,sequence_19451,51.0,0.6447375661432166
sequence_53082,55.0,sequence_20041,48.5,0.7180778698170628
sequence_53082,55.0,sequence_19415,52.8,0.6312805443630778
sequence_53082,55.0,sequence_20035,52.5,0.651201067431948
sequence_53082,55.0,sequence_20051,42.5,0.7045183930449805
