,id,target,labels
0,sequence_53082,55.0,0
1,sequence_19402,43.0,16
2,sequence_20054,49.0,13
3,sequence_20048,39.8,24
4,sequence_20036,52.9,12
5,sequence_19525,48.8,14
6,sequence_20061,45.0,12
7,sequence_19496,48.3,1
8,sequence_19477,61.5,28
9,sequence_19363,54.6,2
10,sequence_19500,51.2,15
11,sequence_19453,47.3,26
12,sequence_53075,51.6,3
13,sequence_19522,45.4,22
14,sequence_19523,50.8,14
15,sequence_53078,43.3,3
16,sequence_20069,53.4,18
17,sequence_53062,49.1,19
18,sequence_20060,52.6,12
19,sequence_53066,39.2,24
20,sequence_19417,47.9,4
21,sequence_19391,46.8,10
22,sequence_19447,51.0,8
23,sequence_53079,47.8,24
24,sequence_20042,49.4,6
25,sequence_19419,53.3,26
26,sequence_19425,56.9,25
27,sequence_19450,46.0,8
28,sequence_53085,51.2,29
29,sequence_19509,50.6,14
30,sequence_53059,47.1,3
31,sequence_19430,45.7,26
32,sequence_20052,42.9,13
33,sequence_19369,47.9,9
34,sequence_53064,48.4,24
35,sequence_20072,48.7,5
36,sequence_20038,49.1,2
37,sequence_20039,52.6,6
38,sequence_19506,49.3,22
39,sequence_20064,47.3,27
40,sequence_19530,45.6,16
41,sequence_19498,63.2,28
42,sequence_19504,50.6,17
43,sequence_19386,50.7,2
44,sequence_19519,50.3,15
45,sequence_19404,51.3,9
46,sequence_19446,39.5,11
47,sequence_20063,48.9,18
48,sequence_20043,46.6,7
49,sequence_19497,54.9,32
50,sequence_19490,52.9,22
51,sequence_19376,53.0,10
52,sequence_19406,53.8,8
53,sequence_19405,48.7,4
54,sequence_19382,52.0,15
55,sequence_20067,50.8,18
56,sequence_19409,51.1,32
57,sequence_19354,60.0,8
58,sequence_20040,47.2,13
59,sequence_19370,51.7,9
60,sequence_19432,51.0,14
61,sequence_19371,49.0,4
62,sequence_19434,48.0,21
63,sequence_19505,42.4,15
64,sequence_53070,45.7,10
65,sequence_19392,50.5,23
66,sequence_19357,58.5,31
67,sequence_20056,56.9,30
68,sequence_19526,49.3,23
69,sequence_20046,47.4,6
70,sequence_19443,48.0,11
71,sequence_19410,49.9,8
72,sequence_19390,46.3,10
73,sequence_19439,49.5,26
74,sequence_20071,44.9,5
75,sequence_19451,51.0,31
76,sequence_20041,48.5,5
77,sequence_19415,52.8,8
78,sequence_20035,52.5,6
79,sequence_20051,42.5,24
80,sequence_19397,49.6,14
81,sequence_19394,45.4,16
82,sequence_19374,50.7,10
83,sequence_19378,52.4,1
84,sequence_19441,49.0,11
85,sequence_19433,50.1,14
86,sequence_20062,57.9,12
87,sequence_19393,53.7,28
88,sequence_20065,46.5,13
89,sequence_19383,50.5,11
90,sequence_19422,46.6,22
91,sequence_19495,58.9,14
92,sequence_19431,50.5,21
93,sequence_20058,54.9,18
94,sequence_19488,51.3,23
95,sequence_19375,49.9,1
96,sequence_19511,62.4,30
97,sequence_53065,44.8,24
98,sequence_53074,48.3,3
99,sequence_20050,47.9,18
100,sequence_19515,50.4,2
101,sequence_20057,51.9,18
102,sequence_19438,56.1,28
103,sequence_19486,54.2,14
104,sequence_19389,44.0,4
105,sequence_19468,54.8,15
106,sequence_20068,50.6,12
107,sequence_19420,40.6,20
108,sequence_20076,55.7,12
109,sequence_20070,51.8,6
110,sequence_19399,47.5,16
111,sequence_19436,46.4,21
112,sequence_19492,58.5,21
113,sequence_19445,45.5,17
114,sequence_19403,50.9,27
115,sequence_19428,49.3,25
116,sequence_19377,50.3,16
117,sequence_19427,53.8,8
118,sequence_19521,53.0,34
119,sequence_20045,48.8,18
120,sequence_19412,55.3,8
121,sequence_19508,49.5,22
122,sequence_53080,50.4,3
123,sequence_20073,51.0,18
124,sequence_19442,47.4,11
125,sequence_53077,43.5,19
126,sequence_19429,50.9,17
127,sequence_19416,49.4,8
128,sequence_20055,46.3,13
129,sequence_19388,48.4,8
130,sequence_20049,43.9,6
131,sequence_20059,52.3,5
132,sequence_19467,64.4,28
133,sequence_19373,53.1,10
134,sequence_19396,43.1,20
135,sequence_19527,50.1,1
136,sequence_19435,51.4,21
137,sequence_53069,50.9,3
138,sequence_19418,47.2,4
139,sequence_20075,54.9,6
140,sequence_19423,61.2,28
141,sequence_19516,51.9,28
142,sequence_19512,54.4,30
143,sequence_19387,47.7,20
144,sequence_53061,50.6,30
145,sequence_19448,46.3,15
146,sequence_19469,50.5,15
147,sequence_19449,54.3,28
148,sequence_53063,44.0,24
149,sequence_19457,43.6,14
150,sequence_19466,56.9,29
151,sequence_19494,60.0,21
152,sequence_19454,43.1,14
153,sequence_19529,48.8,22
154,sequence_19426,56.3,31
155,sequence_19491,48.8,16
156,sequence_19421,53.0,21
157,sequence_19514,53.0,15
158,sequence_19368,56.2,8
159,sequence_19437,46.7,1
160,sequence_20044,48.4,5
161,sequence_19501,57.2,25
162,sequence_20074,47.1,18
163,sequence_19395,49.7,20
164,sequence_19510,47.8,22
165,sequence_19489,49.1,1
166,sequence_19440,48.5,11
167,sequence_19408,51.1,4
168,sequence_53076,46.3,19
169,sequence_19372,49.2,23
170,sequence_19507,46.0,23
171,sequence_20066,49.9,13
172,sequence_19524,46.4,4
173,sequence_19414,54.7,32
174,sequence_19485,58.0,14
175,sequence_19384,50.8,8
176,sequence_19493,50.4,15
177,sequence_19484,52.0,19
178,sequence_53073,53.8,3
179,sequence_20034,52.0,7
180,sequence_19456,48.0,21
181,sequence_53067,40.9,24
182,sequence_19502,59.9,29
183,sequence_20053,54.7,12
184,sequence_19355,58.8,32
185,sequence_19365,53.0,25
186,sequence_20047,49.9,12
187,sequence_19528,47.1,22
188,sequence_19455,44.5,26
189,sequence_19479,60.8,20
