id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,0.03786622891308123
sequence_40826,539,sequence_40789,510,0.016303444017952022
sequence_40826,539,sequence_40794,519,0.0019517968579161999
sequence_40826,539,sequence_40806,525,0.011615085827016971
sequence_40826,539,sequence_40807,528,0.026558975959062807
sequence_40826,539,sequence_40809,528,0.008455988843739331
sequence_40826,539,sequence_40811,534,0.015300679316298202
sequence_40826,539,sequence_40813,528,0.017934221871863904
sequence_40826,539,sequence_40814,510,0.03844250373009387
sequence_40826,539,sequence_40845,495,0.05136362508986658
sequence_40826,539,sequence_40855,522,0.003599915180196239
sequence_40826,539,sequence_40857,522,0.00855106859398874
sequence_40826,539,sequence_40840,528,0.02036602362293344
sequence_40826,539,sequence_40841,528,0.00245150320648025
sequence_40826,539,sequence_40842,522,0.0003534401610004763
sequence_40826,539,sequence_40844,519,0.05070689054066925
sequence_40826,539,sequence_40838,531,0.0068896039664540255
sequence_40826,539,sequence_40816,531,0.02367932123820345
sequence_40826,539,sequence_40817,528,0.0035146845245749613
sequence_40826,539,sequence_40818,522,0.035751276481462486
sequence_40826,539,sequence_40827,525,0.017698363353205494
sequence_40826,539,sequence_40828,519,0.015160922772188853
sequence_40826,539,sequence_40829,528,0.020180253109444518
sequence_40826,539,sequence_40831,525,0.023650621626228715
sequence_40826,539,sequence_40856,498,0.05336860857788074
sequence_40826,539,sequence_40815,498,0.06130847505924333
sequence_40826,539,sequence_40851,477,0.06593247483473416
sequence_40826,539,sequence_40847,486,0.06782085559759578
sequence_40826,539,sequence_40858,495,0.05379693387777203
sequence_40826,539,sequence_40852,474,0.06766537705808046
sequence_40826,539,sequence_40843,495,0.05332290194442472
sequence_40826,539,sequence_40846,483,0.06609898961619658
sequence_40826,539,sequence_40791,454,0.09236701610092271
sequence_40826,539,sequence_40793,456,0.08275070969250187
sequence_40826,539,sequence_40861,464,0.07027408812371454
sequence_40826,539,sequence_40812,464,0.07164590841675006
sequence_40826,539,sequence_40854,465,0.06794454795643169
sequence_40826,539,sequence_40853,463,0.07157465934932244
sequence_40826,539,sequence_40848,461,0.06789048332650198
sequence_40826,539,sequence_40849,464,0.06844085460149285
sequence_40826,539,sequence_40850,462,0.06776948758605494
sequence_40826,539,sequence_40792,517,0.05260539053104245
sequence_40826,539,sequence_40790,523,0.06951456174650983
sequence_40826,539,sequence_40860,535,0.03578827639213075
sequence_40826,539,sequence_40839,538,0.0038106700570126524
sequence_40826,539,sequence_40835,535,0.03283958582627734
sequence_40826,539,sequence_40819,532,0.012227265349585873
sequence_40826,539,sequence_40824,523,0.005481364460426621
sequence_40826,539,sequence_40825,532,0.012137646189884048
sequence_40826,539,sequence_40797,558,0.021851199425774223
sequence_40826,539,sequence_40800,558,0.019185408903339935
sequence_40826,539,sequence_40803,549,0.01765597597991454
sequence_40826,539,sequence_40804,561,0.035368986692672
sequence_40826,539,sequence_40805,564,0.01592888590772583
sequence_40826,539,sequence_40864,549,0.008993030867155239
sequence_40826,539,sequence_40808,543,0.025597608282705506
sequence_40826,539,sequence_40810,549,0.005562415487992649
sequence_40826,539,sequence_40862,546,0.06818840486956493
sequence_40826,539,sequence_40859,543,0.05218227566390461
sequence_40826,539,sequence_40836,543,0.015522608069399065
sequence_40826,539,sequence_40837,543,0.04804435566669944
sequence_40826,539,sequence_40820,543,0.06900551604734793
sequence_40826,539,sequence_40821,549,0.05210824343346838
sequence_40826,539,sequence_40822,549,0.015426710235614965
sequence_40826,539,sequence_40823,546,0.014605717089414482
sequence_40826,539,sequence_40834,546,0.02498260843885585
sequence_40826,539,sequence_40832,555,0.00320987877883146
sequence_40826,539,sequence_40833,549,0.01829103519440907
sequence_40826,539,sequence_40830,558,0.014190863422778296
sequence_40826,539,sequence_40798,579,0.024700431041308958
