id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,82.0326
sequence_40826,539,sequence_40789,510,35.11400000000003
sequence_40826,539,sequence_40794,519,4.191200000000094
sequence_40826,539,sequence_40806,525,27.528799999999933
sequence_40826,539,sequence_40807,528,62.74279999999999
sequence_40826,539,sequence_40809,528,20.062599999999975
sequence_40826,539,sequence_40811,534,32.9529
sequence_40826,539,sequence_40813,528,38.28509999999994
sequence_40826,539,sequence_40814,510,88.0557
sequence_40826,539,sequence_40845,495,118.15659999999991
sequence_40826,539,sequence_40855,522,8.14510000000007
sequence_40826,539,sequence_40857,522,19.389799999999923
sequence_40826,539,sequence_40840,528,43.50389999999993
sequence_40826,539,sequence_40841,528,5.2187999999999874
sequence_40826,539,sequence_40842,522,0.7522999999999911
sequence_40826,539,sequence_40844,519,109.76670000000013
sequence_40826,539,sequence_40838,531,14.703500000000076
sequence_40826,539,sequence_40816,531,55.063699999999926
sequence_40826,539,sequence_40817,528,8.145099999999957
sequence_40826,539,sequence_40818,522,83.55009999999993
sequence_40826,539,sequence_40827,525,41.13709999999992
sequence_40826,539,sequence_40828,519,35.21399999999994
sequence_40826,539,sequence_40829,528,46.91860000000008
sequence_40826,539,sequence_40831,525,55.06370000000004
sequence_40826,539,sequence_40856,498,176.23669999999998
sequence_40826,539,sequence_40815,498,244.64919999999995
sequence_40826,539,sequence_40851,477,252.66359999999997
sequence_40826,539,sequence_40847,486,274.69579999999996
sequence_40826,539,sequence_40858,495,187.1486
sequence_40826,539,sequence_40852,474,278.597
sequence_40826,539,sequence_40843,495,171.97109999999998
sequence_40826,539,sequence_40846,483,255.8674
sequence_40826,539,sequence_40791,454,419.87289999999996
sequence_40826,539,sequence_40793,456,384.12620000000004
sequence_40826,539,sequence_40861,464,336.31559999999996
sequence_40826,539,sequence_40812,464,358.4683
sequence_40826,539,sequence_40854,465,270.69500000000005
sequence_40826,539,sequence_40853,463,327.0702
sequence_40826,539,sequence_40848,461,284.6476
sequence_40826,539,sequence_40849,464,277.68859999999995
sequence_40826,539,sequence_40850,462,286.2058
sequence_40826,539,sequence_40792,517,114.9855
sequence_40826,539,sequence_40790,523,153.27059999999994
sequence_40826,539,sequence_40860,535,78.70420000000001
sequence_40826,539,sequence_40839,538,8.14510000000007
sequence_40826,539,sequence_40835,535,74.63780000000008
sequence_40826,539,sequence_40819,532,27.7192
sequence_40826,539,sequence_40824,523,12.314300000000003
sequence_40826,539,sequence_40825,532,27.13810000000001
sequence_40826,539,sequence_40797,558,48.60330000000005
sequence_40826,539,sequence_40800,558,42.68020000000001
sequence_40826,539,sequence_40803,549,39.45240000000001
sequence_40826,539,sequence_40804,561,78.7041999999999
sequence_40826,539,sequence_40805,564,35.447900000000004
sequence_40826,539,sequence_40864,549,20.06260000000009
sequence_40826,539,sequence_40808,543,60.48169999999993
sequence_40826,539,sequence_40810,549,12.06370000000004
sequence_40826,539,sequence_40862,546,153.27060000000006
sequence_40826,539,sequence_40859,543,116.17330000000015
sequence_40826,539,sequence_40836,543,35.18540000000007
sequence_40826,539,sequence_40837,543,109.7518
sequence_40826,539,sequence_40820,543,153.27059999999994
sequence_40826,539,sequence_40821,549,114.9855
sequence_40826,539,sequence_40822,549,34.60429999999997
sequence_40826,539,sequence_40823,546,32.6232
sequence_40826,539,sequence_40834,546,56.01520000000005
sequence_40826,539,sequence_40832,555,7.479900000000043
sequence_40826,539,sequence_40833,549,42.68020000000001
sequence_40826,539,sequence_40830,558,32.9529
sequence_40826,539,sequence_40798,579,81.55619999999999
sequence_40826,539,sequence_40865,580,52.89510000000001
sequence_40826,539,sequence_40863,566,134.61569999999995
sequence_40826,539,sequence_40801,561,75.6330999999999
sequence_40826,539,sequence_40802,560,192.90609999999998
sequence_40826,539,sequence_40796,567,196.5417
sequence_40826,539,sequence_40795,562,163.5888
sequence_40826,539,sequence_40866,620,87.1871000000001
sequence_40826,539,sequence_40799,597,110.86239999999998
sequence_40826,539,sequence_40788,510,116.67019999999991
sequence_40826,539,sequence_40867,622,110.00699999999995
sequence_40787,510,sequence_40826,539,82.0326
sequence_40787,510,sequence_40789,510,46.91860000000008
sequence_40787,510,sequence_40794,519,77.84140000000002
sequence_40787,510,sequence_40806,525,109.47109999999998
sequence_40787,510,sequence_40807,528,144.6527000000001
sequence_40787,510,sequence_40809,528,102.01160000000004
sequence_40787,510,sequence_40811,534,114.9855
sequence_40787,510,sequence_40813,528,120.21770000000015
sequence_40787,510,sequence_40814,510,167.67549999999997
sequence_40787,510,sequence_40845,495,197.34139999999996
sequence_40787,510,sequence_40855,522,90.17770000000007
sequence_40787,510,sequence_40857,522,100.15769999999998
sequence_40787,510,sequence_40840,528,125.43180000000007
sequence_40787,510,sequence_40841,528,87.18070000000012
sequence_40787,510,sequence_40842,522,82.71810000000005
sequence_40787,510,sequence_40844,519,191.79930000000013
sequence_40787,510,sequence_40838,531,96.14279999999997
sequence_40787,510,sequence_40816,531,136.51109999999994
sequence_40787,510,sequence_40817,528,90.05459999999994
sequence_40787,510,sequence_40818,522,164.9518999999999
sequence_40787,510,sequence_40827,525,122.92059999999998
sequence_40787,510,sequence_40828,519,117.0113
sequence_40787,510,sequence_40829,528,128.95120000000009
sequence_40787,510,sequence_40831,525,137.09630000000004
sequence_40787,510,sequence_40856,498,246.86300000000006
sequence_40787,510,sequence_40815,498,315.7924
sequence_40787,510,sequence_40851,477,327.3357
sequence_40787,510,sequence_40847,486,341.0899
sequence_40787,510,sequence_40858,495,259.6148
sequence_40787,510,sequence_40852,474,338.7906
sequence_40787,510,sequence_40843,495,244.19549999999998
sequence_40787,510,sequence_40846,483,325.87899999999996
sequence_40787,510,sequence_40791,454,344.62269999999995
sequence_40787,510,sequence_40793,456,308.87600000000003
sequence_40787,510,sequence_40861,464,399.7046
sequence_40787,510,sequence_40812,464,401.1368
sequence_40787,510,sequence_40854,465,346.83520000000004
sequence_40787,510,sequence_40853,463,394.63740000000007
sequence_40787,510,sequence_40848,461,352.2148000000001
sequence_40787,510,sequence_40849,464,339.77570000000003
sequence_40787,510,sequence_40850,462,360.1928
sequence_40787,510,sequence_40792,517,32.9529
sequence_40787,510,sequence_40790,523,71.23799999999994
sequence_40787,510,sequence_40860,535,160.73680000000002
sequence_40787,510,sequence_40839,538,90.17770000000007
sequence_40787,510,sequence_40835,535,156.6704000000001
sequence_40787,510,sequence_40819,532,109.7518
sequence_40787,510,sequence_40824,523,94.3469
sequence_40787,510,sequence_40825,532,108.9728
sequence_40787,510,sequence_40797,558,129.99599999999998
sequence_40787,510,sequence_40800,558,124.07349999999997
sequence_40787,510,sequence_40803,549,121.48500000000001
sequence_40787,510,sequence_40804,561,160.09389999999996
sequence_40787,510,sequence_40805,564,116.84199999999998
sequence_40787,510,sequence_40864,549,102.09520000000009
sequence_40787,510,sequence_40808,543,142.39380000000006
sequence_40787,510,sequence_40810,549,94.09630000000004
sequence_40787,510,sequence_40862,546,235.30320000000006
sequence_40787,510,sequence_40859,543,198.20590000000016
sequence_40787,510,sequence_40836,543,117.21800000000007
sequence_40787,510,sequence_40837,543,191.7844
sequence_40787,510,sequence_40820,543,235.08830000000012
sequence_40787,510,sequence_40821,549,196.84390000000008
sequence_40787,510,sequence_40822,549,114.39419999999996
sequence_40787,510,sequence_40823,546,113.57249999999999
sequence_40787,510,sequence_40834,546,138.04780000000005
sequence_40787,510,sequence_40832,555,89.51250000000005
sequence_40787,510,sequence_40833,549,124.71280000000002
sequence_40787,510,sequence_40830,558,114.75559999999996
sequence_40787,510,sequence_40798,579,153.82180000000005
sequence_40787,510,sequence_40865,580,130.1445
sequence_40787,510,sequence_40863,566,214.04330000000004
sequence_40787,510,sequence_40801,561,147.98310000000004
sequence_40787,510,sequence_40802,560,273.4785999999999
sequence_40787,510,sequence_40796,567,255.60300000000007
sequence_40787,510,sequence_40795,562,233.25209999999993
sequence_40787,510,sequence_40866,620,160.32580000000007
sequence_40787,510,sequence_40799,597,186.42540000000002
sequence_40787,510,sequence_40788,510,122.16740000000004
sequence_40787,510,sequence_40867,622,187.84480000000002
sequence_40789,510,sequence_40826,539,35.11400000000003
sequence_40789,510,sequence_40787,510,46.91860000000008
sequence_40789,510,sequence_40794,519,30.92279999999994
sequence_40789,510,sequence_40806,525,62.58939999999984
sequence_40789,510,sequence_40807,528,97.77099999999996
sequence_40789,510,sequence_40809,528,55.12989999999991
sequence_40789,510,sequence_40811,534,68.06689999999992
sequence_40789,510,sequence_40813,528,73.33600000000001
sequence_40789,510,sequence_40814,510,121.70580000000001
sequence_40789,510,sequence_40845,495,151.3717
sequence_40789,510,sequence_40855,522,43.25909999999999
sequence_40789,510,sequence_40857,522,53.543199999999956
sequence_40789,510,sequence_40840,528,78.55009999999993
sequence_40789,510,sequence_40841,528,40.29899999999998
sequence_40789,510,sequence_40842,522,35.83639999999991
sequence_40789,510,sequence_40844,519,144.88070000000005
sequence_40789,510,sequence_40838,531,49.54910000000007
sequence_40789,510,sequence_40816,531,89.9262
sequence_40789,510,sequence_40817,528,43.16159999999991
sequence_40789,510,sequence_40818,522,118.41219999999998
sequence_40789,510,sequence_40827,525,76.0933
sequence_40789,510,sequence_40828,519,70.18400000000003
sequence_40789,510,sequence_40829,528,82.0326
sequence_40789,510,sequence_40831,525,90.17769999999996
sequence_40789,510,sequence_40856,498,199.94439999999997
sequence_40789,510,sequence_40815,498,268.92439999999993
sequence_40789,510,sequence_40851,477,284.38419999999996
sequence_40789,510,sequence_40847,486,297.0325
sequence_40789,510,sequence_40858,495,212.74679999999995
sequence_40789,510,sequence_40852,474,291.92259999999993
sequence_40789,510,sequence_40843,495,198.0009
sequence_40789,510,sequence_40846,483,282.92749999999995
sequence_40789,510,sequence_40791,454,388.0141
sequence_40789,510,sequence_40793,456,352.26740000000007
sequence_40789,510,sequence_40861,464,358.1734
sequence_40789,510,sequence_40812,464,362.87199999999996
sequence_40789,510,sequence_40854,465,299.9672
sequence_40789,510,sequence_40853,463,356.37260000000003
sequence_40789,510,sequence_40848,461,313.95000000000005
sequence_40789,510,sequence_40849,464,301.39009999999996
sequence_40789,510,sequence_40850,462,313.3247999999999
sequence_40789,510,sequence_40792,517,79.87150000000008
sequence_40789,510,sequence_40790,523,118.15660000000003
sequence_40789,510,sequence_40860,535,113.81819999999993
sequence_40789,510,sequence_40839,538,43.25909999999999
sequence_40789,510,sequence_40835,535,109.7518
sequence_40789,510,sequence_40819,532,62.83319999999992
sequence_40789,510,sequence_40824,523,47.42829999999992
sequence_40789,510,sequence_40825,532,62.07690000000002
sequence_40789,510,sequence_40797,558,83.46699999999998
sequence_40789,510,sequence_40800,558,77.54449999999997
sequence_40789,510,sequence_40803,549,74.56639999999993
sequence_40789,510,sequence_40804,561,113.56489999999997
sequence_40789,510,sequence_40805,564,70.31299999999999
sequence_40789,510,sequence_40864,549,55.17660000000001
sequence_40789,510,sequence_40808,543,95.51209999999992
sequence_40789,510,sequence_40810,549,47.17769999999996
sequence_40789,510,sequence_40862,546,188.38459999999998
sequence_40789,510,sequence_40859,543,151.28730000000007
sequence_40789,510,sequence_40836,543,70.29939999999999
sequence_40789,510,sequence_40837,543,144.86579999999992
sequence_40789,510,sequence_40820,543,188.20659999999998
sequence_40789,510,sequence_40821,549,149.96219999999994
sequence_40789,510,sequence_40822,549,68.34280000000012
sequence_40789,510,sequence_40823,546,67.00500000000001
sequence_40789,510,sequence_40834,546,91.12919999999997
sequence_40789,510,sequence_40832,555,42.59389999999996
sequence_40789,510,sequence_40833,549,77.79419999999993
sequence_40789,510,sequence_40830,558,67.92829999999998
sequence_40789,510,sequence_40798,579,112.22260000000006
sequence_40789,510,sequence_40865,580,85.11360000000002
sequence_40789,510,sequence_40863,566,168.27830000000006
sequence_40789,510,sequence_40801,561,106.38390000000004
sequence_40789,510,sequence_40802,560,226.58559999999989
sequence_40789,510,sequence_40796,567,218.69680000000005
sequence_40789,510,sequence_40795,562,186.6775
sequence_40789,510,sequence_40866,620,118.72660000000008
sequence_40789,510,sequence_40799,597,140.7799
sequence_40789,510,sequence_40788,510,81.55619999999999
sequence_40789,510,sequence_40867,622,142.1993
sequence_40794,519,sequence_40826,539,4.191200000000094
sequence_40794,519,sequence_40787,510,77.84140000000002
sequence_40794,519,sequence_40789,510,30.92279999999994
sequence_40794,519,sequence_40806,525,31.692299999999932
sequence_40794,519,sequence_40807,528,66.87390000000005
sequence_40794,519,sequence_40809,528,24.232799999999997
sequence_40794,519,sequence_40811,534,37.14409999999998
sequence_40794,519,sequence_40813,528,42.4389000000001
sequence_40794,519,sequence_40814,510,91.6746
sequence_40794,519,sequence_40845,495,121.60289999999998
sequence_40794,519,sequence_40855,522,12.336300000000051
sequence_40794,519,sequence_40857,522,23.38329999999999
sequence_40794,519,sequence_40840,528,47.65300000000002
sequence_40794,519,sequence_40841,528,9.401900000000069
sequence_40794,519,sequence_40842,522,4.939300000000003
sequence_40794,519,sequence_40844,519,113.95790000000011
sequence_40794,519,sequence_40838,531,18.812700000000063
sequence_40794,519,sequence_40816,531,59.22529999999995
sequence_40794,519,sequence_40817,528,12.30759999999998
sequence_40794,519,sequence_40818,522,87.71129999999994
sequence_40794,519,sequence_40827,525,45.2167
sequence_40794,519,sequence_40828,519,39.30740000000003
sequence_40794,519,sequence_40829,528,51.109800000000064
sequence_40794,519,sequence_40831,525,59.25490000000002
sequence_40794,519,sequence_40856,498,176.1277
sequence_40794,519,sequence_40815,498,241.57140000000004
sequence_40794,519,sequence_40851,477,256.42830000000004
sequence_40794,519,sequence_40847,486,271.2549
sequence_40794,519,sequence_40858,495,184.13070000000005
sequence_40794,519,sequence_40852,474,274.82779999999997
sequence_40794,519,sequence_40843,495,168.95320000000004
sequence_40794,519,sequence_40846,483,258.2285
sequence_40794,519,sequence_40791,454,416.10369999999995
sequence_40794,519,sequence_40793,456,380.357
sequence_40794,519,sequence_40861,464,335.95089999999993
sequence_40794,519,sequence_40812,464,354.6991
sequence_40794,519,sequence_40854,465,269.0722
sequence_40794,519,sequence_40853,463,330.595
sequence_40794,519,sequence_40848,461,288.17240000000004
sequence_40794,519,sequence_40849,464,275.61249999999995
sequence_40794,519,sequence_40850,462,287.9538
sequence_40794,519,sequence_40792,517,110.79430000000002
sequence_40794,519,sequence_40790,523,149.07939999999996
sequence_40794,519,sequence_40860,535,82.8954
sequence_40794,519,sequence_40839,538,12.336300000000051
sequence_40794,519,sequence_40835,535,78.82900000000006
sequence_40794,519,sequence_40819,532,31.91039999999998
sequence_40794,519,sequence_40824,523,16.505499999999984
sequence_40794,519,sequence_40825,532,31.25
sequence_40794,519,sequence_40797,558,52.761499999999955
sequence_40794,519,sequence_40800,558,46.83899999999994
sequence_40794,519,sequence_40803,549,43.64359999999999
sequence_40794,519,sequence_40804,561,82.85939999999994
sequence_40794,519,sequence_40805,564,39.60749999999996
sequence_40794,519,sequence_40864,549,24.25380000000007
sequence_40794,519,sequence_40808,543,64.61500000000001
sequence_40794,519,sequence_40810,549,16.25490000000002
sequence_40794,519,sequence_40862,546,157.46180000000004
sequence_40794,519,sequence_40859,543,120.36450000000013
sequence_40794,519,sequence_40836,543,39.37660000000005
sequence_40794,519,sequence_40837,543,113.94299999999998
sequence_40794,519,sequence_40820,543,157.35979999999995
sequence_40794,519,sequence_40821,549,119.07709999999997
sequence_40794,519,sequence_40822,549,38.35090000000014
sequence_40794,519,sequence_40823,546,36.32260000000002
sequence_40794,519,sequence_40834,546,60.20640000000003
sequence_40794,519,sequence_40832,555,11.671100000000024
sequence_40794,519,sequence_40833,549,46.871399999999994
sequence_40794,519,sequence_40830,558,37.05169999999998
sequence_40794,519,sequence_40798,579,84.4642
sequence_40794,519,sequence_40865,580,55.66919999999999
sequence_40794,519,sequence_40863,566,138.1803000000001
sequence_40794,519,sequence_40801,561,78.62549999999999
sequence_40794,519,sequence_40802,560,195.6805999999999
sequence_40794,519,sequence_40796,567,193.8252000000001
sequence_40794,519,sequence_40795,562,164.9184
sequence_40794,519,sequence_40866,620,90.96820000000002
sequence_40794,519,sequence_40799,597,114.26430000000005
sequence_40794,519,sequence_40788,510,112.47899999999993
sequence_40794,519,sequence_40867,622,113.40890000000002
sequence_40806,525,sequence_40826,539,27.528799999999933
sequence_40806,525,sequence_40787,510,109.47109999999998
sequence_40806,525,sequence_40789,510,62.58939999999984
sequence_40806,525,sequence_40794,519,31.692299999999932
sequence_40806,525,sequence_40807,528,35.214000000000055
sequence_40806,525,sequence_40809,528,7.466199999999958
sequence_40806,525,sequence_40811,534,60.48169999999993
sequence_40806,525,sequence_40813,528,65.07900000000006
sequence_40806,525,sequence_40814,510,115.48959999999988
sequence_40806,525,sequence_40845,495,145.56839999999988
sequence_40806,525,sequence_40855,522,35.6739
sequence_40806,525,sequence_40857,522,46.878099999999904
sequence_40806,525,sequence_40840,528,70.66409999999996
sequence_40806,525,sequence_40841,528,32.68249999999995
sequence_40806,525,sequence_40842,522,28.260699999999986
sequence_40806,525,sequence_40844,519,137.29550000000006
sequence_40806,525,sequence_40838,531,42.19569999999999
sequence_40806,525,sequence_40816,531,82.34679999999992
sequence_40806,525,sequence_40817,528,35.627200000000016
sequence_40806,525,sequence_40818,522,110.83299999999997
sequence_40806,525,sequence_40827,525,68.29770000000008
sequence_40806,525,sequence_40828,519,62.42450000000008
sequence_40806,525,sequence_40829,528,74.44740000000002
sequence_40806,525,sequence_40831,525,82.59249999999997
sequence_40806,525,sequence_40856,498,192.92989999999998
sequence_40806,525,sequence_40815,498,269.74959999999993
sequence_40806,525,sequence_40851,477,265.07130000000006
sequence_40806,525,sequence_40847,486,299.79619999999994
sequence_40806,525,sequence_40858,495,214.4321
sequence_40806,525,sequence_40852,474,303.69739999999996
sequence_40806,525,sequence_40843,495,199.25459999999998
sequence_40806,525,sequence_40846,483,259.3615
sequence_40806,525,sequence_40791,454,444.97329999999994
sequence_40806,525,sequence_40793,456,409.2266
sequence_40806,525,sequence_40861,464,340.39709999999997
sequence_40806,525,sequence_40812,464,383.5687
sequence_40806,525,sequence_40854,465,295.79540000000003
sequence_40806,525,sequence_40853,463,343.64289999999994
sequence_40806,525,sequence_40848,461,307.1302999999999
sequence_40806,525,sequence_40849,464,302.78899999999993
sequence_40806,525,sequence_40850,462,306.55799999999994
sequence_40806,525,sequence_40792,517,142.39959999999996
sequence_40806,525,sequence_40790,523,180.6576
sequence_40806,525,sequence_40860,535,106.23299999999995
sequence_40806,525,sequence_40839,538,35.6739
sequence_40806,525,sequence_40835,535,102.16660000000002
sequence_40806,525,sequence_40819,532,55.247999999999934
sequence_40806,525,sequence_40824,523,39.843099999999936
sequence_40806,525,sequence_40825,532,54.12059999999997
sequence_40806,525,sequence_40797,558,75.79319999999996
sequence_40806,525,sequence_40800,558,69.87549999999999
sequence_40806,525,sequence_40803,549,66.98119999999994
sequence_40806,525,sequence_40804,561,105.86529999999993
sequence_40806,525,sequence_40805,564,62.649599999999964
sequence_40806,525,sequence_40864,549,47.59140000000002
sequence_40806,525,sequence_40808,543,32.9529
sequence_40806,525,sequence_40810,549,39.59249999999997
sequence_40806,525,sequence_40862,546,180.7994
sequence_40806,525,sequence_40859,543,143.7021000000001
sequence_40806,525,sequence_40836,543,62.714200000000005
sequence_40806,525,sequence_40837,543,137.28059999999994
sequence_40806,525,sequence_40820,543,178.8998999999999
sequence_40806,525,sequence_40821,549,140.96839999999997
