id,label,target,labels,profile
sequence_40803,1,549,0-0-0-1,1-0-0-0-1
sequence_40825,2,532,0-0-0-1,2-0-0-0-1
sequence_40814,1,510,0-1-1-0,1-0-1-1-0
sequence_40816,2,531,0-0-0-1,2-0-0-0-1
sequence_40832,0,555,0-0-0-1,0-0-0-0-1
sequence_40861,1,464,1-3-3-3,1-1-3-3-3
sequence_40826,1,539,0-0-0-1,1-0-0-0-1
sequence_40841,2,528,0-0-0-1,2-0-0-0-1
sequence_40798,2,579,0-0-0-10,2-0-0-0-10
sequence_40802,0,560,0-7-7-8,0-0-7-7-8
sequence_40821,2,549,0-2-2-9,2-0-2-2-9
sequence_40824,0,523,0-0-0-1,0-0-0-0-1
sequence_40854,1,465,1-3-3-3,1-1-3-3-3
sequence_40797,2,558,0-0-0-10,2-0-0-0-10
sequence_40807,2,528,0-0-0-1,2-0-0-0-1
sequence_40829,1,528,0-0-0-1,1-0-0-0-1
sequence_40843,1,495,1-4-4-4,1-1-4-4-4
sequence_40842,1,522,0-0-0-1,1-0-0-0-1
sequence_40811,2,534,0-0-0-1,2-0-0-0-1
sequence_40823,2,546,0-0-0-1,2-0-0-0-1
sequence_40844,2,519,1-4-4-4,2-1-4-4-4
sequence_40867,2,622,0-0-0-10,2-0-0-0-10
sequence_40864,1,549,0-0-0-1,1-0-0-0-1
sequence_40853,1,463,1-3-3-3,1-1-3-3-3
sequence_40806,0,525,0-0-0-1,0-0-0-0-1
sequence_40850,1,462,1-3-3-3,1-1-3-3-3
sequence_40846,1,483,1-1-1-2,1-1-1-1-2
sequence_40835,2,535,0-0-0-7,2-0-0-0-7
sequence_40805,2,564,0-0-0-10,2-0-0-0-10
sequence_40792,2,517,0-5-5-6,2-0-5-5-6
sequence_40827,2,525,0-0-0-1,2-0-0-0-1
sequence_40851,1,477,1-1-1-2,1-1-1-1-2
sequence_40839,1,538,0-0-0-1,1-0-0-0-1
sequence_40857,1,522,0-0-0-1,1-0-0-0-1
sequence_40858,2,495,1-4-4-4,2-1-4-4-4
sequence_40812,1,464,1-3-3-3,1-1-3-3-3
sequence_40866,2,620,0-0-0-10,2-0-0-0-10
sequence_40804,2,561,0-0-0-10,2-0-0-0-10
sequence_40799,2,597,0-0-0-10,2-0-0-0-10
sequence_40818,2,522,0-0-0-1,2-0-0-0-1
sequence_40860,2,535,0-7-7-8,2-0-7-7-8
sequence_40845,2,495,0-1-1-0,2-0-1-1-0
sequence_40840,2,528,0-0-0-1,2-0-0-0-1
sequence_40859,2,543,0-0-0-1,2-0-0-0-1
sequence_40852,1,474,1-3-3-3,1-1-3-3-3
sequence_40837,2,543,0-0-0-7,2-0-0-0-7
sequence_40856,1,498,1-4-4-4,1-1-4-4-4
sequence_40815,1,498,1-3-3-3,1-1-3-3-3
sequence_40794,0,519,0-0-0-1,0-0-0-0-1
sequence_40819,2,532,0-0-0-1,2-0-0-0-1
sequence_40833,1,549,0-0-0-1,1-0-0-0-1
sequence_40831,1,525,0-0-0-1,1-0-0-0-1
sequence_40808,2,543,0-0-0-1,2-0-0-0-1
sequence_40822,2,549,0-0-0-1,2-0-0-0-1
sequence_40848,1,461,1-3-3-3,1-1-3-3-3
sequence_40820,0,543,0-2-2-9,0-0-2-2-9
sequence_40789,2,510,0-0-0-1,2-0-0-0-1
sequence_40791,1,454,1-6-6-5,1-1-6-6-5
sequence_40862,0,546,0-7-7-8,0-0-7-7-8
sequence_40813,1,528,0-0-0-1,1-0-0-0-1
sequence_40793,1,456,1-6-6-5,1-1-6-6-5
sequence_40834,2,546,0-0-0-1,2-0-0-0-1
sequence_40810,1,549,0-0-0-1,1-0-0-0-1
sequence_40838,0,531,0-0-0-1,0-0-0-0-1
sequence_40830,2,558,0-0-0-1,2-0-0-0-1
sequence_40795,2,562,0-2-2-9,2-0-2-2-9
sequence_40788,2,510,0-0-0-10,2-0-0-0-10
sequence_40849,1,464,1-3-3-3,1-1-3-3-3
sequence_40836,2,543,0-0-0-1,2-0-0-0-1
sequence_40809,0,528,0-0-0-1,0-0-0-0-1
sequence_40817,1,528,0-0-0-1,1-0-0-0-1
sequence_40796,2,567,0-2-2-9,2-0-2-2-9
sequence_40800,2,558,0-0-0-10,2-0-0-0-10
sequence_40790,0,523,0-5-5-6,0-0-5-5-6
sequence_40855,2,522,0-0-0-1,2-0-0-0-1
sequence_40865,2,580,0-0-0-1,2-0-0-0-1
sequence_40828,2,519,0-0-0-1,2-0-0-0-1
sequence_40787,2,510,0-5-5-6,2-0-5-5-6
sequence_40847,1,486,1-3-3-3,1-1-3-3-3
sequence_40863,2,566,0-2-2-9,2-0-2-2-9
sequence_40801,2,561,0-0-0-10,2-0-0-0-10
