id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,114.32719537139887
sequence_40826,539,sequence_40789,510,2499.84935561066
sequence_40826,539,sequence_40794,519,1915.5846331365392
sequence_40826,539,sequence_40806,525,1534.6836995100523
sequence_40826,539,sequence_40807,528,4573.0147800866525
sequence_40826,539,sequence_40809,528,2061.9803141135103
sequence_40826,539,sequence_40811,534,3166.5533420818365
sequence_40826,539,sequence_40813,528,309.2927791917873
sequence_40826,539,sequence_40814,510,4567.860540570113
sequence_40826,539,sequence_40845,495,5068.042148192106
sequence_40826,539,sequence_40855,522,333.4631969152668
sequence_40826,539,sequence_40857,522,747.0031293775083
sequence_40826,539,sequence_40840,528,354.258475276076
sequence_40826,539,sequence_40841,528,661.1062755854915
sequence_40826,539,sequence_40842,522,1450.1435870236642
sequence_40826,539,sequence_40844,519,2365.6814482048694
sequence_40826,539,sequence_40838,531,818.0384179339986
sequence_40826,539,sequence_40816,531,2004.0828000479794
sequence_40826,539,sequence_40817,528,337.6062190790184
sequence_40826,539,sequence_40818,522,3010.387051626948
sequence_40826,539,sequence_40827,525,2209.8916235681627
sequence_40826,539,sequence_40828,519,3038.1884420019705
sequence_40826,539,sequence_40829,528,2278.162962085796
sequence_40826,539,sequence_40831,525,1951.5679078930075
sequence_40826,539,sequence_40856,498,3089.5448676338287
sequence_40826,539,sequence_40815,498,5222.694637370624
sequence_40826,539,sequence_40851,477,5705.751063610569
sequence_40826,539,sequence_40847,486,5627.28585895872
sequence_40826,539,sequence_40858,495,3121.566964421532
sequence_40826,539,sequence_40852,474,5629.145363613198
sequence_40826,539,sequence_40843,495,3102.610931647423
sequence_40826,539,sequence_40846,483,5697.748353207337
sequence_40826,539,sequence_40791,454,6352.920534049829
sequence_40826,539,sequence_40793,456,6499.592034581098
sequence_40826,539,sequence_40861,464,5764.892549187919
sequence_40826,539,sequence_40812,464,7769.453492525104
sequence_40826,539,sequence_40854,465,5637.71146064236
sequence_40826,539,sequence_40853,463,6487.268344904177
sequence_40826,539,sequence_40848,461,5689.152566825932
sequence_40826,539,sequence_40849,464,5709.25125538973
sequence_40826,539,sequence_40850,462,5850.193376905293
sequence_40826,539,sequence_40792,517,3048.228158310595
sequence_40826,539,sequence_40790,523,2740.292133303999
sequence_40826,539,sequence_40860,535,2237.9611244938706
sequence_40826,539,sequence_40839,538,341.53824686743303
sequence_40826,539,sequence_40835,535,3774.5404887788814
sequence_40826,539,sequence_40819,532,1410.7476166056813
sequence_40826,539,sequence_40824,523,529.8556692714438
sequence_40826,539,sequence_40825,532,2295.454878834067
sequence_40826,539,sequence_40797,558,1730.3887661397853
sequence_40826,539,sequence_40800,558,2589.900481016923
sequence_40826,539,sequence_40803,549,2859.6865822322998
sequence_40826,539,sequence_40804,561,2237.666332567767
sequence_40826,539,sequence_40805,564,2125.7064326390573
sequence_40826,539,sequence_40864,549,2120.744014723446
sequence_40826,539,sequence_40808,543,4521.906552866245
