,id,target,labels
0,sequence_40826,539,33
1,sequence_40787,510,30
2,sequence_40789,510,12
3,sequence_40794,519,18
4,sequence_40806,525,47
5,sequence_40807,528,74
6,sequence_40809,528,51
7,sequence_40811,534,6
8,sequence_40813,528,29
9,sequence_40814,510,71
10,sequence_40845,495,78
11,sequence_40855,522,35
12,sequence_40857,522,41
13,sequence_40840,528,37
14,sequence_40841,528,40
15,sequence_40842,522,20
16,sequence_40844,519,14
17,sequence_40838,531,43
18,sequence_40816,531,50
19,sequence_40817,528,28
20,sequence_40818,522,62
21,sequence_40827,525,54
22,sequence_40828,519,65
23,sequence_40829,528,13
24,sequence_40831,525,17
25,sequence_40856,498,2
26,sequence_40815,498,32
27,sequence_40851,477,77
28,sequence_40847,486,38
29,sequence_40858,495,3
30,sequence_40852,474,42
31,sequence_40843,495,0
32,sequence_40846,483,75
33,sequence_40791,454,67
34,sequence_40793,456,68
35,sequence_40861,464,19
36,sequence_40812,464,1
37,sequence_40854,465,46
38,sequence_40853,463,7
39,sequence_40848,461,26
40,sequence_40849,464,34
41,sequence_40850,462,64
42,sequence_40792,517,60
43,sequence_40790,523,58
44,sequence_40860,535,15
45,sequence_40839,538,36
46,sequence_40835,535,4
47,sequence_40819,532,21
48,sequence_40824,523,27
49,sequence_40825,532,55
50,sequence_40797,558,48
51,sequence_40800,558,57
52,sequence_40803,549,8
53,sequence_40804,561,53
54,sequence_40805,564,52
55,sequence_40864,549,16
56,sequence_40808,543,72
57,sequence_40810,549,23
58,sequence_40862,546,9
59,sequence_40859,543,5
60,sequence_40836,543,24
61,sequence_40837,543,22
62,sequence_40820,543,59
63,sequence_40821,549,61
64,sequence_40822,549,49
65,sequence_40823,546,39
66,sequence_40834,546,10
67,sequence_40832,555,25
68,sequence_40833,549,11
69,sequence_40830,558,63
70,sequence_40798,579,76
71,sequence_40865,580,45
72,sequence_40863,566,44
73,sequence_40801,561,79
74,sequence_40802,560,31
75,sequence_40796,567,80
76,sequence_40795,562,73
77,sequence_40866,620,70
78,sequence_40799,597,69
79,sequence_40788,510,56
80,sequence_40867,622,66
