,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,7.413755747868953,0-0-0-0-0
48,sequence_40826,539,sequence_40825,532,0.1794706819068006,0-0-0-0-0
66,sequence_40826,539,sequence_40832,555,6.849472617496724,0-0-0-0-0
47,sequence_40826,539,sequence_40824,523,6.856625925059175,0-0-0-0-0
49,sequence_40826,539,sequence_40797,558,8.380058812777223,0-0-0-0-0
4,sequence_40826,539,sequence_40807,528,1.8333994460381755,0-0-0-0-0
14,sequence_40826,539,sequence_40842,522,10.006164519693591,0-0-0-0-0
6,sequence_40826,539,sequence_40811,534,9.44967354173658,0-0-0-0-0
64,sequence_40826,539,sequence_40823,546,9.910837305713718,0-0-0-0-0
54,sequence_40826,539,sequence_40864,549,4.4916617761245,0-0-0-0-0
3,sequence_40826,539,sequence_40806,525,10.467123039508708,0-0-0-0-0
53,sequence_40826,539,sequence_40805,564,5.385413645869834,0-0-0-0-0
44,sequence_40826,539,sequence_40839,538,3.0536443583377384,0-0-0-0-0
52,sequence_40826,539,sequence_40804,561,4.145460969889257,0-0-0-0-0
43,sequence_40826,539,sequence_40860,535,4.434515147101758,0-0-0-0-0
46,sequence_40826,539,sequence_40819,532,5.470144416774702,0-0-0-0-0
67,sequence_40826,539,sequence_40833,549,2.8755754362937207,0-0-0-0-0
55,sequence_40826,539,sequence_40808,543,1.099695626791508,0-0-0-0-0
63,sequence_40826,539,sequence_40822,549,13.79714021003862,0-0-0-0-0
1,sequence_40826,539,sequence_40789,510,3.542952217292348,0-0-0-0-0
7,sequence_40826,539,sequence_40813,528,1.5072074933162178,0-0-0-0-0
65,sequence_40826,539,sequence_40834,546,15.263741636281411,0-0-0-0-0
56,sequence_40826,539,sequence_40810,549,10.071804213352443,0-0-0-0-0
16,sequence_40826,539,sequence_40838,531,5.465814002692553,0-0-0-0-0
5,sequence_40826,539,sequence_40809,528,4.863092173680353,0-0-0-0-0
18,sequence_40826,539,sequence_40817,528,3.1110756357876985,0-0-0-0-0
50,sequence_40826,539,sequence_40800,558,2.7742657888587274,0-0-0-0-0
10,sequence_40826,539,sequence_40855,522,3.1911549785521194,0-0-0-0-0
8,sequence_40826,539,sequence_40814,510,15.170593399330858,0-0-0-0-1
11,sequence_40826,539,sequence_40857,522,11.622722820006487,0-0-0-0-1
9,sequence_40826,539,sequence_40845,495,11.29388087779524,0-0-0-0-1
17,sequence_40826,539,sequence_40816,531,22.898133471058728,0-0-0-0-2
19,sequence_40826,539,sequence_40818,522,26.595644715259123,0-0-0-0-2
34,sequence_40826,539,sequence_40861,464,28.57688376486676,1-1-1-1-5
36,sequence_40826,539,sequence_40854,465,29.06259033766744,1-1-1-1-5
30,sequence_40826,539,sequence_40843,495,27.790704411713577,1-1-1-1-5
37,sequence_40826,539,sequence_40853,463,31.25657321023885,1-1-1-1-5
40,sequence_40826,539,sequence_40850,462,28.687524993764075,1-1-1-1-5
28,sequence_40826,539,sequence_40858,495,28.40176920857428,1-1-1-1-5
35,sequence_40826,539,sequence_40812,464,30.95439947680264,1-1-1-1-5
29,sequence_40826,539,sequence_40852,474,28.697021494465467,1-1-1-1-5
24,sequence_40826,539,sequence_40856,498,27.78094360263753,1-1-1-1-5
25,sequence_40826,539,sequence_40815,498,29.387927422837,1-1-1-1-5
38,sequence_40826,539,sequence_40848,461,28.676419830819952,1-1-1-1-5
39,sequence_40826,539,sequence_40849,464,29.29353166497812,1-1-1-1-5
27,sequence_40826,539,sequence_40847,486,28.33008813221716,1-1-1-1-5
13,sequence_40826,539,sequence_40841,528,4.080840160093647,1-0-0-0-0
12,sequence_40826,539,sequence_40840,528,5.438853362939081,1-0-0-0-0
69,sequence_40826,539,sequence_40798,579,10.312392914911944,1-0-0-0-11
79,sequence_40826,539,sequence_40867,622,14.400469798741682,1-0-0-0-11
20,sequence_40826,539,sequence_40827,525,6.298722956811686,1-0-0-0-11
