id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,2454.9050016461574
sequence_40826,539,sequence_40789,510,331.004280358608
sequence_40826,539,sequence_40794,519,990.5854072847882
sequence_40826,539,sequence_40806,525,977.8797338732765
sequence_40826,539,sequence_40807,528,167.27326785475915
sequence_40826,539,sequence_40809,528,442.0003076029134
sequence_40826,539,sequence_40811,534,895.1378217640232
sequence_40826,539,sequence_40813,528,137.2131530168298
sequence_40826,539,sequence_40814,510,1508.4034808938059
sequence_40826,539,sequence_40845,495,1112.1419660406266
sequence_40826,539,sequence_40855,522,305.2819440287944
sequence_40826,539,sequence_40857,522,1144.7619509066153
sequence_40826,539,sequence_40840,528,526.004546752649
sequence_40826,539,sequence_40841,528,393.2089811405252
sequence_40826,539,sequence_40842,522,973.4484899502595
sequence_40826,539,sequence_40844,519,1953.2636630080513
sequence_40826,539,sequence_40838,531,541.9931665123462
sequence_40826,539,sequence_40816,531,2325.061535136442
sequence_40826,539,sequence_40817,528,295.0475124246602
sequence_40826,539,sequence_40818,522,2783.930195863835
sequence_40826,539,sequence_40827,525,594.139255050792
sequence_40826,539,sequence_40828,519,1126.3522006639487
sequence_40826,539,sequence_40829,528,2094.507365203811
sequence_40826,539,sequence_40831,525,2391.289382602561
sequence_40826,539,sequence_40856,498,3079.0219872177204
sequence_40826,539,sequence_40815,498,3341.298310816369
sequence_40826,539,sequence_40851,477,2285.0056560893104
sequence_40826,539,sequence_40847,486,3202.425893131926
sequence_40826,539,sequence_40858,495,3212.2530818879327
sequence_40826,539,sequence_40852,474,3221.2883631496557
sequence_40826,539,sequence_40843,495,3056.075527534141
sequence_40826,539,sequence_40846,483,2267.713999594605
sequence_40826,539,sequence_40791,454,3584.708327167975
sequence_40826,539,sequence_40793,456,3638.507699816286
sequence_40826,539,sequence_40861,464,3234.7050352711776
sequence_40826,539,sequence_40812,464,3501.508361819152
sequence_40826,539,sequence_40854,465,3262.10092162022
sequence_40826,539,sequence_40853,463,3493.626907951884
sequence_40826,539,sequence_40848,461,3286.4497031864507
sequence_40826,539,sequence_40849,464,3307.451833924509
sequence_40826,539,sequence_40850,462,3221.1581396619213
sequence_40826,539,sequence_40792,517,1594.3991929605143
sequence_40826,539,sequence_40790,523,1461.8139115596687
sequence_40826,539,sequence_40860,535,407.7867707356015
sequence_40826,539,sequence_40839,538,296.8051783014408
sequence_40826,539,sequence_40835,535,1585.6619667212997
sequence_40826,539,sequence_40819,532,521.247391162565
sequence_40826,539,sequence_40824,523,706.9976283392965
sequence_40826,539,sequence_40825,532,18.36077856028987
sequence_40826,539,sequence_40797,558,817.2808557641981
sequence_40826,539,sequence_40800,558,274.74723950342064
sequence_40826,539,sequence_40803,549,730.1494907523391
sequence_40826,539,sequence_40804,561,408.42633428617205
sequence_40826,539,sequence_40805,564,528.5323296288317
sequence_40826,539,sequence_40864,549,442.0145837256503
sequence_40826,539,sequence_40808,543,100.9419288596171
sequence_40826,539,sequence_40810,549,926.5153118738837
sequence_40826,539,sequence_40862,546,1465.24851790211
sequence_40826,539,sequence_40859,543,2010.2201390992407
sequence_40826,539,sequence_40836,543,873.8452773485818
sequence_40826,539,sequence_40837,543,1905.6810279340848
sequence_40826,539,sequence_40820,543,1441.8973433715107
sequence_40826,539,sequence_40821,549,1572.9435795429886
sequence_40826,539,sequence_40822,549,1374.4222925691652
sequence_40826,539,sequence_40823,546,936.3810012752659
sequence_40826,539,sequence_40834,546,1440.8500504972924
sequence_40826,539,sequence_40832,555,661.3570403548827
sequence_40826,539,sequence_40833,549,274.0332036753758
sequence_40826,539,sequence_40830,558,863.464549751627
sequence_40826,539,sequence_40798,579,1162.915223568812
sequence_40826,539,sequence_40865,580,953.0178134018113
sequence_40826,539,sequence_40863,566,1676.5051464978537
sequence_40826,539,sequence_40801,561,894.9526045724601
sequence_40826,539,sequence_40802,560,1487.6061670016834
sequence_40826,539,sequence_40796,567,2058.054093296447
sequence_40826,539,sequence_40795,562,1836.8536895362838
sequence_40826,539,sequence_40866,620,1333.4564314021663
sequence_40826,539,sequence_40799,597,1449.0680548015332
sequence_40826,539,sequence_40788,510,1206.9307245067673
sequence_40826,539,sequence_40867,622,1573.664637545624
sequence_40787,510,sequence_40826,539,2454.9050016461574
