id,label,target,labels,profile
sequence_40803,0,549,0-0-0-0,0-0-0-0-0
sequence_40825,1,532,0-0-0-0,1-0-0-0-0
sequence_40814,0,510,1-1-1-1,0-1-1-1-1
sequence_40816,2,531,0-0-0-7,2-0-0-0-7
sequence_40832,0,555,0-0-0-0,0-0-0-0-0
sequence_40861,2,464,1-1-0-5,2-1-1-0-5
sequence_40826,1,539,0-0-0-0,1-0-0-0-0
sequence_40841,1,528,0-0-0-0,1-0-0-0-0
sequence_40798,1,579,0-0-0-9,1-0-0-0-9
sequence_40802,1,560,2-2-2-6,1-2-2-2-6
sequence_40821,0,549,0-0-0-0,0-0-0-0-0
sequence_40824,0,523,0-0-0-0,0-0-0-0-0
sequence_40854,0,465,1-1-1-4,0-1-1-1-4
sequence_40797,0,558,0-0-0-0,0-0-0-0-0
sequence_40807,1,528,2-2-2-6,1-2-2-2-6
sequence_40829,1,528,0-0-0-2,1-0-0-0-2
sequence_40843,0,495,0-0-0-8,0-0-0-0-8
sequence_40842,1,522,0-0-0-0,1-0-0-0-0
sequence_40811,1,534,0-0-0-0,1-0-0-0-0
sequence_40823,0,546,0-0-0-0,0-0-0-0-0
sequence_40844,1,519,0-0-0-0,1-0-0-0-0
sequence_40867,2,622,0-0-0-8,2-0-0-0-8
sequence_40864,0,549,0-0-0-7,0-0-0-0-7
sequence_40853,0,463,1-1-1-3,0-1-1-1-3
sequence_40806,2,525,0-0-0-0,2-0-0-0-0
sequence_40850,0,462,1-1-1-4,0-1-1-1-4
sequence_40846,0,483,1-1-1-3,0-1-1-1-3
sequence_40835,1,535,0-0-0-8,1-0-0-0-8
sequence_40805,1,564,2-2-2-6,1-2-2-2-6
sequence_40792,0,517,0-0-0-0,0-0-0-0-0
sequence_40827,0,525,0-0-0-0,0-0-0-0-0
sequence_40851,2,477,1-1-1-4,2-1-1-1-4
sequence_40839,1,538,0-0-0-0,1-0-0-0-0
sequence_40857,0,522,1-1-1-1,0-1-1-1-1
sequence_40858,0,495,1-1-1-3,0-1-1-1-3
sequence_40812,0,464,1-1-1-4,0-1-1-1-4
sequence_40866,1,620,0-0-0-9,1-0-0-0-9
sequence_40804,0,561,0-0-0-7,0-0-0-0-7
sequence_40799,2,597,0-0-0-9,2-0-0-0-9
sequence_40818,1,522,0-0-0-8,1-0-0-0-8
sequence_40860,1,535,2-2-2-6,1-2-2-2-6
sequence_40845,2,495,1-1-1-1,2-1-1-1-1
sequence_40840,0,528,0-0-0-7,0-0-0-0-7
sequence_40859,1,543,0-0-0-0,1-0-0-0-0
sequence_40852,0,474,1-1-1-4,0-1-1-1-4
sequence_40837,0,543,0-0-0-8,0-0-0-0-8
sequence_40856,0,498,1-1-1-3,0-1-1-1-3
sequence_40815,0,498,1-1-1-1,0-1-1-1-1
sequence_40794,1,519,2-2-2-6,1-2-2-2-6
sequence_40819,1,532,0-0-0-0,1-0-0-0-0
sequence_40833,1,549,0-0-0-0,1-0-0-0-0
sequence_40831,2,525,0-0-0-0,2-0-0-0-0
sequence_40808,0,543,0-0-0-0,0-0-0-0-0
sequence_40822,1,549,0-0-0-0,1-0-0-0-0
sequence_40848,0,461,1-1-1-4,0-1-1-1-4
sequence_40820,1,543,0-0-0-0,1-0-0-0-0
sequence_40789,1,510,2-2-0-6,1-2-2-0-6
sequence_40791,0,454,1-1-1-4,0-1-1-1-4
sequence_40862,2,546,0-0-0-0,2-0-0-0-0
sequence_40813,1,528,0-0-0-0,1-0-0-0-0
sequence_40793,0,456,1-1-1-4,0-1-1-1-4
sequence_40834,0,546,0-0-0-0,0-0-0-0-0
sequence_40810,1,549,2-2-2-6,1-2-2-2-6
sequence_40838,0,531,0-0-0-8,0-0-0-0-8
sequence_40830,1,558,0-0-0-9,1-0-0-0-9
sequence_40795,0,562,0-0-0-0,0-0-0-0-0
sequence_40788,1,510,2-2-0-6,1-2-2-0-6
sequence_40849,0,464,1-1-1-4,0-1-1-1-4
sequence_40836,1,543,0-0-0-8,1-0-0-0-8
sequence_40809,2,528,2-0-0-0,2-2-0-0-0
sequence_40817,2,528,0-0-0-8,2-0-0-0-8
sequence_40796,1,567,0-0-0-9,1-0-0-0-9
sequence_40800,1,558,2-2-2-6,1-2-2-2-6
sequence_40790,0,523,0-0-0-0,0-0-0-0-0
sequence_40855,0,522,1-1-1-1,0-1-1-1-1
sequence_40865,2,580,0-0-0-9,2-0-0-0-9
sequence_40828,1,519,0-0-0-2,1-0-0-0-2
sequence_40787,0,510,0-0-0-0,0-0-0-0-0
sequence_40847,0,486,1-1-1-3,0-1-1-1-3
sequence_40863,2,566,0-0-0-7,2-0-0-0-7
sequence_40801,1,561,2-2-2-6,1-2-2-2-6
