id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,408.5613
sequence_40826,539,sequence_40789,510,13.659400000000005
sequence_40826,539,sequence_40794,519,290.732
sequence_40826,539,sequence_40806,525,139.6538
sequence_40826,539,sequence_40807,528,8.683099999999996
sequence_40826,539,sequence_40809,528,403.2623
sequence_40826,539,sequence_40811,534,268.4621
sequence_40826,539,sequence_40813,528,113.06190000000001
sequence_40826,539,sequence_40814,510,100.2533
sequence_40826,539,sequence_40845,495,13.377899999999997
sequence_40826,539,sequence_40855,522,209.7065
sequence_40826,539,sequence_40857,522,255.24810000000002
sequence_40826,539,sequence_40840,528,91.0888
sequence_40826,539,sequence_40841,528,21.973100000000002
sequence_40826,539,sequence_40842,522,317.1309
sequence_40826,539,sequence_40844,519,118.12610000000001
sequence_40826,539,sequence_40838,531,164.06149999999997
sequence_40826,539,sequence_40816,531,604.6084000000001
sequence_40826,539,sequence_40817,528,209.7065
sequence_40826,539,sequence_40818,522,631.3041000000001
sequence_40826,539,sequence_40827,525,294.6486
sequence_40826,539,sequence_40828,519,130.9707
sequence_40826,539,sequence_40829,528,394.9019
sequence_40826,539,sequence_40831,525,604.6084000000001
sequence_40826,539,sequence_40856,498,683.709532722976
sequence_40826,539,sequence_40815,498,658.4319502840898
sequence_40826,539,sequence_40851,477,317.72714896838767
sequence_40826,539,sequence_40847,486,650.8923699064463
sequence_40826,539,sequence_40858,495,699.0232482168459
sequence_40826,539,sequence_40852,474,616.1850866908255
sequence_40826,539,sequence_40843,495,650.7548762737165
sequence_40826,539,sequence_40846,483,380.6932588499959
sequence_40826,539,sequence_40791,454,616.7779800312833
sequence_40826,539,sequence_40793,456,631.9112650529504
sequence_40826,539,sequence_40861,464,636.9705417070636
sequence_40826,539,sequence_40812,464,629.0239137618062
sequence_40826,539,sequence_40854,465,650.8923699064463
sequence_40826,539,sequence_40853,463,645.5616025332828
sequence_40826,539,sequence_40848,461,648.5681403025206
sequence_40826,539,sequence_40849,464,623.3571959289715
sequence_40826,539,sequence_40850,462,662.1134154229698
sequence_40826,539,sequence_40792,517,140.0992
sequence_40826,539,sequence_40790,523,27.037300000000002
sequence_40826,539,sequence_40860,535,161.3921
sequence_40826,539,sequence_40839,538,209.7065
sequence_40826,539,sequence_40835,535,192.5246
sequence_40826,539,sequence_40819,532,202.3773
sequence_40826,539,sequence_40824,523,94.2875
sequence_40826,539,sequence_40825,532,242.3017
sequence_40826,539,sequence_40797,558,248.2675
sequence_40826,539,sequence_40800,558,411.9454
sequence_40826,539,sequence_40803,549,148.01420000000002
sequence_40826,539,sequence_40804,561,161.3921
sequence_40826,539,sequence_40805,564,214.132
sequence_40826,539,sequence_40864,549,403.2623
sequence_40826,539,sequence_40808,543,128.8083
sequence_40826,539,sequence_40810,549,286.7169
sequence_40826,539,sequence_40862,546,27.037300000000002
sequence_40826,539,sequence_40859,543,280.1209
sequence_40826,539,sequence_40836,543,340.5388
sequence_40826,539,sequence_40837,543,206.184
sequence_40826,539,sequence_40820,543,27.037300000000002
sequence_40826,539,sequence_40821,549,140.0992
sequence_40826,539,sequence_40822,549,300.6144
sequence_40826,539,sequence_40823,546,351.1832
sequence_40826,539,sequence_40834,546,166.34949999999998
sequence_40826,539,sequence_40832,555,159.46450000000002
sequence_40826,539,sequence_40833,549,411.9454
sequence_40826,539,sequence_40830,558,268.4621
sequence_40826,539,sequence_40798,579,365.66193497910064
sequence_40826,539,sequence_40865,580,484.45059782985095
sequence_40826,539,sequence_40863,566,426.9054560929504
sequence_40826,539,sequence_40801,561,491.70205584029236
sequence_40826,539,sequence_40802,560,412.8317189514996
