id,label
sequence_40803,0
sequence_40825,1
sequence_40814,2
sequence_40816,0
sequence_40832,2
sequence_40861,2
sequence_40826,2
sequence_40841,1
sequence_40798,1
sequence_40802,1
sequence_40821,0
sequence_40824,1
sequence_40854,2
sequence_40797,0
sequence_40807,0
sequence_40829,2
sequence_40843,0
sequence_40842,1
sequence_40811,1
sequence_40823,1
sequence_40844,0
sequence_40867,0
sequence_40864,1
sequence_40853,2
sequence_40806,1
sequence_40850,2
sequence_40846,1
sequence_40835,0
sequence_40805,1
sequence_40792,0
sequence_40827,0
sequence_40851,1
sequence_40839,2
sequence_40857,2
sequence_40858,0
sequence_40812,2
sequence_40866,1
sequence_40804,0
sequence_40799,0
sequence_40818,0
sequence_40860,0
sequence_40845,0
sequence_40840,0
sequence_40859,0
sequence_40852,2
sequence_40837,0
sequence_40856,2
sequence_40815,1
sequence_40794,2
sequence_40819,1
sequence_40833,0
sequence_40831,2
sequence_40808,0
sequence_40822,1
sequence_40848,2
sequence_40820,1
sequence_40789,1
sequence_40791,2
sequence_40862,1
sequence_40813,0
sequence_40793,2
sequence_40834,0
sequence_40810,1
sequence_40838,1
sequence_40830,1
sequence_40795,0
sequence_40788,0
sequence_40849,2
sequence_40836,1
sequence_40809,1
sequence_40817,2
sequence_40796,0
sequence_40800,0
sequence_40790,1
sequence_40855,0
sequence_40865,1
sequence_40828,1
sequence_40787,0
sequence_40847,2
sequence_40863,0
sequence_40801,0
