,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,74.7435,0-1-0-0-0-0
48,sequence_40826,539,sequence_40825,532,19.0982,0-1-0-0-35-0
8,sequence_40826,539,sequence_40814,510,146.4461,0-1-0-0-58-1
17,sequence_40826,539,sequence_40816,531,281.8752,0-2-2-2-41-2
66,sequence_40826,539,sequence_40832,555,105.344,0-1-0-0-34-0
34,sequence_40826,539,sequence_40861,464,332.9993547618523,1-0-1-1-10-5
13,sequence_40826,539,sequence_40841,528,42.5835,1-1-0-0-19-0
69,sequence_40826,539,sequence_40798,579,123.37610712046316,1-1-0-0-67-10
73,sequence_40826,539,sequence_40802,560,104.97289806826332,0-1-0-0-2-0
62,sequence_40826,539,sequence_40821,549,112.8647,0-1-0-0-38-11
47,sequence_40826,539,sequence_40824,523,55.6453,0-1-0-0-26-0
36,sequence_40826,539,sequence_40854,465,342.76205396182644,1-0-1-1-45-5
49,sequence_40826,539,sequence_40797,558,71.70259999999999,0-1-0-0-68-0
4,sequence_40826,539,sequence_40807,528,68.8274,0-1-0-0-5-0
22,sequence_40826,539,sequence_40829,528,200.0453,0-0-0-0-28-3
30,sequence_40826,539,sequence_40843,495,332.1353696797286,1-0-1-1-17-6
14,sequence_40826,539,sequence_40842,522,107.6624,0-1-0-0-44-0
6,sequence_40826,539,sequence_40811,534,100.4012,0-1-0-0-59-0
64,sequence_40826,539,sequence_40823,546,109.1931,0-1-0-0-25-0
15,sequence_40826,539,sequence_40844,519,155.4482,1-1-0-0-16-4
79,sequence_40826,539,sequence_40867,622,178.51507853736052,1-1-0-0-79-10
54,sequence_40826,539,sequence_40864,549,30.9675,0-1-0-0-64-0
37,sequence_40826,539,sequence_40853,463,364.7739466551442,1-0-1-1-46-5
3,sequence_40826,539,sequence_40806,525,94.3343,0-1-0-0-61-0
40,sequence_40826,539,sequence_40850,462,333.39831185139496,1-0-1-1-50-5
31,sequence_40826,539,sequence_40846,483,202.25002225396665,0-1-0-0-53-4
45,sequence_40826,539,sequence_40835,535,149.2325,0-1-0-0-22-8
53,sequence_40826,539,sequence_40805,564,56.430800000000005,0-1-0-0-1-0
41,sequence_40826,539,sequence_40792,517,112.8647,0-1-0-0-76-7
20,sequence_40826,539,sequence_40827,525,53.5992,1-1-0-0-31-0
26,sequence_40826,539,sequence_40851,477,184.95658671082788,1-1-0-0-49-4
44,sequence_40826,539,sequence_40839,538,81.82990000000001,0-1-0-0-20-0
11,sequence_40826,539,sequence_40857,522,105.711,0-1-0-0-56-1
28,sequence_40826,539,sequence_40858,495,348.5523193342572,1-0-1-1-55-5
35,sequence_40826,539,sequence_40812,464,347.4458803424355,1-0-1-1-11-5
76,sequence_40826,539,sequence_40866,620,162.23138458448784,1-1-0-0-80-10
52,sequence_40826,539,sequence_40804,561,9.9437,0-1-0-0-62-0
77,sequence_40826,539,sequence_40799,597,144.11896103289115,1-1-0-0-66-10
19,sequence_40826,539,sequence_40818,522,331.7199,0-2-2-2-42-2
43,sequence_40826,539,sequence_40860,535,9.9437,0-1-0-0-9-0
9,sequence_40826,539,sequence_40845,495,84.68719999999999,0-1-0-0-54-1
12,sequence_40826,539,sequence_40840,528,57.5404,1-1-0-0-18-0
58,sequence_40826,539,sequence_40859,543,222.5268,0-1-0-0-13-9
29,sequence_40826,539,sequence_40852,474,332.8508571449381,1-0-1-1-48-5
60,sequence_40826,539,sequence_40837,543,162.4531,0-1-0-0-21-8
24,sequence_40826,539,sequence_40856,498,342.0672979492486,1-0-1-1-14-6
25,sequence_40826,539,sequence_40815,498,362.9881044848439,1-0-1-1-57-5
2,sequence_40826,539,sequence_40794,519,54.3168,0-1-0-0-73-0
46,sequence_40826,539,sequence_40819,532,50.8128,0-1-0-0-39-0
67,sequence_40826,539,sequence_40833,549,37.8599,0-1-0-0-33-0
23,sequence_40826,539,sequence_40831,525,281.8752,0-0-0-0-27-3
55,sequence_40826,539,sequence_40808,543,6.066900000000001,0-1-0-0-7-0
63,sequence_40826,539,sequence_40822,549,144.4,0-1-0-0-36-0
38,sequence_40826,539,sequence_40848,461,336.70704439610404,1-0-1-1-51-5
61,sequence_40826,539,sequence_40820,543,97.9078,0-1-0-0-37-11
1,sequence_40826,539,sequence_40789,510,13.220600000000005,0-1-0-0-71-0
32,sequence_40826,539,sequence_40791,454,346.9519136753103,1-0-1-1-75-5
57,sequence_40826,539,sequence_40862,546,97.9078,0-1-0-0-8-0
7,sequence_40826,539,sequence_40813,528,14.9569,0-1-0-0-12-0
33,sequence_40826,539,sequence_40793,456,351.46569335883976,1-0-1-1-77-5
65,sequence_40826,539,sequence_40834,546,144.179,0-1-0-0-24-0
56,sequence_40826,539,sequence_40810,549,117.5583,0-1-0-0-60-0
16,sequence_40826,539,sequence_40838,531,60.8075,0-1-0-0-43-0
68,sequence_40826,539,sequence_40830,558,100.4012,1-1-0-0-30-10
75,sequence_40826,539,sequence_40795,562,133.7150079566613,0-1-0-0-70-11
78,sequence_40826,539,sequence_40788,510,124.08242451112888,1-1-0-0-72-10
39,sequence_40826,539,sequence_40849,464,337.47013573679374,1-0-1-1-47-5
59,sequence_40826,539,sequence_40836,543,74.489,0-1-0-0-23-0
5,sequence_40826,539,sequence_40809,528,30.9675,0-1-0-0-6-0
18,sequence_40826,539,sequence_40817,528,81.82990000000001,0-1-0-0-40-0
74,sequence_40826,539,sequence_40796,567,167.21275164977698,1-1-0-0-69-11
50,sequence_40826,539,sequence_40800,558,37.8599,0-1-0-0-4-0
42,sequence_40826,539,sequence_40790,523,97.9078,0-1-0-0-74-7
10,sequence_40826,539,sequence_40855,522,81.82990000000001,0-1-0-0-15-0
70,sequence_40826,539,sequence_40865,580,105.06848727230252,1-1-0-0-63-10
21,sequence_40826,539,sequence_40828,519,163.1617,0-1-0-0-29-3
0,sequence_40826,539,sequence_40787,510,213.2659,0-1-0-0-78-7
27,sequence_40826,539,sequence_40847,486,342.76205396182644,1-0-1-1-52-5
71,sequence_40826,539,sequence_40863,566,117.03600541004464,0-1-0-0-65-11
72,sequence_40826,539,sequence_40801,561,107.30225062621008,1-1-0-0-3-10
