,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_40826,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
1,sequence_40787,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
2,sequence_40789,0,0,0,0,5,0,1,1,0,0,0,1,0,4,12,15,15,0,17,16,16,13,19,16,0,19,26,15
3,sequence_40794,0,0,0,0,5,0,1,1,0,0,0,1,0,4,12,15,15,0,17,16,16,13,19,16,0,19,26,15
4,sequence_40806,0,0,3,4,4,6,4,2,8,1,5,5,7,3,3,3,2,4,2,4,6,4,2,3,5,3,3,2
5,sequence_40807,0,0,3,4,4,6,4,2,8,1,5,5,7,3,3,3,2,4,2,4,6,4,2,3,5,3,3,2
6,sequence_40809,0,0,3,4,4,6,4,2,8,1,5,5,7,3,3,3,2,4,2,4,6,4,2,3,5,3,3,2
7,sequence_40811,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
8,sequence_40813,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
9,sequence_40814,1,1,1,1,3,1,0,3,1,3,1,3,2,2,1,16,1,14,4,19,15,15,12,9,16,11,14,17
10,sequence_40845,1,1,1,1,3,1,0,3,1,3,1,3,2,2,1,16,1,14,4,19,15,15,12,9,16,11,14,17
11,sequence_40855,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
12,sequence_40857,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
13,sequence_40840,0,0,0,0,5,0,1,1,0,0,0,1,0,1,2,0,14,2,19,18,3,19,15,20,1,17,12,19
14,sequence_40841,0,0,0,0,5,0,1,1,0,0,0,1,0,1,2,0,14,2,19,18,3,19,15,20,1,17,12,19
15,sequence_40842,0,0,0,0,5,0,1,1,0,0,0,1,0,1,2,0,14,2,19,18,3,19,15,20,1,17,12,19
16,sequence_40844,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
17,sequence_40838,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
18,sequence_40816,0,0,0,0,5,0,5,8,6,8,9,0,9,6,10,9,8,12,8,13,14,8,11,11,8,15,7,9
19,sequence_40817,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,12,2,0,10,12,9,0,0,4,1,0,18
20,sequence_40818,0,0,0,0,5,0,5,8,6,8,9,0,9,6,10,9,8,12,8,13,14,8,11,11,8,15,7,9
21,sequence_40827,0,0,0,0,1,5,6,4,9,9,6,8,5,9,7,6,17,6,9,5,0,0,9,4,11,8,4,7
22,sequence_40828,0,0,0,0,1,5,6,4,9,9,6,8,5,9,7,6,17,6,9,5,0,0,9,4,11,8,4,7
23,sequence_40829,0,0,0,2,5,0,1,6,2,4,10,6,3,8,6,4,7,10,5,8,5,6,6,10,7,6,8,4
24,sequence_40831,0,0,0,2,5,0,1,6,2,4,10,6,3,8,6,4,7,10,5,8,5,6,6,10,7,6,8,4
25,sequence_40856,0,0,0,2,5,0,1,6,2,4,10,6,3,8,6,4,7,10,5,8,5,6,6,10,7,6,8,4
26,sequence_40815,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,13,1,1
27,sequence_40851,1,1,1,1,3,4,2,3,3,3,2,3,2,5,5,2,3,5,10,2,7,3,4,5,6,2,2,5
28,sequence_40847,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,13,1,1
29,sequence_40858,0,0,0,2,5,0,1,6,2,4,10,6,3,8,6,4,7,10,5,8,5,6,6,10,7,6,8,4
30,sequence_40852,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,13,1,1
31,sequence_40843,0,0,0,2,5,0,1,6,2,4,10,6,3,8,6,4,7,10,5,8,5,6,6,10,7,6,8,4
32,sequence_40846,1,1,1,1,3,4,2,3,3,3,2,3,2,5,5,2,3,5,10,2,7,3,4,5,6,2,2,5
33,sequence_40791,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,19,1,17,19,2,5,16,20
34,sequence_40793,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,19,1,17,19,2,5,16,20
35,sequence_40861,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,13,1,1
36,sequence_40812,1,1,1,1,0,1,0,0,1,10,11,9,11,12,9,14,9,13,14,9,17,14,7,12,15,9,13,12
37,sequence_40854,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,13,1,1
38,sequence_40853,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,26,1,25
39,sequence_40848,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,13,1,1
40,sequence_40849,1,1,1,1,0,1,0,0,1,2,1,4,1,2,1,1,1,1,1,3,1,10,1,1,10,13,1,1
41,sequence_40850,1,1,1,1,0,1,0,0,1,2,1,4,13,2,14,8,1,16,12,1,18,7,13,17,18,0,6,22
42,sequence_40792,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,16,18,11,0,21,21,21,14,19,20,21,23
43,sequence_40790,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,0,16,18,11,0,21,21,21,14,19,20,21,23
44,sequence_40860,0,0,0,0,5,0,1,1,0,0,0,1,0,4,2,10,0,2,0,10,12,2,0,0,4,1,0,18
