id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,0.005489989121158251
sequence_40826,539,sequence_40789,510,0.0009429252201848679
sequence_40826,539,sequence_40794,519,0.0028948626173957446
sequence_40826,539,sequence_40806,525,0.0018858119827936677
sequence_40826,539,sequence_40807,528,0.0021362129991312957
sequence_40826,539,sequence_40809,528,0.0019566927093182325
sequence_40826,539,sequence_40811,534,0.0035572888825352814
sequence_40826,539,sequence_40813,528,0.000435264393048942
sequence_40826,539,sequence_40814,510,0.0023557818589478477
sequence_40826,539,sequence_40845,495,0.001398085717004361
sequence_40826,539,sequence_40855,522,0.002144421157727398
sequence_40826,539,sequence_40857,522,0.0026355295243045
sequence_40826,539,sequence_40840,528,0.0014326191770511567
sequence_40826,539,sequence_40841,528,0.001869131871864279
sequence_40826,539,sequence_40842,522,0.0035384357098030973
sequence_40826,539,sequence_40844,519,0.0037688635329768344
sequence_40826,539,sequence_40838,531,0.001151571580637432
sequence_40826,539,sequence_40816,531,0.0067117536418278
sequence_40826,539,sequence_40817,528,0.002153657856676122
sequence_40826,539,sequence_40818,522,0.008591815120968035
sequence_40826,539,sequence_40827,525,0.0021724408301253936
sequence_40826,539,sequence_40828,519,0.004039975293751296
sequence_40826,539,sequence_40829,528,0.004538481509493415
sequence_40826,539,sequence_40831,525,0.006693105972547975
sequence_40826,539,sequence_40856,498,0.014791969970229059
sequence_40826,539,sequence_40815,498,0.015062015584151366
sequence_40826,539,sequence_40851,477,0.007359072873589044
sequence_40826,539,sequence_40847,486,0.01408623716691223
sequence_40826,539,sequence_40858,495,0.01534704732742888
sequence_40826,539,sequence_40852,474,0.011895261741609866
sequence_40826,539,sequence_40843,495,0.012661774704254952
sequence_40826,539,sequence_40846,483,0.009536427416491158
sequence_40826,539,sequence_40791,454,0.01427952444909286
sequence_40826,539,sequence_40793,456,0.013835022408698976
sequence_40826,539,sequence_40861,464,0.01261213512594854
sequence_40826,539,sequence_40812,464,0.012849053886916147
