id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,1.0
sequence_40826,539,sequence_40789,510,0.13223541480703063
sequence_40826,539,sequence_40794,519,0.5380425449904811
sequence_40826,539,sequence_40806,525,0.8559540631631507
sequence_40826,539,sequence_40807,528,1.0
sequence_40826,539,sequence_40809,528,1.0
sequence_40826,539,sequence_40811,534,0.705536436968312
sequence_40826,539,sequence_40813,528,0.5792908611253297
sequence_40826,539,sequence_40814,510,1.0
sequence_40826,539,sequence_40845,495,1.0
sequence_40826,539,sequence_40855,522,0.12496217074794626
sequence_40826,539,sequence_40857,522,1.0
sequence_40826,539,sequence_40840,528,0.8446447719961471
sequence_40826,539,sequence_40841,528,0.5195835354569791
sequence_40826,539,sequence_40842,522,0.4567889737381262
sequence_40826,539,sequence_40844,519,1.0
sequence_40826,539,sequence_40838,531,0.35395417212979835
sequence_40826,539,sequence_40816,531,1.0
sequence_40826,539,sequence_40817,528,0.12496217074794626
sequence_40826,539,sequence_40818,522,1.0
sequence_40826,539,sequence_40827,525,0.39772288851268767
sequence_40826,539,sequence_40828,519,1.0
sequence_40826,539,sequence_40829,528,1.0
sequence_40826,539,sequence_40831,525,1.0
sequence_40826,539,sequence_40856,498,2.2499243414958925
sequence_40826,539,sequence_40815,498,3.1249621707479465
sequence_40826,539,sequence_40851,477,2.3977228885126878
sequence_40826,539,sequence_40847,486,3.1249621707479465
sequence_40826,539,sequence_40858,495,3.1249621707479465
sequence_40826,539,sequence_40852,474,3.0
sequence_40826,539,sequence_40843,495,2.1249621707479465
sequence_40826,539,sequence_40846,483,2.5226850592606342
sequence_40826,539,sequence_40791,454,4.0
sequence_40826,539,sequence_40793,456,4.0
sequence_40826,539,sequence_40861,464,4.0
sequence_40826,539,sequence_40812,464,4.0
sequence_40826,539,sequence_40854,465,3.1249621707479465
sequence_40826,539,sequence_40853,463,4.0
sequence_40826,539,sequence_40848,461,3.333661993662166
sequence_40826,539,sequence_40849,464,3.4851217621660995
sequence_40826,539,sequence_40850,462,3.025032419593984
sequence_40826,539,sequence_40792,517,1.0
sequence_40826,539,sequence_40790,523,1.0
sequence_40826,539,sequence_40860,535,1.0
sequence_40826,539,sequence_40839,538,0.12496217074794626
sequence_40826,539,sequence_40835,535,1.0
sequence_40826,539,sequence_40819,532,0.3336619936621658
sequence_40826,539,sequence_40824,523,0.4851217621660996
sequence_40826,539,sequence_40825,532,0.02503241959398424
sequence_40826,539,sequence_40797,558,1.0
sequence_40826,539,sequence_40800,558,0.6183008620157591
sequence_40826,539,sequence_40803,549,0.504033316335739
sequence_40826,539,sequence_40804,561,1.0
sequence_40826,539,sequence_40805,564,0.4237882848690011
sequence_40826,539,sequence_40864,549,1.0
sequence_40826,539,sequence_40808,543,0.3797530949135489
sequence_40826,539,sequence_40810,549,0.9049646777862523
sequence_40826,539,sequence_40862,546,1.0
sequence_40826,539,sequence_40859,543,1.0
sequence_40826,539,sequence_40836,543,1.0
sequence_40826,539,sequence_40837,543,1.0
sequence_40826,539,sequence_40820,543,1.0
sequence_40826,539,sequence_40821,549,1.0
sequence_40826,539,sequence_40822,549,1.0
sequence_40826,539,sequence_40823,546,0.44396540062227957
sequence_40826,539,sequence_40834,546,0.8993456672874814
sequence_40826,539,sequence_40832,555,1.0
sequence_40826,539,sequence_40833,549,0.6183008620157591
sequence_40826,539,sequence_40830,558,0.705536436968312
sequence_40826,539,sequence_40798,579,1.7055364369683121
sequence_40826,539,sequence_40865,580,1.7055364369683121
sequence_40826,539,sequence_40863,566,2.0
sequence_40826,539,sequence_40801,561,1.323837298984071
sequence_40826,539,sequence_40802,560,1.618300862015759
sequence_40826,539,sequence_40796,567,2.705536436968312
sequence_40826,539,sequence_40795,562,2.0
sequence_40826,539,sequence_40866,620,2.705536436968312
sequence_40826,539,sequence_40799,597,2.705536436968312
sequence_40826,539,sequence_40788,510,1.8377718517753427
sequence_40826,539,sequence_40867,622,3.705536436968312
sequence_40787,510,sequence_40826,539,1.0
sequence_40787,510,sequence_40789,510,1.0
sequence_40787,510,sequence_40794,519,1.0
sequence_40787,510,sequence_40806,525,1.8559540631631508
sequence_40787,510,sequence_40807,528,2.0
sequence_40787,510,sequence_40809,528,2.0
sequence_40787,510,sequence_40811,534,1.7055364369683121
sequence_40787,510,sequence_40813,528,1.5792908611253296
sequence_40787,510,sequence_40814,510,2.0
sequence_40787,510,sequence_40845,495,2.0
sequence_40787,510,sequence_40855,522,1.1249621707479462
sequence_40787,510,sequence_40857,522,2.0
sequence_40787,510,sequence_40840,528,1.8446447719961472
sequence_40787,510,sequence_40841,528,1.519583535456979
sequence_40787,510,sequence_40842,522,1.456788973738126
sequence_40787,510,sequence_40844,519,2.0
sequence_40787,510,sequence_40838,531,1.3539541721297983
sequence_40787,510,sequence_40816,531,2.0
sequence_40787,510,sequence_40817,528,1.1249621707479462
sequence_40787,510,sequence_40818,522,2.0
sequence_40787,510,sequence_40827,525,1.3977228885126878
sequence_40787,510,sequence_40828,519,2.0
sequence_40787,510,sequence_40829,528,2.0
sequence_40787,510,sequence_40831,525,2.0
sequence_40787,510,sequence_40856,498,3.2499243414958925
sequence_40787,510,sequence_40815,498,4.1249621707479465
sequence_40787,510,sequence_40851,477,3.3977228885126878
sequence_40787,510,sequence_40847,486,4.1249621707479465
sequence_40787,510,sequence_40858,495,4.1249621707479465
sequence_40787,510,sequence_40852,474,4.0
sequence_40787,510,sequence_40843,495,3.1249621707479465
sequence_40787,510,sequence_40846,483,3.5226850592606342
sequence_40787,510,sequence_40791,454,3.912058946987218
sequence_40787,510,sequence_40793,456,3.705536436968312
sequence_40787,510,sequence_40861,464,5.0
sequence_40787,510,sequence_40812,464,5.0
sequence_40787,510,sequence_40854,465,4.1249621707479465
sequence_40787,510,sequence_40853,463,5.0
sequence_40787,510,sequence_40848,461,4.333661993662166
sequence_40787,510,sequence_40849,464,4.4851217621660995
sequence_40787,510,sequence_40850,462,4.025032419593984
sequence_40787,510,sequence_40792,517,0.705536436968312
sequence_40787,510,sequence_40790,523,0.912058946987218
sequence_40787,510,sequence_40860,535,2.0
sequence_40787,510,sequence_40839,538,1.1249621707479462
sequence_40787,510,sequence_40835,535,2.0
sequence_40787,510,sequence_40819,532,1.3336619936621659
sequence_40787,510,sequence_40824,523,1.4851217621660995
sequence_40787,510,sequence_40825,532,1.0250324195939842
sequence_40787,510,sequence_40797,558,2.0
sequence_40787,510,sequence_40800,558,1.618300862015759
sequence_40787,510,sequence_40803,549,1.5040333163357391
sequence_40787,510,sequence_40804,561,2.0
sequence_40787,510,sequence_40805,564,1.423788284869001
sequence_40787,510,sequence_40864,549,2.0
sequence_40787,510,sequence_40808,543,1.379753094913549
sequence_40787,510,sequence_40810,549,1.9049646777862523
sequence_40787,510,sequence_40862,546,2.0
sequence_40787,510,sequence_40859,543,2.0
sequence_40787,510,sequence_40836,543,2.0
sequence_40787,510,sequence_40837,543,2.0
sequence_40787,510,sequence_40820,543,2.0
sequence_40787,510,sequence_40821,549,2.0
sequence_40787,510,sequence_40822,549,2.0
sequence_40787,510,sequence_40823,546,1.4439654006222795
sequence_40787,510,sequence_40834,546,1.8993456672874816
sequence_40787,510,sequence_40832,555,2.0
sequence_40787,510,sequence_40833,549,1.618300862015759
sequence_40787,510,sequence_40830,558,1.7055364369683121
sequence_40787,510,sequence_40798,579,2.705536436968312
sequence_40787,510,sequence_40865,580,2.705536436968312
sequence_40787,510,sequence_40863,566,3.0
sequence_40787,510,sequence_40801,561,2.323837298984071
sequence_40787,510,sequence_40802,560,2.618300862015759
sequence_40787,510,sequence_40796,567,3.705536436968312
sequence_40787,510,sequence_40795,562,3.0
sequence_40787,510,sequence_40866,620,3.705536436968312
sequence_40787,510,sequence_40799,597,3.705536436968312
sequence_40787,510,sequence_40788,510,2.705536436968312
sequence_40787,510,sequence_40867,622,4.705536436968313
sequence_40789,510,sequence_40826,539,0.13223541480703063
sequence_40789,510,sequence_40787,510,1.0
sequence_40789,510,sequence_40794,519,0.43689118624797174
sequence_40789,510,sequence_40806,525,0.9881894779701813
sequence_40789,510,sequence_40807,528,1.1322354148070306
sequence_40789,510,sequence_40809,528,1.1322354148070306
sequence_40789,510,sequence_40811,534,0.8377718517753426
sequence_40789,510,sequence_40813,528,0.7115262759323603
sequence_40789,510,sequence_40814,510,1.1322354148070306
sequence_40789,510,sequence_40845,495,1.1322354148070306
sequence_40789,510,sequence_40855,522,0.2571975855549769
sequence_40789,510,sequence_40857,522,1.1322354148070306
sequence_40789,510,sequence_40840,528,0.9768801868031777
sequence_40789,510,sequence_40841,528,0.6518189502640097
sequence_40789,510,sequence_40842,522,0.5890243885451568
sequence_40789,510,sequence_40844,519,1.1322354148070306
sequence_40789,510,sequence_40838,531,0.486189586936829
sequence_40789,510,sequence_40816,531,1.1322354148070306
sequence_40789,510,sequence_40817,528,0.2571975855549769
sequence_40789,510,sequence_40818,522,1.1322354148070306
sequence_40789,510,sequence_40827,525,0.5299583033197183
sequence_40789,510,sequence_40828,519,1.1322354148070306
sequence_40789,510,sequence_40829,528,1.1322354148070306
sequence_40789,510,sequence_40831,525,1.1322354148070306
sequence_40789,510,sequence_40856,498,2.382159756302923
sequence_40789,510,sequence_40815,498,3.257197585554977
sequence_40789,510,sequence_40851,477,2.5299583033197184
sequence_40789,510,sequence_40847,486,3.257197585554977
sequence_40789,510,sequence_40858,495,3.257197585554977
sequence_40789,510,sequence_40852,474,3.1322354148070306
sequence_40789,510,sequence_40843,495,2.257197585554977
sequence_40789,510,sequence_40846,483,2.654920474067665
sequence_40789,510,sequence_40791,454,4.0
sequence_40789,510,sequence_40793,456,4.0
sequence_40789,510,sequence_40861,464,4.132235414807031
sequence_40789,510,sequence_40812,464,4.132235414807031
sequence_40789,510,sequence_40854,465,3.257197585554977
sequence_40789,510,sequence_40853,463,4.132235414807031
sequence_40789,510,sequence_40848,461,3.4658974084691967
sequence_40789,510,sequence_40849,464,3.61735717697313
sequence_40789,510,sequence_40850,462,3.1572678344010146
sequence_40789,510,sequence_40792,517,1.0
sequence_40789,510,sequence_40790,523,1.0
sequence_40789,510,sequence_40860,535,1.1322354148070306
sequence_40789,510,sequence_40839,538,0.2571975855549769
sequence_40789,510,sequence_40835,535,1.1322354148070306
sequence_40789,510,sequence_40819,532,0.4658974084691965
sequence_40789,510,sequence_40824,523,0.6173571769731302
sequence_40789,510,sequence_40825,532,0.15726783440101488
sequence_40789,510,sequence_40797,558,1.1322354148070306
sequence_40789,510,sequence_40800,558,0.7505362768227897
sequence_40789,510,sequence_40803,549,0.6362687311427696
sequence_40789,510,sequence_40804,561,1.1322354148070306
