id,label
sequence_47777,0
sequence_47708,0
sequence_47743,1
sequence_47674,2
sequence_47741,1
sequence_47724,2
sequence_47683,0
sequence_47745,2
sequence_47727,0
sequence_47779,2
sequence_47739,0
sequence_47732,1
sequence_47666,2
sequence_47661,1
sequence_47738,1
sequence_47714,2
sequence_47729,2
sequence_47752,2
sequence_47702,2
sequence_47798,0
sequence_47788,1
sequence_47806,2
sequence_47769,2
sequence_47785,2
sequence_47676,0
sequence_47810,1
sequence_47719,1
sequence_47737,1
sequence_47805,2
sequence_47786,2
sequence_47688,0
sequence_47723,2
sequence_47796,1
sequence_47783,0
sequence_47663,1
sequence_47725,2
sequence_47764,2
sequence_47662,0
sequence_47740,0
sequence_47694,1
sequence_47731,0
sequence_47734,0
sequence_47791,2
sequence_47801,1
sequence_47768,1
sequence_47755,2
sequence_47697,1
sequence_47733,1
sequence_47735,0
sequence_47811,0
sequence_47797,0
sequence_47770,2
sequence_47689,0
sequence_47765,2
sequence_47760,1
sequence_47790,0
sequence_47808,1
sequence_47670,1
sequence_47716,0
sequence_47677,0
sequence_47690,1
sequence_47700,1
sequence_47664,1
sequence_47668,1
sequence_47762,0
sequence_47704,0
sequence_47713,2
sequence_47773,0
sequence_47722,2
sequence_47799,1
sequence_47758,0
sequence_47761,2
sequence_47665,1
sequence_47749,0
sequence_47728,1
sequence_47804,2
sequence_47693,0
sequence_47778,0
sequence_47671,2
sequence_47699,2
sequence_47679,1
sequence_47730,0
sequence_47691,2
sequence_47794,2
sequence_47774,2
sequence_47687,2
sequence_47775,0
sequence_47803,0
sequence_47789,0
sequence_47795,1
sequence_47720,0
sequence_47709,2
sequence_47742,0
sequence_47751,1
sequence_47754,2
sequence_47772,1
sequence_47726,1
sequence_47748,2
sequence_47707,0
sequence_47812,0
sequence_47782,2
sequence_47747,0
sequence_47692,2
sequence_47681,2
sequence_47767,2
sequence_47718,2
sequence_47809,1
sequence_47763,2
sequence_47780,2
sequence_47807,2
sequence_47756,0
sequence_47744,2
sequence_47721,0
sequence_47771,0
sequence_47750,0
sequence_47787,1
sequence_47793,2
sequence_47746,2
sequence_47757,0
sequence_47802,1
sequence_47667,1
sequence_47675,1
sequence_47736,1
sequence_47684,1
sequence_47669,1
sequence_47672,2
sequence_47759,0
sequence_47712,2
sequence_47703,0
sequence_47753,2
sequence_47678,1
sequence_47680,1
sequence_47698,2
sequence_47711,2
sequence_47784,1
sequence_47685,1
sequence_47710,0
sequence_47673,1
sequence_47717,2
sequence_47715,2
sequence_47792,0
sequence_47696,1
sequence_47706,1
sequence_47766,1
sequence_47705,2
sequence_47701,1
sequence_47682,0
sequence_47800,0
sequence_47781,1
sequence_47695,0
sequence_47776,1
sequence_47686,0
