id,label,target,labels,profile
sequence_47777,1,11.0,0-0-0-3,1-0-0-0-3
sequence_47708,0,111.0,1-1-1-13,0-1-1-1-13
sequence_47743,3,63.0,0-0-0-8,3-0-0-0-8
sequence_47674,1,38.0,0-0-0-15,1-0-0-0-15
sequence_47741,1,102.0,0-0-0-17,1-0-0-0-17
sequence_47724,3,48.0,0-0-0-15,3-0-0-0-15
sequence_47683,2,75.0,0-0-0-11,2-0-0-0-11
sequence_47745,2,83.0,0-0-0-11,2-0-0-0-11
sequence_47727,1,45.0,0-0-0-5,1-0-0-0-5
sequence_47779,1,11.0,0-0-0-3,1-0-0-0-3
sequence_47739,0,35.0,0-0-0-17,0-0-0-0-17
sequence_47732,1,30.0,0-0-0-5,1-0-0-0-5
sequence_47666,1,69.0,0-0-0-4,1-0-0-0-4
sequence_47661,3,52.0,0-0-0-7,3-0-0-0-7
sequence_47738,1,55.0,0-0-0-17,1-0-0-0-17
sequence_47714,1,51.0,0-0-0-17,1-0-0-0-17
sequence_47729,3,34.0,0-0-0-18,3-0-0-0-18
sequence_47752,2,67.0,0-0-0-7,2-0-0-0-7
sequence_47702,0,69.0,1-1-1-12,0-1-1-1-12
sequence_47798,3,23.0,0-0-0-7,3-0-0-0-7
sequence_47788,2,5.0,0-0-0-18,2-0-0-0-18
sequence_47806,0,73.0,1-1-1-14,0-1-1-1-14
sequence_47769,0,25.0,0-0-0-3,0-0-0-0-3
sequence_47785,2,25.0,0-0-0-3,2-0-0-0-3
sequence_47676,0,56.0,0-0-0-15,0-0-0-0-15
sequence_47810,1,5.57,0-0-0-18,1-0-0-0-18
sequence_47719,1,66.0,0-0-0-9,1-0-0-0-9
sequence_47737,3,27.0,0-0-0-0,3-0-0-0-0
sequence_47805,3,22.0,0-0-0-18,3-0-0-0-18
sequence_47786,3,18.0,0-0-0-18,3-0-0-0-18
sequence_47688,2,90.0,0-0-0-7,2-0-0-0-7
sequence_47723,3,69.0,0-0-0-15,3-0-0-0-15
sequence_47796,3,20.0,0-0-0-7,3-0-0-0-7
sequence_47783,1,24.5,0-0-0-5,1-0-0-0-5
sequence_47663,3,36.0,0-0-0-7,3-0-0-0-7
sequence_47725,3,57.0,0-0-0-15,3-0-0-0-15
sequence_47764,0,118.0,1-1-1-14,0-1-1-1-14
sequence_47662,1,28.0,0-0-0-5,1-0-0-0-5
sequence_47740,3,158.0,0-0-0-17,3-0-0-0-17
sequence_47694,3,51.0,0-0-0-0,3-0-0-0-0
sequence_47731,1,32.0,0-0-0-5,1-0-0-0-5
sequence_47734,1,110.0,0-0-0-5,1-0-0-0-5
sequence_47791,2,4.0,0-0-0-18,2-0-0-0-18
sequence_47801,2,4.0,0-0-0-18,2-0-0-0-18
sequence_47768,0,17.0,0-0-0-17,0-0-0-0-17
sequence_47755,1,100.0,0-0-0-17,1-0-0-0-17
sequence_47697,1,55.5,0-0-0-0,1-0-0-0-0
sequence_47733,3,25.0,0-0-0-7,3-0-0-0-7
sequence_47735,3,55.0,0-0-0-15,3-0-0-0-15
sequence_47811,1,24.0,0-0-0-5,1-0-0-0-5
sequence_47797,1,27.0,0-0-0-5,1-0-0-0-5
sequence_47770,1,25.0,0-0-0-9,1-0-0-0-9
sequence_47689,1,52.0,0-0-0-7,1-0-0-0-7
sequence_47765,0,118.0,1-1-1-14,0-1-1-1-14
sequence_47760,2,26.0,0-0-0-1,2-0-0-0-1
sequence_47790,3,9.0,0-0-0-18,3-0-0-0-18
sequence_47808,3,4.0,0-0-0-0,3-0-0-0-0
sequence_47670,3,97.0,0-0-0-7,3-0-0-0-7
sequence_47716,3,84.0,0-0-0-7,3-0-0-0-7
sequence_47677,2,103.0,0-0-0-11,2-0-0-0-11
sequence_47690,2,63.0,0-0-0-7,2-0-0-0-7
sequence_47700,0,65.0,1-1-1-12,0-1-1-1-12
sequence_47664,3,32.0,0-0-0-7,3-0-0-0-7
sequence_47668,1,48.0,0-0-0-16,1-0-0-0-16
sequence_47762,0,127.0,1-1-1-14,0-1-1-1-14
sequence_47704,0,98.0,1-1-1-12,0-1-1-1-12
sequence_47713,2,51.0,0-0-0-17,2-0-0-0-17
sequence_47773,2,19.0,0-0-0-18,2-0-0-0-18
sequence_47722,0,75.0,0-0-0-17,0-0-0-0-17
sequence_47799,3,24.0,0-0-0-3,3-0-0-0-3
sequence_47758,3,22.0,0-0-0-7,3-0-0-0-7
sequence_47761,0,120.0,1-1-1-14,0-1-1-1-14
sequence_47665,3,50.0,0-0-0-7,3-0-0-0-7
sequence_47749,3,81.0,0-0-0-9,3-0-0-0-9
sequence_47728,1,12.0,0-0-0-18,1-0-0-0-18
sequence_47804,1,23.0,0-0-0-3,1-0-0-0-3
sequence_47693,2,64.0,0-0-0-11,2-0-0-0-11
sequence_47778,1,26.0,0-0-0-3,1-0-0-0-3
sequence_47671,3,36.0,0-0-0-7,3-0-0-0-7
sequence_47699,3,62.0,0-0-0-15,3-0-0-0-15
sequence_47679,3,44.0,0-0-0-15,3-0-0-0-15
sequence_47730,2,35.0,0-0-0-7,2-0-0-0-7
sequence_47691,1,40.0,0-0-0-15,1-0-0-0-15
sequence_47794,3,18.0,0-0-0-18,3-0-0-0-18
sequence_47774,0,21.0,0-0-0-3,0-0-0-0-3
sequence_47687,2,92.0,0-0-0-0,2-0-0-0-0
sequence_47775,3,23.0,1-1-1-6,3-1-1-1-6
sequence_47803,1,12.0,0-0-0-18,1-0-0-0-18
sequence_47789,1,10.0,0-0-0-18,1-0-0-0-18
sequence_47795,3,7.0,0-0-0-18,3-0-0-0-18
sequence_47720,1,80.0,0-0-0-9,1-0-0-0-9
