,id,target,labels
0,sequence_47787,5.0,24
1,sequence_47684,23.0,7
2,sequence_47789,10.0,122
3,sequence_47790,9.0,124
4,sequence_47781,12.0,14
5,sequence_47777,11.0,10
6,sequence_47779,11.0,9
7,sequence_47784,21.0,38
8,sequence_47786,18.0,40
9,sequence_47782,17.0,41
10,sequence_47772,12.0,34
11,sequence_47795,7.0,78
12,sequence_47776,9.0,33
13,sequence_47685,24.0,28
14,sequence_47679,44.0,0
15,sequence_47695,52.0,32
16,sequence_47710,43.0,71
17,sequence_47686,22.0,79
18,sequence_47778,26.0,83
19,sequence_47780,23.0,82
20,sequence_47785,25.0,139
21,sequence_47803,12.0,117
22,sequence_47663,36.0,19
23,sequence_47757,36.0,53
24,sequence_47783,24.5,93
25,sequence_47796,20.0,84
26,sequence_47750,25.0,48
27,sequence_47760,26.0,54
28,sequence_47773,19.0,137
29,sequence_47768,17.0,15
30,sequence_47771,18.0,36
31,sequence_47681,44.0,13
32,sequence_47696,47.0,80
33,sequence_47680,73.0,1
34,sequence_47673,65.5,4
35,sequence_47700,65.0,2
36,sequence_47689,52.0,50
37,sequence_47683,75.0,55
38,sequence_47697,55.5,131
39,sequence_47678,37.0,89
40,sequence_47682,53.0,45
41,sequence_47724,48.0,49
42,sequence_47806,73.0,99
43,sequence_47807,42.0,143
44,sequence_47804,23.0,96
45,sequence_47800,20.0,134
46,sequence_47799,24.0,149
47,sequence_47664,32.0,52
48,sequence_47666,69.0,27
49,sequence_47671,36.0,59
50,sequence_47727,45.0,116
51,sequence_47756,37.0,111
52,sequence_47775,23.0,113
53,sequence_47730,35.0,108
54,sequence_47758,22.0,104
55,sequence_47797,27.0,148
56,sequence_47798,23.0,151
57,sequence_47751,34.0,92
58,sequence_47741,102.0,22
59,sequence_47743,63.0,31
60,sequence_47752,67.0,43
61,sequence_47745,83.0,66
62,sequence_47747,72.0,21
63,sequence_47748,79.0,69
64,sequence_47749,81.0,67
65,sequence_47744,69.0,18
66,sequence_47721,40.0,95
67,sequence_47759,36.0,135
68,sequence_47774,21.0,141
69,sequence_47770,25.0,85
70,sequence_47713,51.0,25
71,sequence_47738,55.0,23
72,sequence_47769,25.0,101
73,sequence_47702,69.0,17
74,sequence_47672,76.0,8
75,sequence_47705,71.0,11
76,sequence_47694,51.0,142
77,sequence_47691,40.0,87
78,sequence_47701,63.0,5
79,sequence_47706,77.0,16
80,sequence_47675,57.0,6
81,sequence_47698,56.0,86
82,sequence_47688,90.0,103
83,sequence_47704,98.0,70
84,sequence_47708,111.0,106
85,sequence_47709,119.0,150
86,sequence_47677,103.0,73
87,sequence_47692,87.5,147
88,sequence_47703,95.0,57
89,sequence_47707,79.0,94
90,sequence_47762,127.0,63
91,sequence_47765,118.0,61
92,sequence_47767,105.0,46
93,sequence_47812,121.0,97
94,sequence_47761,120.0,51
95,sequence_47764,118.0,98
96,sequence_47763,122.0,109
97,sequence_47699,62.0,146
98,sequence_47687,92.0,132
99,sequence_47693,64.0,110
100,sequence_47690,63.0,138
101,sequence_47712,49.0,76
102,sequence_47714,51.0,81
103,sequence_47725,57.0,136
104,sequence_47669,32.0,88
105,sequence_47668,48.0,56
106,sequence_47670,97.0,105
107,sequence_47665,50.0,107
108,sequence_47661,52.0,72
109,sequence_47667,86.0,75
110,sequence_47726,120.0,130
111,sequence_47734,110.0,125
112,sequence_47811,24.0,90
113,sequence_47662,28.0,64
114,sequence_47731,32.0,100
115,sequence_47733,25.0,133
116,sequence_47732,30.0,129
117,sequence_47755,100.0,145
118,sequence_47746,94.0,112
119,sequence_47754,70.0,91
120,sequence_47753,74.0,144
121,sequence_47740,158.0,62
122,sequence_47742,108.0,120
123,sequence_47715,101.0,68
124,sequence_47718,81.0,115
125,sequence_47717,66.0,77
126,sequence_47720,80.0,119
127,sequence_47716,84.0,126
128,sequence_47719,66.0,58
129,sequence_47723,69.0,118
130,sequence_47722,75.0,114
131,sequence_47674,38.0,20
132,sequence_47676,56.0,60
133,sequence_47711,57.0,128
134,sequence_47739,35.0,121
135,sequence_47735,55.0,127
136,sequence_47793,16.0,47
137,sequence_47801,4.0,74
138,sequence_47805,22.0,102
139,sequence_47802,4.0,123
140,sequence_47794,18.0,140
141,sequence_47728,12.0,35
142,sequence_47808,4.0,26
143,sequence_47792,12.0,29
144,sequence_47791,4.0,44
145,sequence_47788,5.0,65
146,sequence_47729,34.0,39
147,sequence_47809,10.0,30
148,sequence_47737,27.0,42
149,sequence_47810,5.57,12
150,sequence_47766,4.19,3
151,sequence_47736,19.0,37
