id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_47787,5.0,sequence_47684,23.0,0.007599999999999996
sequence_47787,5.0,sequence_47789,10.0,0.010599999999999998
sequence_47787,5.0,sequence_47790,9.0,0.011
sequence_47787,5.0,sequence_47781,12.0,0.007199999999999984
sequence_47787,5.0,sequence_47777,11.0,0.006500000000000006
sequence_47787,5.0,sequence_47779,11.0,0.0049000000000000155
sequence_47787,5.0,sequence_47784,21.0,0.0058
sequence_47787,5.0,sequence_47786,18.0,0.005599999999999994
sequence_47787,5.0,sequence_47782,17.0,0.0040999999999999995
sequence_47787,5.0,sequence_47772,12.0,0.006099999999999994
sequence_47787,5.0,sequence_47795,7.0,0.013799999999999993
sequence_47787,5.0,sequence_47776,9.0,0.0020000000000000018
sequence_47787,5.0,sequence_47685,24.0,0.0091
sequence_47787,5.0,sequence_47679,44.0,0.009599999999999997
sequence_47787,5.0,sequence_47695,52.0,0.010800000000000004
sequence_47787,5.0,sequence_47710,43.0,0.0131
sequence_47787,5.0,sequence_47686,22.0,0.013000000000000001
sequence_47787,5.0,sequence_47778,26.0,0.007699999999999985
sequence_47787,5.0,sequence_47780,23.0,0.008099999999999996
sequence_47787,5.0,sequence_47785,25.0,0.0116
sequence_47787,5.0,sequence_47803,12.0,0.012199999999999999
sequence_47787,5.0,sequence_47663,36.0,0.0059000000000000025
sequence_47787,5.0,sequence_47757,36.0,0.0059000000000000025
sequence_47787,5.0,sequence_47783,24.5,0.007800000000000001
sequence_47787,5.0,sequence_47796,20.0,0.005700000000000004
sequence_47787,5.0,sequence_47750,25.0,0.010699999999999994
sequence_47787,5.0,sequence_47760,26.0,0.008899999999999998
sequence_47787,5.0,sequence_47773,19.0,0.0108
sequence_47787,5.0,sequence_47768,17.0,0.0056
sequence_47787,5.0,sequence_47771,18.0,0.006900000000000017
sequence_47787,5.0,sequence_47681,44.0,0.009699999999999986
sequence_47787,5.0,sequence_47696,47.0,0.010700000000000001
sequence_47787,5.0,sequence_47680,73.0,0.009400000000000006
sequence_47787,5.0,sequence_47673,65.5,0.008399999999999998
sequence_47787,5.0,sequence_47700,65.0,0.010299999999999976
sequence_47787,5.0,sequence_47689,52.0,0.011099999999999992
sequence_47787,5.0,sequence_47683,75.0,0.013299999999999979
sequence_47787,5.0,sequence_47697,55.5,0.0143
sequence_47787,5.0,sequence_47678,37.0,0.0131
sequence_47787,5.0,sequence_47682,53.0,0.01090000000000002
sequence_47787,5.0,sequence_47724,48.0,0.01040000000000002
