id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_47787,5.0,sequence_47684,23.0,0.008611671450975855
sequence_47787,5.0,sequence_47789,10.0,0.0064075787010891005
sequence_47787,5.0,sequence_47790,9.0,0.009068268104945987
sequence_47787,5.0,sequence_47781,12.0,0.0014468257254488526
sequence_47787,5.0,sequence_47777,11.0,0.0021026302141906594
sequence_47787,5.0,sequence_47779,11.0,0.0021026302141906594
sequence_47787,5.0,sequence_47784,21.0,0.002040859819296137
sequence_47787,5.0,sequence_47786,18.0,0.001629285782287937
sequence_47787,5.0,sequence_47782,17.0,0.001629285782287937
sequence_47787,5.0,sequence_47772,12.0,0.0011070675309305944
sequence_47787,5.0,sequence_47795,7.0,0.009327160377062382
sequence_47787,5.0,sequence_47776,9.0,5.975533858559867e-05
sequence_47787,5.0,sequence_47685,24.0,0.011384278053148789
sequence_47787,5.0,sequence_47679,44.0,0.010724556204749547
sequence_47787,5.0,sequence_47695,52.0,0.015211645892166503
sequence_47787,5.0,sequence_47710,43.0,0.017491459653790065
sequence_47787,5.0,sequence_47686,22.0,0.0150560882523475
sequence_47787,5.0,sequence_47778,26.0,0.008504413934101063
sequence_47787,5.0,sequence_47780,23.0,0.008504413934101063
sequence_47787,5.0,sequence_47785,25.0,0.007552783057562573
sequence_47787,5.0,sequence_47803,12.0,0.012972567582207772
sequence_47787,5.0,sequence_47663,36.0,0.011462739789388832
sequence_47787,5.0,sequence_47757,36.0,0.004644738082521194
sequence_47787,5.0,sequence_47783,24.5,0.007969601498757362
sequence_47787,5.0,sequence_47796,20.0,0.007746539388667317
sequence_47787,5.0,sequence_47750,25.0,0.003691765194603902
sequence_47787,5.0,sequence_47760,26.0,0.0014656167596833747
sequence_47787,5.0,sequence_47773,19.0,0.007529132800114247
sequence_47787,5.0,sequence_47768,17.0,0.003215164753850641
sequence_47787,5.0,sequence_47771,18.0,0.0051526021835369695
sequence_47787,5.0,sequence_47681,44.0,0.013495159624036135
sequence_47787,5.0,sequence_47696,47.0,0.0179886812871064
sequence_47787,5.0,sequence_47680,73.0,0.010952170120697824
sequence_47787,5.0,sequence_47673,65.5,0.011849843941242333
sequence_47787,5.0,sequence_47700,65.0,0.011434576691458087
sequence_47787,5.0,sequence_47689,52.0,0.017249699112900863
sequence_47787,5.0,sequence_47683,75.0,0.0185225690413493
sequence_47787,5.0,sequence_47697,55.5,0.02166413328110217
sequence_47787,5.0,sequence_47678,37.0,0.0161905644387611
sequence_47787,5.0,sequence_47682,53.0,0.017163077188951048
sequence_47787,5.0,sequence_47724,48.0,0.01623577688750255
sequence_47787,5.0,sequence_47806,73.0,0.009207010160786289
sequence_47787,5.0,sequence_47807,42.0,0.014856284674131137
sequence_47787,5.0,sequence_47804,23.0,0.013923227914166447
sequence_47787,5.0,sequence_47800,20.0,0.014417314263624359
sequence_47787,5.0,sequence_47799,24.0,0.015068661906302516
sequence_47787,5.0,sequence_47664,32.0,0.01422868604862726
sequence_47787,5.0,sequence_47666,69.0,0.013234261973203654
sequence_47787,5.0,sequence_47671,36.0,0.014867887923375234
sequence_47787,5.0,sequence_47727,45.0,0.009096342754380315
sequence_47787,5.0,sequence_47756,37.0,0.010606393773514466
sequence_47787,5.0,sequence_47775,23.0,0.008036274993490466
sequence_47787,5.0,sequence_47730,35.0,0.008871174020468664
sequence_47787,5.0,sequence_47758,22.0,0.010377442773778167
sequence_47787,5.0,sequence_47797,27.0,0.013132575727702656
sequence_47787,5.0,sequence_47798,23.0,0.013469577136892785
sequence_47787,5.0,sequence_47751,34.0,0.006469750291056453
sequence_47787,5.0,sequence_47741,102.0,0.005814347045290602
sequence_47787,5.0,sequence_47743,63.0,0.007191580878228798
sequence_47787,5.0,sequence_47752,67.0,0.0050044980534672545
sequence_47787,5.0,sequence_47745,83.0,0.010538765439764952
sequence_47787,5.0,sequence_47747,72.0,0.007202477649143391
sequence_47787,5.0,sequence_47748,79.0,0.007790638766528302
sequence_47787,5.0,sequence_47749,81.0,0.006895780355949288
sequence_47787,5.0,sequence_47744,69.0,0.007534445237676768
sequence_47787,5.0,sequence_47721,40.0,0.021723510038313742
sequence_47787,5.0,sequence_47759,36.0,0.009761095344546056
sequence_47787,5.0,sequence_47774,21.0,0.008484877972390503
sequence_47787,5.0,sequence_47770,25.0,0.011328682554781588
sequence_47787,5.0,sequence_47713,51.0,0.0182182164483653
sequence_47787,5.0,sequence_47738,55.0,0.005814347045290602
sequence_47787,5.0,sequence_47769,25.0,0.009631395836346424
sequence_47787,5.0,sequence_47702,69.0,0.014203065400764325
sequence_47787,5.0,sequence_47672,76.0,0.01359706852008391
sequence_47787,5.0,sequence_47705,71.0,0.014135585451336419
sequence_47787,5.0,sequence_47694,51.0,0.02059239788451639
sequence_47787,5.0,sequence_47691,40.0,0.018946139130137762
sequence_47787,5.0,sequence_47701,63.0,0.011660440959326168
sequence_47787,5.0,sequence_47706,77.0,0.012806545879300302
sequence_47787,5.0,sequence_47675,57.0,0.013192695457580284
sequence_47787,5.0,sequence_47698,56.0,0.018946139130137762
sequence_47787,5.0,sequence_47688,90.0,0.0172580260476769
sequence_47787,5.0,sequence_47704,98.0,0.0192244105933026
sequence_47787,5.0,sequence_47708,111.0,0.020378820034321565
sequence_47787,5.0,sequence_47709,119.0,0.026067482266229014
sequence_47787,5.0,sequence_47677,103.0,0.019666683295275433
sequence_47787,5.0,sequence_47692,87.5,0.022618298239623025
sequence_47787,5.0,sequence_47703,95.0,0.017867544186073614
sequence_47787,5.0,sequence_47707,79.0,0.019020536766245155
sequence_47787,5.0,sequence_47762,127.0,0.015769015168341616
sequence_47787,5.0,sequence_47765,118.0,0.020522172439256692
sequence_47787,5.0,sequence_47767,105.0,0.015801423436995532
sequence_47787,5.0,sequence_47812,121.0,0.010721485492235616
sequence_47787,5.0,sequence_47761,120.0,0.017526687754811143
sequence_47787,5.0,sequence_47764,118.0,0.023034333484808434
sequence_47787,5.0,sequence_47763,122.0,0.009790696184080572
sequence_47787,5.0,sequence_47699,62.0,0.022618298239623025
sequence_47787,5.0,sequence_47687,92.0,0.02327971719995059
sequence_47787,5.0,sequence_47693,64.0,0.02512646923265982
sequence_47787,5.0,sequence_47690,63.0,0.02368612763303579
sequence_47787,5.0,sequence_47712,49.0,0.015650331481662172
sequence_47787,5.0,sequence_47714,51.0,0.02895248527471983
sequence_47787,5.0,sequence_47725,57.0,0.021690407335555717
sequence_47787,5.0,sequence_47669,32.0,0.020824548049596103
sequence_47787,5.0,sequence_47668,48.0,0.015363538131012766
sequence_47787,5.0,sequence_47670,97.0,0.01715317995743748
sequence_47787,5.0,sequence_47665,50.0,0.01669780800751497
sequence_47787,5.0,sequence_47661,52.0,0.015363562873332959
sequence_47787,5.0,sequence_47667,86.0,0.018985253216282638
sequence_47787,5.0,sequence_47726,120.0,0.010223245379348933
sequence_47787,5.0,sequence_47734,110.0,0.011558291051641523
sequence_47787,5.0,sequence_47811,24.0,0.00947999260711252
sequence_47787,5.0,sequence_47662,28.0,0.01742600317484433
sequence_47787,5.0,sequence_47731,32.0,0.008975575149202997
sequence_47787,5.0,sequence_47733,25.0,0.011632574985155908
sequence_47787,5.0,sequence_47732,30.0,0.014270619013034835
sequence_47787,5.0,sequence_47755,100.0,0.006944574428198291
sequence_47787,5.0,sequence_47746,94.0,0.013304981408758132
sequence_47787,5.0,sequence_47754,70.0,0.007447397753191254
sequence_47787,5.0,sequence_47753,74.0,0.01078982871460088
sequence_47787,5.0,sequence_47740,158.0,0.009959241837864452
sequence_47787,5.0,sequence_47742,108.0,0.012268340291796576
sequence_47787,5.0,sequence_47715,101.0,0.02382601193290179
sequence_47787,5.0,sequence_47718,81.0,0.022675492448218093
sequence_47787,5.0,sequence_47717,66.0,0.02517899774003618
sequence_47787,5.0,sequence_47720,80.0,0.02573779155817124
sequence_47787,5.0,sequence_47716,84.0,0.023334756127653677
sequence_47787,5.0,sequence_47719,66.0,0.02518973668859925
sequence_47787,5.0,sequence_47723,69.0,0.016220003762777213
sequence_47787,5.0,sequence_47722,75.0,0.022675492448218093
sequence_47787,5.0,sequence_47674,38.0,0.014626576020953075
sequence_47787,5.0,sequence_47676,56.0,0.018303063165949873
sequence_47787,5.0,sequence_47711,57.0,0.011336279117846959
sequence_47787,5.0,sequence_47739,35.0,0.012268340291796576
sequence_47787,5.0,sequence_47735,55.0,0.01107605507036491
sequence_47787,5.0,sequence_47793,16.0,0.0034557190407265015
sequence_47787,5.0,sequence_47801,4.0,0.006557055359701192
sequence_47787,5.0,sequence_47805,22.0,0.00999264244084952
sequence_47787,5.0,sequence_47802,4.0,0.009317641624786988
sequence_47787,5.0,sequence_47794,18.0,0.012739849954338411
sequence_47787,5.0,sequence_47728,12.0,0.0011070675309305944
sequence_47787,5.0,sequence_47808,4.0,0.0003019811623656832
sequence_47787,5.0,sequence_47792,12.0,0.003225984539908744
sequence_47787,5.0,sequence_47791,4.0,0.0002349964669986493
sequence_47787,5.0,sequence_47788,5.0,0.002756235552274666
sequence_47787,5.0,sequence_47729,34.0,0.004344920250726969
sequence_47787,5.0,sequence_47809,10.0,0.003541388807859369
sequence_47787,5.0,sequence_47737,27.0,0.00465896704963098
sequence_47787,5.0,sequence_47810,5.57,0.0028985967126899936
sequence_47787,5.0,sequence_47766,4.19,0.007195320647322201
sequence_47787,5.0,sequence_47736,19.0,0.0014075743944903518
sequence_47684,23.0,sequence_47787,5.0,0.008611671450975855
sequence_47684,23.0,sequence_47789,10.0,0.015052308032456163
sequence_47684,23.0,sequence_47790,9.0,0.017755744851678523
sequence_47684,23.0,sequence_47781,12.0,0.010062401457307857
sequence_47684,23.0,sequence_47777,11.0,0.010715669940701944
sequence_47684,23.0,sequence_47779,11.0,0.010715669940701944
sequence_47684,23.0,sequence_47784,21.0,0.010632075319497947
sequence_47684,23.0,sequence_47786,18.0,0.010225935489344806
sequence_47684,23.0,sequence_47782,17.0,0.010225935489344806
sequence_47684,23.0,sequence_47772,12.0,0.009757273050642445
sequence_47684,23.0,sequence_47795,7.0,0.017997743876034478
sequence_47684,23.0,sequence_47776,9.0,0.008682082603866603
sequence_47684,23.0,sequence_47685,24.0,0.002788824346719232
sequence_47684,23.0,sequence_47679,44.0,0.002127467325937049
sequence_47684,23.0,sequence_47695,52.0,0.006634684378266975
sequence_47684,23.0,sequence_47710,43.0,0.008929920808352754
sequence_47684,23.0,sequence_47686,22.0,0.006483310844256351
sequence_47684,23.0,sequence_47778,26.0,0.017150488111164486
sequence_47684,23.0,sequence_47780,23.0,0.017150488111164486
sequence_47684,23.0,sequence_47785,25.0,0.016189429383759002
sequence_47684,23.0,sequence_47803,12.0,0.021677678336478823
sequence_47684,23.0,sequence_47663,36.0,0.0020846129355552856
sequence_47684,23.0,sequence_47757,36.0,0.004386773870954208
sequence_47684,23.0,sequence_47783,24.5,0.016599671710630703
sequence_47684,23.0,sequence_47796,20.0,0.01639741642970738
sequence_47684,23.0,sequence_47750,25.0,0.0034534643552831534
sequence_47684,23.0,sequence_47760,26.0,0.006592775026079689
sequence_47684,23.0,sequence_47773,19.0,0.016212450351197782
sequence_47684,23.0,sequence_47768,17.0,0.01186669768354709
sequence_47684,23.0,sequence_47771,18.0,0.013779796574737713
sequence_47684,23.0,sequence_47681,44.0,0.0049142769697337885
sequence_47684,23.0,sequence_47696,47.0,0.009427963055306576
sequence_47684,23.0,sequence_47680,73.0,0.002359346182129074
sequence_47684,23.0,sequence_47673,65.5,0.0032532211317791715
sequence_47684,23.0,sequence_47700,65.0,0.0028438505907482092
sequence_47684,23.0,sequence_47689,52.0,0.008691051126494154
sequence_47684,23.0,sequence_47683,75.0,0.009975270936472658
sequence_47684,23.0,sequence_47697,55.5,0.01312611751553694
sequence_47684,23.0,sequence_47678,37.0,0.0076182990811589635
sequence_47684,23.0,sequence_47682,53.0,0.008604845506221537
sequence_47684,23.0,sequence_47724,48.0,0.008637831544489716
sequence_47684,23.0,sequence_47806,73.0,0.017845957613210617
sequence_47684,23.0,sequence_47807,42.0,0.023544311192456924
sequence_47684,23.0,sequence_47804,23.0,0.02262352405969581
sequence_47684,23.0,sequence_47800,20.0,0.023126300797478794
sequence_47684,23.0,sequence_47799,24.0,0.023775063688167286
sequence_47684,23.0,sequence_47664,32.0,0.004866703237522585
sequence_47684,23.0,sequence_47666,69.0,0.0038640370110479827
sequence_47684,23.0,sequence_47671,36.0,0.005504480863279371
sequence_47684,23.0,sequence_47727,45.0,0.015537217544540627
sequence_47684,23.0,sequence_47756,37.0,0.010385101084457893
sequence_47684,23.0,sequence_47775,23.0,0.016676980981219502
sequence_47684,23.0,sequence_47730,35.0,0.0153295707128549
sequence_47684,23.0,sequence_47758,22.0,0.010163471484064823
sequence_47684,23.0,sequence_47797,27.0,0.021793718703276732
sequence_47684,23.0,sequence_47798,23.0,0.022180358993625027
sequence_47684,23.0,sequence_47751,34.0,0.006248077959306042
sequence_47684,23.0,sequence_47741,102.0,0.005584206593775343
sequence_47684,23.0,sequence_47743,63.0,0.00696358393703933
sequence_47684,23.0,sequence_47752,67.0,0.004768576569512573
sequence_47684,23.0,sequence_47745,83.0,0.010315931695815794
sequence_47684,23.0,sequence_47747,72.0,0.006974507200158797
sequence_47684,23.0,sequence_47748,79.0,0.0075552285715079215
sequence_47684,23.0,sequence_47749,81.0,0.006662023792191274
sequence_47684,23.0,sequence_47744,69.0,0.007307211833230687
sequence_47684,23.0,sequence_47721,40.0,0.008372296835603588
sequence_47684,23.0,sequence_47759,36.0,0.010502511154894867
sequence_47684,23.0,sequence_47774,21.0,0.017163388738196117
sequence_47684,23.0,sequence_47770,25.0,0.020004877882083383
sequence_47684,23.0,sequence_47713,51.0,0.004225706011813379
sequence_47684,23.0,sequence_47738,55.0,0.005584206593775343
sequence_47684,23.0,sequence_47769,25.0,0.018316017255234684
sequence_47684,23.0,sequence_47702,69.0,0.005628533353311926
sequence_47684,23.0,sequence_47672,76.0,0.005018021091117042
sequence_47684,23.0,sequence_47705,71.0,0.00556263197076301
sequence_47684,23.0,sequence_47694,51.0,0.01205870140634202
sequence_47684,23.0,sequence_47691,40.0,0.010393078288749025
sequence_47684,23.0,sequence_47701,63.0,0.0030739625940922055
sequence_47684,23.0,sequence_47706,77.0,0.004223782472290494
sequence_47684,23.0,sequence_47675,57.0,0.004600761074500359
sequence_47684,23.0,sequence_47698,56.0,0.010393078288749025
sequence_47684,23.0,sequence_47688,90.0,0.00870045857190982
sequence_47684,23.0,sequence_47704,98.0,0.010683418036991243
sequence_47684,23.0,sequence_47708,111.0,0.011841594367804187
sequence_47684,23.0,sequence_47709,119.0,0.017560739213518417
sequence_47684,23.0,sequence_47677,103.0,0.011119987848514867
sequence_47684,23.0,sequence_47692,87.5,0.01408791819470312
sequence_47684,23.0,sequence_47703,95.0,0.009315640407521975
sequence_47684,23.0,sequence_47707,79.0,0.010472381886478366
sequence_47684,23.0,sequence_47762,127.0,0.010440288848775126
sequence_47684,23.0,sequence_47765,118.0,0.010779242653090937
sequence_47684,23.0,sequence_47767,105.0,0.01043791589053189
sequence_47684,23.0,sequence_47812,121.0,0.012719829681857586
sequence_47684,23.0,sequence_47761,120.0,0.010421418784586356
sequence_47684,23.0,sequence_47764,118.0,0.011341333932873954
sequence_47684,23.0,sequence_47763,122.0,0.01435528742851011
sequence_47684,23.0,sequence_47699,62.0,0.01408791819470312
sequence_47684,23.0,sequence_47687,92.0,0.014755995640835518
sequence_47684,23.0,sequence_47693,64.0,0.016613931244478186
sequence_47684,23.0,sequence_47690,63.0,0.015166324528577468
sequence_47684,23.0,sequence_47712,49.0,0.018058145617172006
sequence_47684,23.0,sequence_47714,51.0,0.015031408951841962
sequence_47684,23.0,sequence_47725,57.0,0.014121811593660438
sequence_47684,23.0,sequence_47669,32.0,0.011496114817075909
sequence_47684,23.0,sequence_47668,48.0,0.006000376970807908
sequence_47684,23.0,sequence_47670,97.0,0.007801973765257597
sequence_47684,23.0,sequence_47665,50.0,0.00735169857143303
sequence_47684,23.0,sequence_47661,52.0,0.006000377995765249
sequence_47684,23.0,sequence_47667,86.0,0.009642451776400662
sequence_47684,23.0,sequence_47726,120.0,0.016697874901634213
sequence_47684,23.0,sequence_47734,110.0,0.018009142104434495
sequence_47684,23.0,sequence_47811,24.0,0.011470156858680025
sequence_47684,23.0,sequence_47662,28.0,0.008082054770914282
sequence_47684,23.0,sequence_47731,32.0,0.015439964968573805
sequence_47684,23.0,sequence_47733,25.0,0.018107796760240547
sequence_47684,23.0,sequence_47732,30.0,0.02074253832600903
sequence_47684,23.0,sequence_47755,100.0,0.006719334006435429
sequence_47684,23.0,sequence_47746,94.0,0.01309870344432229
sequence_47684,23.0,sequence_47754,70.0,0.00722735285099152
sequence_47684,23.0,sequence_47753,74.0,0.010574906563890818
sequence_47684,23.0,sequence_47740,158.0,0.009763347283795243
sequence_47684,23.0,sequence_47742,108.0,0.012074386776977142
sequence_47684,23.0,sequence_47715,101.0,0.010493023093350207
sequence_47684,23.0,sequence_47718,81.0,0.009335381830797629
sequence_47684,23.0,sequence_47717,66.0,0.011861992039286506
sequence_47684,23.0,sequence_47720,80.0,0.012438750493362627
sequence_47684,23.0,sequence_47716,84.0,0.010006065392932917
sequence_47684,23.0,sequence_47719,66.0,0.011872844870053134
sequence_47684,23.0,sequence_47723,69.0,0.008617873410759702
sequence_47684,23.0,sequence_47722,75.0,0.009335381830797629
sequence_47684,23.0,sequence_47674,38.0,0.0060461947266142735
sequence_47684,23.0,sequence_47676,56.0,0.009745390266406528
sequence_47684,23.0,sequence_47711,57.0,0.013724160236704086
sequence_47684,23.0,sequence_47739,35.0,0.012074386776977142
sequence_47684,23.0,sequence_47735,55.0,0.014546496465690839
sequence_47684,23.0,sequence_47793,16.0,0.012015728444880969
sequence_47684,23.0,sequence_47801,4.0,0.015229082639801717
sequence_47684,23.0,sequence_47805,22.0,0.018612566769216965
sequence_47684,23.0,sequence_47802,4.0,0.01800658822788337
sequence_47684,23.0,sequence_47794,18.0,0.021376605116239733
sequence_47684,23.0,sequence_47728,12.0,0.007525200398378451
sequence_47684,23.0,sequence_47808,4.0,0.005909421231555023
sequence_47684,23.0,sequence_47792,12.0,0.011792606442346809
sequence_47684,23.0,sequence_47791,4.0,0.00883998000315489
