id,label,target,labels,profile
sequence_47777,3,11.0,5-8-8-0,3-5-8-8-0
sequence_47708,2,111.0,12-16-16-8,2-12-16-16-8
sequence_47743,1,63.0,26-5-5-4,1-26-5-5-4
sequence_47674,2,38.0,14-19-19-12,2-14-19-19-12
sequence_47741,1,102.0,26-5-5-4,1-26-5-5-4
sequence_47724,3,48.0,12-16-16-8,3-12-16-16-8
sequence_47683,3,75.0,12-16-16-8,3-12-16-16-8
sequence_47745,1,83.0,20-14-14-17,1-20-14-14-17
sequence_47727,2,45.0,6-15-15-14,2-6-15-15-14
sequence_47779,0,11.0,28-11-11-0,0-28-11-11-0
sequence_47739,1,35.0,8-23-23-5,1-8-23-23-5
sequence_47732,0,30.0,17-10-10-14,0-17-10-10-14
sequence_47666,0,69.0,0-17-17-13,0-0-17-17-13
sequence_47661,3,52.0,14-2-2-12,3-14-2-2-12
sequence_47738,3,55.0,20-14-14-4,3-20-14-14-4
sequence_47714,2,51.0,22-3-3-9,2-22-3-3-9
sequence_47729,1,34.0,15-26-26-0,1-15-26-26-0
sequence_47752,1,67.0,26-5-5-4,1-26-5-5-4
sequence_47702,0,69.0,18-25-25-10,0-18-25-25-10
sequence_47798,2,23.0,16-1-1-17,2-16-1-1-17
sequence_47788,1,5.0,2-12-12-3,1-2-12-12-3
sequence_47806,2,73.0,24-20-20-11,2-24-20-20-11
sequence_47769,0,25.0,8-9-9-5,0-8-9-9-5
sequence_47785,2,25.0,27-7-7-9,2-27-7-7-9
sequence_47676,2,56.0,3-21-21-7,2-3-21-21-7
sequence_47810,3,5.57,19-11-11-0,3-19-11-11-0
sequence_47719,2,66.0,3-18-18-7,2-3-18-18-7
sequence_47737,1,27.0,15-26-26-4,1-15-26-26-4
sequence_47805,1,22.0,10-0-0-17,1-10-0-0-17
sequence_47786,0,18.0,5-8-8-1,0-5-8-8-1
sequence_47688,1,90.0,16-1-1-13,1-16-1-1-13
sequence_47723,2,69.0,13-13-13-16,2-13-13-13-16
sequence_47796,1,20.0,10-0-0-17,1-10-0-0-17
sequence_47783,1,24.5,6-15-15-3,1-6-15-15-3
sequence_47663,0,36.0,23-17-17-2,0-23-17-17-2
sequence_47725,2,57.0,13-13-13-16,2-13-13-13-16
sequence_47764,2,118.0,24-20-20-11,2-24-20-20-11
sequence_47662,1,28.0,14-28-28-12,1-14-28-28-12
sequence_47740,0,158.0,2-12-12-15,0-2-12-12-15
sequence_47694,1,51.0,14-2-2-12,1-14-2-2-12
sequence_47731,1,32.0,10-27-27-17,1-10-27-27-17
sequence_47734,0,110.0,17-24-24-14,0-17-24-24-14
sequence_47791,0,4.0,5-8-8-1,0-5-8-8-1
sequence_47801,0,4.0,4-0-0-4,0-4-0-0-4
sequence_47768,1,17.0,4-0-0-17,1-4-0-0-17
sequence_47755,0,100.0,17-10-10-14,0-17-10-10-14
sequence_47697,2,55.5,3-18-18-7,2-3-18-18-7
sequence_47733,0,25.0,17-10-10-14,0-17-10-10-14
sequence_47735,1,55.0,8-23-23-5,1-8-23-23-5
sequence_47811,1,24.0,6-15-15-3,1-6-15-15-3
sequence_47797,2,27.0,17-10-10-14,2-17-10-10-14
sequence_47770,2,25.0,8-9-9-5,2-8-9-9-5
sequence_47689,0,52.0,0-17-17-6,0-0-17-17-6
sequence_47765,2,118.0,7-6-6-11,2-7-6-6-11
sequence_47760,0,26.0,4-0-0-0,0-4-0-0-0
sequence_47790,2,9.0,1-7-7-5,2-1-7-7-5
sequence_47808,0,4.0,28-11-11-0,0-28-11-11-0
sequence_47670,1,97.0,14-2-2-12,1-14-2-2-12
sequence_47716,2,84.0,13-13-13-16,2-13-13-13-16
sequence_47677,2,103.0,3-21-21-7,2-3-21-21-7
sequence_47690,2,63.0,13-13-13-16,2-13-13-13-16
sequence_47700,1,65.0,9-4-4-2,1-9-4-4-2
sequence_47664,1,32.0,14-28-28-12,1-14-28-28-12
sequence_47668,1,48.0,11-2-2-12,1-11-2-2-12
sequence_47762,2,127.0,24-20-20-11,2-24-20-20-11
sequence_47704,2,98.0,7-6-6-8,2-7-6-6-8
sequence_47713,1,51.0,20-14-14-4,1-20-14-14-4
sequence_47773,3,19.0,8-9-9-5,3-8-9-9-5
sequence_47722,2,75.0,13-13-13-16,2-13-13-13-16
sequence_47799,2,24.0,25-9-9-5,2-25-9-9-5
sequence_47758,1,22.0,10-27-27-17,1-10-27-27-17
sequence_47761,2,120.0,7-6-6-11,2-7-6-6-11
sequence_47665,1,50.0,14-24-24-12,1-14-24-24-12
sequence_47749,0,81.0,20-14-14-4,0-20-14-14-4
sequence_47728,0,12.0,15-26-26-0,0-15-26-26-0
sequence_47804,2,23.0,22-3-3-9,2-22-3-3-9
sequence_47693,2,64.0,3-21-21-7,2-3-21-21-7
sequence_47778,0,26.0,1-7-7-11,0-1-7-7-11
sequence_47671,0,36.0,0-17-17-6,0-0-17-17-6
sequence_47699,2,62.0,13-13-13-16,2-13-13-13-16
sequence_47679,1,44.0,23-4-4-2,1-23-4-4-2
sequence_47730,1,35.0,10-27-27-17,1-10-27-27-17
sequence_47691,3,40.0,14-2-2-12,3-14-2-2-12
sequence_47794,2,18.0,27-7-7-3,2-27-7-7-3
sequence_47774,2,21.0,22-3-3-9,2-22-3-3-9
sequence_47687,2,92.0,13-13-13-16,2-13-13-13-16
sequence_47775,3,23.0,6-15-15-3,3-6-15-15-3
sequence_47803,2,12.0,8-9-9-5,2-8-9-9-5
sequence_47789,2,10.0,1-7-7-5,2-1-7-7-5
sequence_47795,0,7.0,4-0-0-4,0-4-0-0-4
sequence_47720,2,80.0,3-21-21-16,2-3-21-21-16
sequence_47709,2,119.0,3-21-21-7,2-3-21-21-7
sequence_47742,1,108.0,25-23-23-5,1-25-23-23-5
sequence_47751,2,34.0,2-12-12-15,2-2-12-12-15
sequence_47754,0,70.0,2-12-12-15,0-2-12-12-15
sequence_47772,0,12.0,4-0-0-0,0-4-0-0-0
sequence_47726,0,120.0,17-10-10-14,0-17-10-10-14
sequence_47748,1,79.0,20-14-14-4,1-20-14-14-4
sequence_47707,2,79.0,12-16-16-8,2-12-16-16-8
sequence_47812,2,121.0,24-20-20-11,2-24-20-20-11
