id,label,target,labels,profile
sequence_47777,2,11.0,1-0-0-1,2-1-0-0-1
sequence_47708,1,111.0,1-25-25-5,1-1-25-25-5
sequence_47743,3,63.0,1-16-16-9,3-1-16-16-9
sequence_47674,3,38.0,1-7-7-4,3-1-7-7-4
sequence_47741,3,102.0,1-16-16-9,3-1-16-16-9
sequence_47724,3,48.0,1-21-21-4,3-1-21-21-4
sequence_47683,3,75.0,1-21-21-4,3-1-21-21-4
sequence_47745,3,83.0,1-16-16-9,3-1-16-16-9
sequence_47727,1,45.0,2-1-1-8,1-2-1-1-8
sequence_47779,2,11.0,1-0-0-1,2-1-0-0-1
sequence_47739,1,35.0,1-4-4-9,1-1-4-4-9
sequence_47732,1,30.0,2-1-1-8,1-2-1-1-8
sequence_47666,0,69.0,0-18-18-2,0-0-18-18-2
sequence_47661,0,52.0,0-18-18-2,0-0-18-18-2
sequence_47738,2,55.0,1-16-16-9,2-1-16-16-9
sequence_47714,1,51.0,1-4-4-9,1-1-4-4-9
sequence_47729,3,34.0,3-2-2-0,3-3-2-2-0
sequence_47752,1,67.0,0-20-20-9,1-0-20-20-9
sequence_47702,3,69.0,1-7-7-4,3-1-7-7-4
sequence_47798,0,23.0,0-15-15-2,0-0-15-15-2
sequence_47788,0,5.0,3-11-11-12,0-3-11-11-12
sequence_47806,3,73.0,1-12-12-6,3-1-12-12-6
sequence_47769,0,25.0,1-12-12-6,0-1-12-12-6
sequence_47785,0,25.0,1-0-0-1,0-1-0-0-1
sequence_47676,1,56.0,1-25-25-5,1-1-25-25-5
sequence_47810,0,5.57,3-11-11-12,0-3-11-11-12
sequence_47719,3,66.0,0-13-13-10,3-0-13-13-10
sequence_47737,2,27.0,3-5-5-13,2-3-5-5-13
sequence_47805,2,22.0,3-17-17-11,2-3-17-17-11
sequence_47786,3,18.0,3-17-17-11,3-3-17-17-11
sequence_47688,1,90.0,0-9-9-2,1-0-9-9-2
sequence_47723,1,69.0,1-25-25-5,1-1-25-25-5
sequence_47796,3,20.0,0-15-15-2,3-0-15-15-2
sequence_47783,3,24.5,2-10-10-8,3-2-10-10-8
sequence_47663,2,36.0,0-26-26-2,2-0-26-26-2
sequence_47725,2,57.0,1-21-21-5,2-1-21-21-5
sequence_47764,3,118.0,1-12-12-6,3-1-12-12-6
sequence_47662,1,28.0,2-1-1-8,1-2-1-1-8
sequence_47740,1,158.0,1-16-16-9,1-1-16-16-9
sequence_47694,1,51.0,3-14-14-0,1-3-14-14-0
sequence_47731,1,32.0,2-1-1-8,1-2-1-1-8
sequence_47734,3,110.0,2-1-1-8,3-2-1-1-8
sequence_47791,3,4.0,3-17-17-11,3-3-17-17-11
sequence_47801,0,4.0,3-11-11-12,0-3-11-11-12
sequence_47768,1,17.0,1-12-12-6,1-1-12-12-6
sequence_47755,3,100.0,1-16-16-9,3-1-16-16-9
sequence_47697,1,55.5,3-8-8-0,1-3-8-8-0
sequence_47733,0,25.0,0-18-18-2,0-0-18-18-2
sequence_47735,1,55.0,1-3-3-5,1-1-3-3-5
sequence_47811,3,24.0,2-10-10-8,3-2-10-10-8
sequence_47797,3,27.0,2-10-10-8,3-2-10-10-8
sequence_47770,3,25.0,0-6-6-10,3-0-6-6-10
sequence_47689,1,52.0,0-9-9-2,1-0-9-9-2
sequence_47765,3,118.0,1-12-12-6,3-1-12-12-6
sequence_47760,1,26.0,3-5-5-13,1-3-5-5-13
sequence_47790,3,9.0,3-11-11-12,3-3-11-11-12
sequence_47808,0,4.0,3-5-5-13,0-3-5-5-13
sequence_47670,1,97.0,0-18-18-2,1-0-18-18-2
sequence_47716,3,84.0,0-13-13-10,3-0-13-13-10
sequence_47677,1,103.0,1-25-25-5,1-1-25-25-5
sequence_47690,3,63.0,0-9-9-10,3-0-9-9-10
sequence_47700,2,65.0,1-7-7-4,2-1-7-7-4
sequence_47664,1,32.0,0-26-26-2,1-0-26-26-2
sequence_47668,1,48.0,0-19-19-7,1-0-19-19-7
sequence_47762,3,127.0,1-12-12-6,3-1-12-12-6
sequence_47704,1,98.0,1-25-25-5,1-1-25-25-5
sequence_47713,2,51.0,1-16-16-9,2-1-16-16-9
sequence_47773,0,19.0,3-24-24-3,0-3-24-24-3
sequence_47722,1,75.0,1-4-4-5,1-1-4-4-5
sequence_47799,3,24.0,1-0-0-1,3-1-0-0-1
sequence_47758,2,22.0,0-18-18-2,2-0-18-18-2
sequence_47761,3,120.0,1-12-12-6,3-1-12-12-6
sequence_47665,0,50.0,0-18-18-2,0-0-18-18-2
sequence_47749,0,81.0,1-16-16-9,0-1-16-16-9
sequence_47728,3,12.0,3-2-2-0,3-3-2-2-0
sequence_47804,3,23.0,1-0-0-1,3-1-0-0-1
sequence_47693,2,64.0,1-21-21-5,2-1-21-21-5
sequence_47778,3,26.0,1-0-0-1,3-1-0-0-1
sequence_47671,1,36.0,0-18-18-2,1-0-18-18-2
sequence_47699,2,62.0,1-21-21-5,2-1-21-21-5
sequence_47679,1,44.0,1-22-22-4,1-1-22-22-4
sequence_47730,0,35.0,0-18-18-2,0-0-18-18-2
sequence_47691,1,40.0,1-22-22-4,1-1-22-22-4
sequence_47794,3,18.0,3-17-17-11,3-3-17-17-11
sequence_47774,0,21.0,1-12-12-6,0-1-12-12-6
sequence_47687,0,92.0,0-13-13-10,0-0-13-13-10
sequence_47775,1,23.0,2-10-10-8,1-2-10-10-8
sequence_47803,3,12.0,3-24-24-12,3-3-24-24-12
sequence_47789,3,10.0,3-24-24-12,3-3-24-24-12
sequence_47795,0,7.0,3-27-27-12,0-3-27-27-12
sequence_47720,1,80.0,0-18-18-10,1-0-18-18-10
sequence_47709,1,119.0,1-25-25-5,1-1-25-25-5
sequence_47742,1,108.0,1-4-4-9,1-1-4-4-9
sequence_47751,1,34.0,3-2-2-3,1-3-2-2-3
sequence_47754,0,70.0,0-20-20-2,0-0-20-20-2
sequence_47772,3,12.0,3-28-28-12,3-3-28-28-12
sequence_47726,3,120.0,2-1-1-8,3-2-1-1-8
sequence_47748,2,79.0,0-18-18-2,2-0-18-18-2
sequence_47707,0,79.0,1-25-25-5,0-1-25-25-5
sequence_47812,3,121.0,1-12-12-6,3-1-12-12-6
sequence_47782,3,17.0,0-6-6-12,3-0-6-6-12
sequence_47747,0,72.0,0-20-20-2,0-0-20-20-2
sequence_47692,2,87.5,1-21-21-5,2-1-21-21-5
sequence_47681,0,44.0,1-22-22-4,0-1-22-22-4
sequence_47767,3,105.0,1-3-3-5,3-1-3-3-5
sequence_47718,1,81.0,1-4-4-5,1-1-4-4-5
sequence_47809,0,10.0,3-5-5-13,0-3-5-5-13
sequence_47763,3,122.0,1-3-3-5,3-1-3-3-5
sequence_47780,3,23.0,1-0-0-1,3-1-0-0-1
sequence_47807,3,42.0,1-12-12-6,3-1-12-12-6
sequence_47756,1,37.0,2-1-1-8,1-2-1-1-8
sequence_47744,1,69.0,0-20-20-9,1-0-20-20-9
sequence_47721,0,40.0,3-23-23-3,0-3-23-23-3
sequence_47771,3,18.0,3-28-28-12,3-3-28-28-12
sequence_47750,1,25.0,3-2-2-3,1-3-2-2-3
sequence_47787,0,5.0,3-11-11-12,0-3-11-11-12
sequence_47793,3,16.0,3-17-17-11,3-3-17-17-11
sequence_47746,3,94.0,1-16-16-9,3-1-16-16-9
sequence_47757,1,36.0,0-26-26-2,1-0-26-26-2
sequence_47802,0,4.0,3-11-11-12,0-3-11-11-12
sequence_47667,1,86.0,0-18-18-2,1-0-18-18-2
sequence_47675,1,57.0,1-7-7-4,1-1-7-7-4
sequence_47736,2,19.0,3-5-5-13,2-3-5-5-13
sequence_47684,2,23.0,3-8-8-0,2-3-8-8-0
sequence_47669,2,32.0,0-19-19-7,2-0-19-19-7
sequence_47672,2,76.0,1-22-22-4,2-1-22-22-4
sequence_47759,0,36.0,3-23-23-3,0-3-23-23-3
sequence_47712,2,49.0,1-21-21-5,2-1-21-21-5
sequence_47703,1,95.0,1-25-25-5,1-1-25-25-5
sequence_47753,3,74.0,1-16-16-9,3-1-16-16-9
sequence_47678,0,37.0,3-23-23-3,0-3-23-23-3
sequence_47680,0,73.0,1-22-22-4,0-1-22-22-4
sequence_47698,1,56.0,1-22-22-4,1-1-22-22-4
sequence_47711,1,57.0,1-25-25-5,1-1-25-25-5
sequence_47784,3,21.0,0-15-15-2,3-0-15-15-2
sequence_47685,1,24.0,3-8-8-0,1-3-8-8-0
sequence_47710,0,43.0,3-8-8-0,0-3-8-8-0
sequence_47673,3,65.5,1-7-7-4,3-1-7-7-4
sequence_47717,1,66.0,1-4-4-5,1-1-4-4-5
sequence_47715,1,101.0,1-4-4-5,1-1-4-4-5
sequence_47792,0,12.0,3-11-11-12,0-3-11-11-12
sequence_47696,1,47.0,3-8-8-0,1-3-8-8-0
sequence_47706,1,77.0,1-7-7-5,1-1-7-7-5
sequence_47766,0,4.19,3-11-11-12,0-3-11-11-12
sequence_47705,1,71.0,1-22-22-4,1-1-22-22-4
sequence_47701,2,63.0,1-7-7-5,2-1-7-7-5
sequence_47682,3,53.0,1-21-21-4,3-1-21-21-4
sequence_47800,3,20.0,1-0-0-1,3-1-0-0-1
sequence_47781,2,12.0,1-0-0-1,2-1-0-0-1
sequence_47695,2,52.0,3-8-8-0,2-3-8-8-0
sequence_47776,3,9.0,3-28-28-12,3-3-28-28-12
sequence_47686,1,22.0,3-8-8-0,1-3-8-8-0
