,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,0.9498370846613488,2-0-2-2-7
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,0.9313121932782906,2-0-2-2-7
117,sequence_51016,-4.626935645431157,sequence_51164,-5.675591751285612,0.8652105754229058,2-0-2-2-7
16,sequence_51016,-4.626935645431157,sequence_51173,-7.430867304520878,0.8757381442980924,2-0-2-2-7
7,sequence_51016,-4.626935645431157,sequence_51159,-5.319842748072733,0.920323895984138,2-0-2-2-7
11,sequence_51016,-4.626935645431157,sequence_51199,-6.996026362092827,0.8491150483351068,2-0-2-2-7
126,sequence_51016,-4.626935645431157,sequence_51129,-8.402091964503104,0.8339627671447052,2-0-2-2-7
116,sequence_51016,-4.626935645431157,sequence_51180,-6.304185064160062,0.8684261190970621,2-0-2-2-7
14,sequence_51016,-4.626935645431157,sequence_51157,-7.993079403043451,0.8836776290709565,2-0-2-2-7
105,sequence_51016,-4.626935645431157,sequence_51165,-8.135108482126563,0.903298119517659,2-0-2-2-7
100,sequence_51016,-4.626935645431157,sequence_51167,-6.709785800218548,0.8955992086226927,2-0-2-2-7
0,sequence_51016,-4.626935645431157,sequence_51170,-5.599110392902725,0.8968249526243703,2-0-2-2-7
112,sequence_51016,-4.626935645431157,sequence_51177,-6.222235866357328,0.8956239069442306,2-0-2-2-7
104,sequence_51016,-4.626935645431157,sequence_51158,-6.222980712367778,0.9443079660808128,2-0-2-2-7
107,sequence_51016,-4.626935645431157,sequence_51155,-5.6881928391837775,0.8570113673608514,2-0-2-2-7
6,sequence_51016,-4.626935645431157,sequence_51181,-6.128408684508713,0.9040244041095572,2-0-2-2-7
13,sequence_51016,-4.626935645431157,sequence_51183,-7.546017632580344,0.890112829087364,2-0-2-2-7
10,sequence_51016,-4.626935645431157,sequence_51169,-6.371702819572715,0.9004711414401525,2-0-2-2-7
109,sequence_51016,-4.626935645431157,sequence_51172,-6.315267818049118,0.8880648184854869,2-0-2-2-7
15,sequence_51016,-4.626935645431157,sequence_51163,-5.840652190889835,0.843791200490272,2-0-2-2-7
103,sequence_51016,-4.626935645431157,sequence_51178,-5.206388367343241,0.8897692590549192,2-0-2-2-7
101,sequence_51016,-4.626935645431157,sequence_51130,-5.73331703632774,0.8674455469401336,2-0-2-2-7
4,sequence_51016,-4.626935645431157,sequence_51140,-6.732490772637745,0.8890567679658908,2-0-2-2-7
237,sequence_51016,-4.626935645431157,sequence_51139,-6.942655461209572,0.9322688002540565,2-0-2-2-7
8,sequence_51016,-4.626935645431157,sequence_51175,-5.0920670419749925,0.8503576141720286,2-0-2-2-7
114,sequence_51016,-4.626935645431157,sequence_51166,-7.112515562930268,0.8777947474697876,2-0-2-2-7
108,sequence_51016,-4.626935645431157,sequence_51162,-5.483585000857007,0.8938689803024383,2-0-2-2-7
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,0.3463333601019225,2-0-2-2-7
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,0.0870722005753122,2-0-2-2-7
364,sequence_51170,-5.599110392902725,sequence_51164,-5.675591751285612,0.0543083466824481,2-0-2-2-7
263,sequence_51170,-5.599110392902725,sequence_51173,-7.430867304520878,0.0218918524103675,2-0-2-2-7
254,sequence_51170,-5.599110392902725,sequence_51159,-5.319842748072733,0.0659434877715651,2-0-2-2-7
258,sequence_51170,-5.599110392902725,sequence_51199,-6.996026362092827,0.0865118541605836,2-0-2-2-7
373,sequence_51170,-5.599110392902725,sequence_51129,-8.402091964503104,0.2841465224993865,2-0-2-2-7
363,sequence_51170,-5.599110392902725,sequence_51180,-6.304185064160062,0.0833829061840381,2-0-2-2-7
261,sequence_51170,-5.599110392902725,sequence_51157,-7.993079403043451,0.0299471123924035,2-0-2-2-7
352,sequence_51170,-5.599110392902725,sequence_51165,-8.135108482126563,0.0752228361778402,2-0-2-2-7
347,sequence_51170,-5.599110392902725,sequence_51167,-6.709785800218548,0.0436251354305378,2-0-2-2-7
359,sequence_51170,-5.599110392902725,sequence_51177,-6.222235866357328,0.0003534261241616,2-0-2-2-7
351,sequence_51170,-5.599110392902725,sequence_51158,-6.222980712367778,0.1943841581233493,2-0-2-2-7
354,sequence_51170,-5.599110392902725,sequence_51155,-5.6881928391837775,0.0793373900740055,2-0-2-2-7
253,sequence_51170,-5.599110392902725,sequence_51181,-6.128408684508713,0.0597954074417348,2-0-2-2-7
260,sequence_51170,-5.599110392902725,sequence_51183,-7.546017632580344,0.0464396093610139,2-0-2-2-7
257,sequence_51170,-5.599110392902725,sequence_51169,-6.371702819572715,0.1356532708045142,2-0-2-2-7
356,sequence_51170,-5.599110392902725,sequence_51172,-6.315267818049118,0.0155015668149525,2-0-2-2-7
262,sequence_51170,-5.599110392902725,sequence_51163,-5.840652190889835,0.1667050826143197,2-0-2-2-7
350,sequence_51170,-5.599110392902725,sequence_51178,-5.206388367343241,0.0347977726350734,2-0-2-2-7
348,sequence_51170,-5.599110392902725,sequence_51130,-5.73331703632774,0.1350526433641197,2-0-2-2-7
251,sequence_51170,-5.599110392902725,sequence_51140,-6.732490772637745,0.0843403869399503,2-0-2-2-7
484,sequence_51170,-5.599110392902725,sequence_51139,-6.942655461209572,0.2446325567892882,2-0-2-2-7
255,sequence_51170,-5.599110392902725,sequence_51175,-5.0920670419749925,0.1687528360762425,2-0-2-2-7
361,sequence_51170,-5.599110392902725,sequence_51166,-7.112515562930268,0.0405857592809413,2-0-2-2-7
355,sequence_51170,-5.599110392902725,sequence_51162,-5.483585000857007,0.082261495903811,2-0-2-2-7
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,0.7362828443221145,2-0-2-2-7
503,sequence_32130,-5.7157882520247325,sequence_51174,-8.191804956045784,0.7894228201993915,2-0-2-2-7
611,sequence_32130,-5.7157882520247325,sequence_51164,-5.675591751285612,0.8134285421131404,2-0-2-2-7
510,sequence_32130,-5.7157882520247325,sequence_51173,-7.430867304520878,0.8544401930975023,2-0-2-2-7
501,sequence_32130,-5.7157882520247325,sequence_51159,-5.319842748072733,0.8448964904825882,2-0-2-2-7
505,sequence_32130,-5.7157882520247325,sequence_51199,-6.996026362092827,0.8443413402048145,2-0-2-2-7
620,sequence_32130,-5.7157882520247325,sequence_51129,-8.402091964503104,0.804156596996465,2-0-2-2-7
610,sequence_32130,-5.7157882520247325,sequence_51180,-6.304185064160062,0.8302190552705323,2-0-2-2-7
508,sequence_32130,-5.7157882520247325,sequence_51157,-7.993079403043451,0.847291134223585,2-0-2-2-7
599,sequence_32130,-5.7157882520247325,sequence_51165,-8.135108482126563,0.8072309614348153,2-0-2-2-7
594,sequence_32130,-5.7157882520247325,sequence_51167,-6.709785800218548,0.8489721630157133,2-0-2-2-7
