,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,106256.6278,0-0-1-1-1
12,sequence_51016,-4.626935645431157,sequence_51144,-7.6062267387969245,106833.1311,0-0-1-1-1
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,109422.1834,0-0-1-1-1
118,sequence_51016,-4.626935645431157,sequence_51194,-5.951019832085327,98060.1038,0-0-1-1-1
238,sequence_51016,-4.626935645431157,sequence_51153,-7.196744445638808,104442.4343,0-0-1-1-1
117,sequence_51016,-4.626935645431157,sequence_51164,-5.675591751285612,107977.6536,0-0-1-1-1
16,sequence_51016,-4.626935645431157,sequence_51173,-7.430867304520878,106975.7969,0-0-1-1-1
17,sequence_51016,-4.626935645431157,sequence_51168,-7.697662542801202,102887.4432,0-0-1-1-1
7,sequence_51016,-4.626935645431157,sequence_51159,-5.319842748072733,106620.5336,0-0-1-1-1
11,sequence_51016,-4.626935645431157,sequence_51199,-6.996026362092827,107362.9014,0-0-1-1-1
126,sequence_51016,-4.626935645431157,sequence_51129,-8.402091964503104,104096.3771,0-0-1-1-1
116,sequence_51016,-4.626935645431157,sequence_51180,-6.304185064160062,106964.6312,0-0-1-1-1
14,sequence_51016,-4.626935645431157,sequence_51157,-7.993079403043451,105711.8407,0-0-1-1-1
105,sequence_51016,-4.626935645431157,sequence_51165,-8.135108482126563,107963.3149,0-0-1-1-1
100,sequence_51016,-4.626935645431157,sequence_51167,-6.709785800218548,108449.5397,0-0-1-1-1
0,sequence_51016,-4.626935645431157,sequence_51170,-5.599110392902725,106934.1141,0-0-1-1-1
113,sequence_51016,-4.626935645431157,sequence_51161,-8.29923749627917,107516.6182,0-0-1-1-1
112,sequence_51016,-4.626935645431157,sequence_51177,-6.222235866357328,108845.3948,0-0-1-1-1
104,sequence_51016,-4.626935645431157,sequence_51158,-6.222980712367778,108406.1934,0-0-1-1-1
107,sequence_51016,-4.626935645431157,sequence_51155,-5.6881928391837775,106308.60689999998,0-0-1-1-1
119,sequence_51016,-4.626935645431157,sequence_51154,-7.492004982128037,101916.4002,0-0-1-1-1
30,sequence_51016,-4.626935645431157,sequence_51141,-6.2807344442384325,105412.3038,0-0-1-1-1
6,sequence_51016,-4.626935645431157,sequence_51181,-6.128408684508713,106520.3045,0-0-1-1-1
13,sequence_51016,-4.626935645431157,sequence_51183,-7.546017632580344,103265.3825,0-0-1-1-1
106,sequence_51016,-4.626935645431157,sequence_51176,-6.977819960699303,107820.6497,0-0-1-1-1
10,sequence_51016,-4.626935645431157,sequence_51169,-6.371702819572715,107794.8304,0-0-1-1-1
5,sequence_51016,-4.626935645431157,sequence_51149,-7.135845590862672,108263.294,0-0-1-1-1
109,sequence_51016,-4.626935645431157,sequence_51172,-6.315267818049118,106563.8552,0-0-1-1-1
110,sequence_51016,-4.626935645431157,sequence_51195,-4.719117050535875,103620.1081,0-0-1-1-1
200,sequence_51016,-4.626935645431157,sequence_51193,-5.950238637114008,101861.4559,0-0-1-1-1
206,sequence_51016,-4.626935645431157,sequence_51150,-7.330164570040457,100757.4847,0-0-1-1-1
15,sequence_51016,-4.626935645431157,sequence_51163,-5.840652190889835,104841.7155,0-0-1-1-1
103,sequence_51016,-4.626935645431157,sequence_51178,-5.206388367343241,106474.9359,0-0-1-1-1
101,sequence_51016,-4.626935645431157,sequence_51130,-5.73331703632774,106843.636,0-0-1-1-1
18,sequence_51016,-4.626935645431157,sequence_51171,-5.988608431336485,106818.7107,0-0-1-1-1
26,sequence_51016,-4.626935645431157,sequence_51151,-7.50501562302166,105354.2543,0-0-1-1-1
217,sequence_51016,-4.626935645431157,sequence_51200,-4.040097249792159,106026.8293,0-0-1-1-1
4,sequence_51016,-4.626935645431157,sequence_51140,-6.732490772637745,107902.0929,0-0-1-1-1
111,sequence_51016,-4.626935645431157,sequence_51152,-6.5750272986407685,106609.6407,0-0-1-1-1
102,sequence_51016,-4.626935645431157,sequence_51186,-5.749568986531335,108018.2734,0-0-1-1-1
232,sequence_51016,-4.626935645431157,sequence_51201,-6.724658769791372,107128.9385,0-0-1-1-1
