,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,31237.746689423253,1-2-1-1-127-1
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,15005.40148784859,1-2-1-1-127-1
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,27747.8341047766,1-2-1-1-127-1
12,sequence_51016,-4.626935645431157,sequence_51144,-7.6062267387969245,29665.590177168066,1-2-1-1-193-7
259,sequence_51170,-5.599110392902725,sequence_51144,-7.6062267387969245,11494.52852163694,1-2-1-1-193-7
506,sequence_32130,-5.7157882520247325,sequence_51144,-7.6062267387969245,28672.583080636374,1-2-1-1-193-7
211,sequence_51016,-4.626935645431157,sequence_51142,-7.121316080640148,29054.43817771608,1-2-1-1-128-4
458,sequence_51170,-5.599110392902725,sequence_51142,-7.121316080640148,24140.14437111976,1-2-1-1-128-4
705,sequence_32130,-5.7157882520247325,sequence_51142,-7.121316080640148,28447.066544642574,1-2-1-1-128-4
120,sequence_51016,-4.626935645431157,sequence_51188,-7.477058965090089,28077.143961210608,1-2-1-1-96-15
367,sequence_51170,-5.599110392902725,sequence_51188,-7.477058965090089,25552.25404358342,1-2-1-1-96-15
614,sequence_32130,-5.7157882520247325,sequence_51188,-7.477058965090089,27865.476414280907,1-2-1-1-96-15
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,23632.128454642032,1-2-1-1-177-3
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,26414.826826521235,1-2-1-1-177-3
497,sequence_32130,-5.7157882520247325,sequence_51191,-4.187052068679792,29413.616231301898,1-2-1-1-177-3
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,31068.080234569905,1-2-1-1-234-1
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,10911.96811106676,1-2-1-1-234-1
503,sequence_32130,-5.7157882520247325,sequence_51174,-8.191804956045784,28862.32874831092,1-2-1-1-234-1
158,sequence_51016,-4.626935645431157,sequence_51005,-5.462621475453159,8464.778022397004,0-1-2-2-95-0
405,sequence_51170,-5.599110392902725,sequence_51005,-5.462621475453159,31737.62354273564,0-1-2-2-95-0
652,sequence_32130,-5.7157882520247325,sequence_51005,-5.462621475453159,27691.96400274249,0-1-2-2-95-0
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,29066.356724434067,1-0-0-0-66-2
287,sequence_51170,-5.599110392902725,sequence_32131,-6.7244621963556055,28745.996194486797,1-0-0-0-66-2
534,sequence_32130,-5.7157882520247325,sequence_32131,-6.7244621963556055,11891.29082858506,1-0-0-0-66-2
136,sequence_51016,-4.626935645431157,sequence_32142,-5.589646359982146,28845.844162060115,1-0-0-0-57-2
383,sequence_51170,-5.599110392902725,sequence_32142,-5.589646359982146,28762.081121556825,1-0-0-0-57-2
630,sequence_32130,-5.7157882520247325,sequence_32142,-5.589646359982146,12890.84523566872,1-0-0-0-57-2
231,sequence_51016,-4.626935645431157,sequence_51006,-4.088195248253983,17614.194746835496,0-1-2-2-78-0
478,sequence_51170,-5.599110392902725,sequence_51006,-4.088195248253983,31251.93743927119,0-1-2-2-78-0
725,sequence_32130,-5.7157882520247325,sequence_51006,-4.088195248253983,27399.950934923578,0-1-2-2-78-0
180,sequence_51016,-4.626935645431157,sequence_32178,-7.97958130655809,27261.664042470395,0-0-0-0-44-9
427,sequence_51170,-5.599110392902725,sequence_32178,-7.97958130655809,28854.726571723637,0-0-0-0-44-9
674,sequence_32130,-5.7157882520247325,sequence_32178,-7.97958130655809,21593.27478311421,0-0-0-0-44-9
188,sequence_51016,-4.626935645431157,sequence_50963,-4.781440038086389,24869.183738597603,0-1-2-2-147-8
435,sequence_51170,-5.599110392902725,sequence_50963,-4.781440038086389,31889.5527182573,0-1-2-2-147-8
682,sequence_32130,-5.7157882520247325,sequence_50963,-4.781440038086389,26789.222829608763,0-1-2-2-147-8
171,sequence_51016,-4.626935645431157,sequence_32171,-6.784871272007103,28250.848819965493,1-0-0-0-129-9
418,sequence_51170,-5.599110392902725,sequence_32171,-6.784871272007103,28359.84649229813,1-0-0-0-129-9
665,sequence_32130,-5.7157882520247325,sequence_32171,-6.784871272007103,23736.313494949336,1-0-0-0-129-9
72,sequence_51016,-4.626935645431157,sequence_32162,-7.3445848975979535,25791.311712612154,0-0-0-0-39-12
319,sequence_51170,-5.599110392902725,sequence_32162,-7.3445848975979535,29572.680857592444,0-0-0-0-39-12
566,sequence_32130,-5.7157882520247325,sequence_32162,-7.3445848975979535,25055.602680356325,0-0-0-0-39-12
118,sequence_51016,-4.626935645431157,sequence_51194,-5.951019832085327,29439.65178263828,1-2-1-1-120-1
365,sequence_51170,-5.599110392902725,sequence_51194,-5.951019832085327,17750.813618165703,1-2-1-1-120-1
612,sequence_32130,-5.7157882520247325,sequence_51194,-5.951019832085327,28987.30852154373,1-2-1-1-120-1
99,sequence_51016,-4.626935645431157,sequence_51189,-4.558817450583756,24698.238838097623,1-2-1-1-196-3
346,sequence_51170,-5.599110392902725,sequence_51189,-4.558817450583756,25134.44386455169,1-2-1-1-196-3
593,sequence_32130,-5.7157882520247325,sequence_51189,-4.558817450583756,29686.45849090922,1-2-1-1-196-3
48,sequence_51016,-4.626935645431157,sequence_32129,-8.31556501084656,27984.7686102169,0-0-0-0-37-2
295,sequence_51170,-5.599110392902725,sequence_32129,-8.31556501084656,30430.46897162912,0-0-0-0-37-2
542,sequence_32130,-5.7157882520247325,sequence_32129,-8.31556501084656,9126.729767345516,0-0-0-0-37-2
96,sequence_51016,-4.626935645431157,sequence_32159,-6.970724932862983,29240.0737035856,1-0-0-0-92-2
343,sequence_51170,-5.599110392902725,sequence_32159,-6.970724932862983,28525.91904710151,1-0-0-0-92-2
