,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_51016,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
1,sequence_51170,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2,sequence_32130,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
3,sequence_51136,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,7,7,7,7,7,7,7,7,7,3,3
4,sequence_51191,1,1,1,0,1,0,1,1,1,1,1,0,8,8,8,3,3,1,1,0,8,8,3,3,3,3,1,0
5,sequence_51140,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6,sequence_51149,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,19,19,19,19,19,19,19,19,19,19
7,sequence_51181,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
8,sequence_51159,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
9,sequence_51175,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
10,sequence_51174,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,sequence_51169,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,12,12,12,12,12,12,25,25,25,25
12,sequence_51199,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
13,sequence_51144,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,19,19,19,19,19,19,19,19,19,19
14,sequence_51183,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,sequence_51157,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
16,sequence_51163,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
17,sequence_51173,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
18,sequence_51168,1,1,1,0,5,5,5,5,5,2,0,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5
