,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,0.2716948748588019,1-1-2-2-232-1
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,0.1443281790208096,1-1-2-2-232-1
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,0.2506510819433464,1-1-2-2-232-1
12,sequence_51016,-4.626935645431157,sequence_51144,-7.6062267387969245,0.2693544424823905,0-1-2-2-137-7
259,sequence_51170,-5.599110392902725,sequence_51144,-7.6062267387969245,0.1079975670627013,0-1-2-2-137-7
506,sequence_32130,-5.7157882520247325,sequence_51144,-7.6062267387969245,0.2721047552660591,0-1-2-2-137-7
211,sequence_51016,-4.626935645431157,sequence_51142,-7.121316080640148,0.2566075478949851,2-1-2-2-191-3
458,sequence_51170,-5.599110392902725,sequence_51142,-7.121316080640148,0.2008067023553225,2-1-2-2-191-3
705,sequence_32130,-5.7157882520247325,sequence_51142,-7.121316080640148,0.2632941879883704,2-1-2-2-191-3
120,sequence_51016,-4.626935645431157,sequence_51188,-7.477058965090089,0.2484744570016147,2-1-2-2-205-15
367,sequence_51170,-5.599110392902725,sequence_51188,-7.477058965090089,0.2288611499608374,2-1-2-2-205-15
614,sequence_32130,-5.7157882520247325,sequence_51188,-7.477058965090089,0.2730150520616193,2-1-2-2-205-15
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,0.2063065037929724,0-1-2-2-184-6
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,0.2391545604507914,0-1-2-2-184-6
497,sequence_32130,-5.7157882520247325,sequence_51191,-4.187052068679792,0.2806113790462846,0-1-2-2-184-6
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,0.2678949520274911,1-1-2-2-45-1
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,0.0813324245798317,1-1-2-2-45-1
