,id,target,labels
0,sequence_51016,-4.626935645431157,121
1,sequence_51170,-5.599110392902725,92
2,sequence_32130,-5.7157882520247325,30
3,sequence_51136,-5.335352191963125,202
4,sequence_51191,-4.187052068679792,184
5,sequence_51140,-6.732490772637745,213
6,sequence_51149,-7.135845590862672,235
7,sequence_51181,-6.128408684508713,59
8,sequence_51159,-5.319842748072733,111
9,sequence_51175,-5.0920670419749925,76
10,sequence_51174,-8.191804956045784,45
11,sequence_51169,-6.371702819572715,183
12,sequence_51199,-6.996026362092827,165
13,sequence_51144,-7.6062267387969245,137
14,sequence_51183,-7.546017632580344,110
15,sequence_51157,-7.993079403043451,129
16,sequence_51163,-5.840652190889835,100
17,sequence_51173,-7.430867304520878,91
18,sequence_51168,-7.697662542801202,53
19,sequence_51171,-5.988608431336485,131
20,sequence_51182,-5.384437728556348,116
21,sequence_51131,-7.774340977997347,187
22,sequence_51138,-5.893746696133273,141
23,sequence_51196,-7.3141295128133885,240
24,sequence_51202,-6.673839708394163,212
25,sequence_51192,-5.696734269383801,166
26,sequence_51147,-8.583544794452564,87
27,sequence_51151,-7.50501562302166,211
28,sequence_51145,-7.832019468805971,80
29,sequence_51187,-6.886468446878718,233
30,sequence_51148,-6.975393550316428,237
31,sequence_51141,-6.2807344442384325,143
32,sequence_51137,-8.113936450186205,147
33,sequence_32151,-7.450035379594821,101
34,sequence_32148,-6.566272408536558,117
35,sequence_32117,-6.013942880307312,11
36,sequence_32141,-5.887274565323308,39
37,sequence_32124,-6.481163109642129,18
38,sequence_32126,-5.968435149556656,3
39,sequence_32127,-5.3072183078974415,25
40,sequence_32133,-6.519779039196885,6
41,sequence_32131,-6.7244621963556055,86
42,sequence_32174,-6.886395745117742,44
43,sequence_32114,-8.025415659124889,73
44,sequence_32147,-6.122695079257531,2
45,sequence_32119,-5.975586824902201,19
46,sequence_32122,-5.6780835220027175,12
47,sequence_32125,-8.764202037648419,8
48,sequence_32128,-5.684063700869746,27
49,sequence_32129,-8.31556501084656,29
50,sequence_32132,-7.1048508816280265,51
51,sequence_32167,-8.28781536491833,21
52,sequence_50970,-4.986009935777647,93
53,sequence_51045,-6.269934534978312,60
54,sequence_51003,-4.688170977244142,196
55,sequence_51032,-8.147653535627581,140
56,sequence_51028,-7.264425589948742,159
57,sequence_51025,-5.7112769943557415,176
58,sequence_51019,-6.115112568237896,124
59,sequence_51017,-7.84298595409709,122
60,sequence_51014,-4.875093284104756,83
61,sequence_50984,-4.153545460917198,217
62,sequence_51054,-5.902809074204358,179
63,sequence_51002,-5.509785716570097,145
64,sequence_51033,-7.601809103963952,167
65,sequence_51027,-8.905971381085486,135
66,sequence_51023,-4.593912239723845,113
67,sequence_51012,-5.769612631669962,120
68,sequence_51018,-7.920386157149045,79
69,sequence_51015,-5.194006961724645,168
70,sequence_50973,-6.794567628611167,17
71,sequence_32112,-8.51762382755167,66
72,sequence_50978,-8.571060179872774,90
73,sequence_32162,-7.3445848975979535,13
74,sequence_50995,-6.569508668935794,96
75,sequence_50972,-7.588913722504616,146
76,sequence_32115,-8.287149988801819,9
77,sequence_50979,-6.9793484717108525,173
78,sequence_32152,-7.840763601366848,15
79,sequence_32113,-9.174039097210208,14
80,sequence_32182,-8.313000601877945,61
81,sequence_50987,-8.15482384172899,216
82,sequence_51052,-7.931613379354088,104
83,sequence_50988,-7.682347412816437,198
84,sequence_32158,-7.7252366227309155,244
85,sequence_32180,-7.4665305235863535,56
86,sequence_51046,-7.53760401737095,112
87,sequence_32181,-7.379938210822062,88
88,sequence_32163,-6.436780987668787,85
89,sequence_50980,-5.395644495280823,130
90,sequence_50969,-7.993460215889013,164
91,sequence_50996,-8.359746838659895,119
92,sequence_50989,-5.202960772973575,114
93,sequence_32150,-7.3196132933177775,31
94,sequence_51053,-7.141996997362572,243
95,sequence_50966,-7.12754277570154,180
96,sequence_32116,-7.723165366142718,4
97,sequence_32159,-6.970724932862983,154
98,sequence_32149,-7.516758509933092,144
99,sequence_51133,-5.587718813645618,126
100,sequence_51189,-4.558817450583756,225
101,sequence_51167,-6.709785800218548,107
102,sequence_51130,-5.73331703632774,227
103,sequence_51186,-5.749568986531335,185
104,sequence_51178,-5.206388367343241,123
105,sequence_51158,-6.222980712367778,149
106,sequence_51165,-8.135108482126563,36
107,sequence_51176,-6.977819960699303,81
108,sequence_51155,-5.6881928391837775,95
109,sequence_51162,-5.483585000857007,94
110,sequence_51172,-6.315267818049118,69
111,sequence_51195,-4.719117050535875,133
112,sequence_51152,-6.5750272986407685,155
113,sequence_51177,-6.222235866357328,103
114,sequence_51161,-8.29923749627917,151
115,sequence_51166,-7.112515562930268,78
116,sequence_51156,-6.2249740524313975,127
117,sequence_51180,-6.304185064160062,35
118,sequence_51164,-5.675591751285612,139
119,sequence_51194,-5.951019832085327,242
120,sequence_51154,-7.492004982128037,118
121,sequence_51188,-7.477058965090089,205
122,sequence_51179,-6.743875944193901,74
123,sequence_51127,-4.999097941049065,70
124,sequence_51198,-7.041057436612152,246
125,sequence_51160,-7.359947635110199,232
126,sequence_51184,-7.972632247347034,175
127,sequence_51129,-8.402091964503104,220
128,sequence_51185,-5.7929627601304565,182
129,sequence_51128,-7.354080449503878,152
130,sequence_51134,-7.793345450173909,46
131,sequence_51135,-7.603076627631569,228
132,sequence_51190,-8.743963500717465,98
133,sequence_32134,-6.086948143042816,38
134,sequence_32160,-7.729750228413137,108
135,sequence_32110,-6.435581273863229,89
136,sequence_32120,-5.463833086780952,47
137,sequence_32142,-5.589646359982146,63
138,sequence_32137,-6.099982560129262,0
139,sequence_32123,-5.794704758333088,22
140,sequence_32143,-6.164881645817131,33
141,sequence_32139,-6.187468874223483,32
142,sequence_32135,-5.605247469738862,54
143,sequence_32176,-7.495966273349671,71
144,sequence_32109,-8.8749984685552,40
145,sequence_32121,-6.578239299103505,37
146,sequence_32140,-8.622125342490829,26
147,sequence_32136,-9.513216858041744,1
148,sequence_50974,-4.78760150401719,57
149,sequence_32118,-5.976481335612996,7
150,sequence_32146,-7.807595902051432,82
151,sequence_32138,-6.781133718515557,5
152,sequence_50962,-7.232986764011962,62
153,sequence_51050,-4.353862895527104,99
154,sequence_51029,-4.668263389644887,102
155,sequence_51008,-4.585620137449986,125
156,sequence_51011,-5.444562277270213,206
157,sequence_32164,-7.229515353903711,77
158,sequence_51035,-6.5243104484277685,177
159,sequence_51005,-5.462621475453159,52
160,sequence_51010,-5.965483650327768,178
161,sequence_51013,-4.687136967133388,97
162,sequence_50991,-8.436912109982138,172
163,sequence_51043,-5.997333168034557,203
164,sequence_51009,-4.573850042256471,138
165,sequence_51031,-4.656133116104559,197
166,sequence_51020,-4.576447227967023,106
167,sequence_51034,-8.187646078101817,163
168,sequence_51007,-4.692446891809938,55
169,sequence_51026,-5.036439269942528,181
170,sequence_32169,-6.044258470366566,204
171,sequence_51000,-7.071213324987105,115
172,sequence_32171,-6.784871272007103,245
173,sequence_32170,-8.156613556025587,190
174,sequence_32166,-7.342049413024209,199
175,sequence_32179,-7.381695972507586,43
176,sequence_50997,-7.490956320392341,215
177,sequence_50998,-5.944204158002268,207
178,sequence_50999,-5.527187128279114,65
179,sequence_50961,-7.602871394879726,68
180,sequence_32175,-7.447858237543301,67
181,sequence_32178,-7.97958130655809,20
182,sequence_51041,-6.943692311648196,239
183,sequence_50965,-8.132680322148055,229
184,sequence_51048,-8.515067054902179,42
185,sequence_50992,-7.440072608002367,219
186,sequence_32165,-6.872613250606912,186
187,sequence_51040,-5.1778216658610186,153
188,sequence_32177,-8.394682697575568,34
189,sequence_50963,-4.781440038086389,238
190,sequence_51001,-8.53182220350879,132
191,sequence_50990,-8.580398018436656,192
192,sequence_32168,-7.637377800222538,210
193,sequence_32172,-6.702704094610732,234
194,sequence_32111,-7.720394486348803,136
195,sequence_51051,-8.47377823934988,224
196,sequence_50975,-8.356998357359751,10
197,sequence_32155,-8.338521820335119,64
198,sequence_32156,-7.327994265882848,194
199,sequence_50993,-7.312336322903731,241
200,sequence_32157,-7.7422371130498195,230
201,sequence_51193,-5.950238637114008,226
202,sequence_51038,-5.012320997946479,174
203,sequence_50994,-8.261822655555044,236
204,sequence_32154,-6.956779787785928,72
205,sequence_51030,-4.598021987750988,162
206,sequence_51021,-5.061021415988704,75
207,sequence_51150,-7.330164570040457,142
208,sequence_51022,-4.7007583685399,157
209,sequence_51057,-7.239446757304117,169
210,sequence_51056,-5.850855450691768,209
211,sequence_51055,-6.073930941831184,161
212,sequence_51142,-7.121316080640148,191
213,sequence_50982,-5.477456019885743,195
214,sequence_51132,-4.340049860624873,201
215,sequence_51197,-6.969794378455091,170
216,sequence_51004,-4.72181656291134,58
217,sequence_50968,-6.107021603142809,247
218,sequence_51200,-4.040097249792159,84
219,sequence_50976,-7.644636157990131,189
220,sequence_50977,-6.601103781309464,105
221,sequence_51039,-4.871173881568278,171
222,sequence_51126,-6.8444229718282426,134
223,sequence_51143,-5.813377959587455,223
224,sequence_50981,-7.512823751591346,214
225,sequence_50971,-6.926741159901643,24
226,sequence_51047,-5.339031826467012,49
227,sequence_50964,-5.326405663918352,109
228,sequence_51049,-5.345308323514202,50
229,sequence_32173,-7.412850678006673,16
230,sequence_50983,-7.874339064617118,200
231,sequence_51044,-7.448598078099795,188
232,sequence_51006,-4.088195248253983,48
233,sequence_51201,-6.724658769791372,156
234,sequence_51036,-7.334007950928568,231
235,sequence_50967,-5.218809117262096,208
236,sequence_32161,-6.390606369080943,150
237,sequence_32144,-5.565961069145386,23
238,sequence_51139,-6.942655461209572,222
