,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,0.2867648063813482,1-0-2-2-7
122,sequence_51016,-4.626935645431157,sequence_51127,-4.999097941049065,0.2926865967744718,1-0-2-2-7
104,sequence_51016,-4.626935645431157,sequence_51158,-6.222980712367778,0.2996469237306717,1-0-2-2-7
29,sequence_51016,-4.626935645431157,sequence_51148,-6.975393550316428,0.2833741903232931,1-0-2-2-7
10,sequence_51016,-4.626935645431157,sequence_51169,-6.371702819572715,0.2932865028112203,1-0-2-2-7
127,sequence_51016,-4.626935645431157,sequence_51185,-5.7929627601304565,0.2771979703325919,1-0-2-2-7
121,sequence_51016,-4.626935645431157,sequence_51179,-6.743875944193901,0.2784976472830413,1-0-2-2-7
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,0.1683819709383992,1-0-2-2-7
369,sequence_51170,-5.599110392902725,sequence_51127,-4.999097941049065,0.1919431340347228,1-0-2-2-7
351,sequence_51170,-5.599110392902725,sequence_51158,-6.222980712367778,0.1315924776461819,1-0-2-2-7
276,sequence_51170,-5.599110392902725,sequence_51148,-6.975393550316428,0.1656466634153946,1-0-2-2-7
257,sequence_51170,-5.599110392902725,sequence_51169,-6.371702819572715,0.1069280538479584,1-0-2-2-7
374,sequence_51170,-5.599110392902725,sequence_51185,-5.7929627601304565,0.1835677507249021,1-0-2-2-7
368,sequence_51170,-5.599110392902725,sequence_51179,-6.743875944193901,0.1874065870945405,1-0-2-2-7
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,0.2490263327317904,1-0-2-2-7
616,sequence_32130,-5.7157882520247325,sequence_51127,-4.999097941049065,0.2749251482689576,1-0-2-2-7
598,sequence_32130,-5.7157882520247325,sequence_51158,-6.222980712367778,0.2561625357687856,1-0-2-2-7
523,sequence_32130,-5.7157882520247325,sequence_51148,-6.975393550316428,0.2601471526131566,1-0-2-2-7
504,sequence_32130,-5.7157882520247325,sequence_51169,-6.371702819572715,0.2588606108186362,1-0-2-2-7
621,sequence_32130,-5.7157882520247325,sequence_51185,-5.7929627601304565,0.2437728079977161,1-0-2-2-7
615,sequence_32130,-5.7157882520247325,sequence_51179,-6.743875944193901,0.2449087189327501,1-0-2-2-7
