,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,0.9624933386053774,1-0-2-2-178-7
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,0.3184381897871157,1-0-2-2-178-7
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,0.7331387401074235,1-0-2-2-178-7
12,sequence_51016,-4.626935645431157,sequence_51144,-7.6062267387969245,0.9233992601671168,1-0-2-2-195-1
259,sequence_51170,-5.599110392902725,sequence_51144,-7.6062267387969245,0.1594043180664993,1-0-2-2-195-1
506,sequence_32130,-5.7157882520247325,sequence_51144,-7.6062267387969245,0.856434419168555,1-0-2-2-195-1
211,sequence_51016,-4.626935645431157,sequence_51142,-7.121316080640148,0.9092982265140536,1-0-2-2-211-5
458,sequence_51170,-5.599110392902725,sequence_51142,-7.121316080640148,0.4430582966687584,1-0-2-2-211-5
705,sequence_32130,-5.7157882520247325,sequence_51142,-7.121316080640148,0.7648767665239506,1-0-2-2-211-5
120,sequence_51016,-4.626935645431157,sequence_51188,-7.477058965090089,0.7792298883171744,0-0-2-2-117-4
367,sequence_51170,-5.599110392902725,sequence_51188,-7.477058965090089,0.6164563669162069,0-0-2-2-117-4
614,sequence_32130,-5.7157882520247325,sequence_51188,-7.477058965090089,0.8692848169928677,0-0-2-2-117-4
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,0.659891450312792,0-0-2-2-92-4
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,0.581551084548855,0-0-2-2-92-4
497,sequence_32130,-5.7157882520247325,sequence_51191,-4.187052068679792,0.9467595766205746,0-0-2-2-92-4
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,1.0027988589212704,1-0-2-2-230-1
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,0.1250787378117387,1-0-2-2-230-1
503,sequence_32130,-5.7157882520247325,sequence_51174,-8.191804956045784,0.7506485556940068,1-0-2-2-230-1
158,sequence_51016,-4.626935645431157,sequence_51005,-5.462621475453159,0.0091839129381803,0-1-1-1-38-0
405,sequence_51170,-5.599110392902725,sequence_51005,-5.462621475453159,0.9862056500479032,0-1-1-1-38-0
652,sequence_32130,-5.7157882520247325,sequence_51005,-5.462621475453159,0.8580805095887916,0-1-1-1-38-0
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,0.8053666617145464,0-2-0-0-65-2
287,sequence_51170,-5.599110392902725,sequence_32131,-6.7244621963556055,0.8020256151409862,0-2-0-0-65-2
534,sequence_32130,-5.7157882520247325,sequence_32131,-6.7244621963556055,0.1487795499510588,0-2-0-0-65-2
136,sequence_51016,-4.626935645431157,sequence_32142,-5.589646359982146,0.8153265330111148,0-2-0-0-30-2
383,sequence_51170,-5.599110392902725,sequence_32142,-5.589646359982146,0.795582041598939,0-2-0-0-30-2
630,sequence_32130,-5.7157882520247325,sequence_32142,-5.589646359982146,0.1985339882176661,0-2-0-0-30-2
231,sequence_51016,-4.626935645431157,sequence_51006,-4.088195248253983,0.1261036840038056,0-1-1-1-104-0
478,sequence_51170,-5.599110392902725,sequence_51006,-4.088195248253983,0.9590180902787564,0-1-1-1-104-0
725,sequence_32130,-5.7157882520247325,sequence_51006,-4.088195248253983,0.8353867513875259,0-1-1-1-104-0
180,sequence_51016,-4.626935645431157,sequence_32178,-7.97958130655809,0.7446724045556612,0-2-0-0-17-11
427,sequence_51170,-5.599110392902725,sequence_32178,-7.97958130655809,0.8210073383300729,0-2-0-0-17-11
674,sequence_32130,-5.7157882520247325,sequence_32178,-7.97958130655809,0.5579681607336232,0-2-0-0-17-11
188,sequence_51016,-4.626935645431157,sequence_50963,-4.781440038086389,0.5052705651030487,0-1-1-1-160-13
435,sequence_51170,-5.599110392902725,sequence_50963,-4.781440038086389,0.8604016195131488,0-1-1-1-160-13
682,sequence_32130,-5.7157882520247325,sequence_50963,-4.781440038086389,0.6019500202504561,0-1-1-1-160-13
171,sequence_51016,-4.626935645431157,sequence_32171,-6.784871272007103,0.7366409665528664,0-2-0-0-2-11
418,sequence_51170,-5.599110392902725,sequence_32171,-6.784871272007103,0.7790351961916677,0-2-0-0-2-11
665,sequence_32130,-5.7157882520247325,sequence_32171,-6.784871272007103,0.644803960183129,0-2-0-0-2-11
72,sequence_51016,-4.626935645431157,sequence_32162,-7.3445848975979535,0.6616900039167228,0-2-0-0-69-10
319,sequence_51170,-5.599110392902725,sequence_32162,-7.3445848975979535,0.8313156796824679,0-2-0-0-69-10
566,sequence_32130,-5.7157882520247325,sequence_32162,-7.3445848975979535,0.5032937813559426,0-2-0-0-69-10
118,sequence_51016,-4.626935645431157,sequence_51194,-5.951019832085327,0.8452629813700056,0-0-2-2-121-8
365,sequence_51170,-5.599110392902725,sequence_51194,-5.951019832085327,0.4014837995113834,0-0-2-2-121-8
612,sequence_32130,-5.7157882520247325,sequence_51194,-5.951019832085327,1.0077719185158107,0-0-2-2-121-8
99,sequence_51016,-4.626935645431157,sequence_51189,-4.558817450583756,0.6781219124753665,0-0-2-2-80-4
346,sequence_51170,-5.599110392902725,sequence_51189,-4.558817450583756,0.5624472726963761,0-0-2-2-80-4
593,sequence_32130,-5.7157882520247325,sequence_51189,-4.558817450583756,0.9813299589472636,0-0-2-2-80-4
48,sequence_51016,-4.626935645431157,sequence_32129,-8.31556501084656,0.8607915113556768,0-2-0-0-13-2
295,sequence_51170,-5.599110392902725,sequence_32129,-8.31556501084656,0.8536754174056562,0-2-0-0-13-2
