,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,8159.615910317266,1-0-2-2-7
122,sequence_51016,-4.626935645431157,sequence_51127,-4.999097941049065,8416.45005320753,1-0-2-2-7
104,sequence_51016,-4.626935645431157,sequence_51158,-6.222980712367778,8460.698455646787,1-0-2-2-7
29,sequence_51016,-4.626935645431157,sequence_51148,-6.975393550316428,8140.768638698903,1-0-2-2-7
10,sequence_51016,-4.626935645431157,sequence_51169,-6.371702819572715,8296.302306038977,1-0-2-2-7
127,sequence_51016,-4.626935645431157,sequence_51185,-5.7929627601304565,8015.268329995086,1-0-2-2-7
121,sequence_51016,-4.626935645431157,sequence_51179,-6.743875944193901,8290.85555539536,1-0-2-2-7
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,4597.254345307225,1-0-2-2-7
369,sequence_51170,-5.599110392902725,sequence_51127,-4.999097941049065,5305.611789262127,1-0-2-2-7
351,sequence_51170,-5.599110392902725,sequence_51158,-6.222980712367778,3617.1178998259793,1-0-2-2-7
276,sequence_51170,-5.599110392902725,sequence_51148,-6.975393550316428,4746.418287737685,1-0-2-2-7
257,sequence_51170,-5.599110392902725,sequence_51169,-6.371702819572715,3061.940690910456,1-0-2-2-7
374,sequence_51170,-5.599110392902725,sequence_51185,-5.7929627601304565,5026.171834277113,1-0-2-2-7
368,sequence_51170,-5.599110392902725,sequence_51179,-6.743875944193901,5223.411983095812,1-0-2-2-7
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,7033.118206952755,1-0-2-2-7
616,sequence_32130,-5.7157882520247325,sequence_51127,-4.999097941049065,7783.809704481316,1-0-2-2-7
598,sequence_32130,-5.7157882520247325,sequence_51158,-6.222980712367778,7306.566611661492,1-0-2-2-7
523,sequence_32130,-5.7157882520247325,sequence_51148,-6.975393550316428,7562.268832874677,1-0-2-2-7
504,sequence_32130,-5.7157882520247325,sequence_51169,-6.371702819572715,7356.268582385818,1-0-2-2-7
621,sequence_32130,-5.7157882520247325,sequence_51185,-5.7929627601304565,7082.208263015176,1-0-2-2-7
615,sequence_32130,-5.7157882520247325,sequence_51179,-6.743875944193901,7041.92801806128,1-0-2-2-7
12,sequence_51016,-4.626935645431157,sequence_51144,-7.6062267387969245,8059.4488748824815,1-0-2-2-1
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,8398.716957912762,1-0-2-2-1
238,sequence_51016,-4.626935645431157,sequence_51153,-7.196744445638808,8081.196953170478,1-0-2-2-1
117,sequence_51016,-4.626935645431157,sequence_51164,-5.675591751285612,8265.148719838126,1-0-2-2-1
16,sequence_51016,-4.626935645431157,sequence_51173,-7.430867304520878,8286.076183264116,1-0-2-2-1
