id,label
sequence_19347,2
sequence_19511,2
sequence_19445,1
sequence_19351,2
sequence_53065,0
sequence_19426,1
sequence_19517,2
sequence_19410,2
sequence_19447,2
sequence_20040,1
sequence_19526,1
sequence_19437,1
sequence_19529,2
sequence_19470,2
sequence_19472,2
sequence_19403,2
sequence_20062,1
sequence_19429,1
sequence_19524,1
sequence_19459,2
sequence_19478,1
sequence_19467,0
sequence_20057,2
sequence_19432,1
sequence_53062,0
sequence_19353,2
sequence_19422,0
sequence_19378,1
sequence_19452,0
sequence_19417,0
sequence_19497,2
sequence_19488,1
sequence_19380,2
sequence_20048,1
sequence_19402,1
sequence_20073,2
sequence_19424,1
sequence_20066,1
sequence_19446,1
sequence_53098,0
sequence_19523,1
sequence_53083,0
sequence_19389,1
sequence_19480,2
sequence_19489,1
sequence_20051,1
sequence_53088,0
sequence_19431,0
sequence_20053,1
sequence_19428,1
sequence_53079,0
sequence_19439,2
sequence_19490,0
sequence_19408,2
sequence_19416,1
sequence_19430,1
sequence_19398,0
sequence_19360,0
sequence_20054,1
sequence_19469,2
sequence_53099,0
sequence_19451,1
sequence_19506,0
sequence_19442,2
sequence_53084,0
sequence_19491,0
sequence_53069,0
sequence_20072,1
sequence_19433,1
sequence_19405,2
sequence_19392,0
sequence_19482,2
sequence_19421,1
sequence_19390,1
sequence_19453,1
sequence_20036,2
sequence_53067,0
sequence_19438,1
sequence_19525,1
sequence_53059,0
sequence_19498,2
sequence_19354,1
sequence_19457,1
sequence_19372,1
sequence_19407,2
sequence_19366,2
sequence_20037,0
sequence_19530,1
sequence_19456,1
sequence_20043,2
sequence_20047,1
sequence_19435,1
sequence_19386,0
sequence_19411,0
sequence_19364,0
sequence_19387,2
sequence_19465,2
sequence_19495,1
sequence_19521,1
sequence_20076,2
sequence_19492,1
sequence_19528,0
sequence_19476,0
sequence_19393,0
sequence_19464,2
sequence_19505,1
sequence_19448,2
sequence_19471,1
sequence_20064,1
sequence_19379,2
sequence_19377,0
sequence_19348,2
sequence_20056,2
sequence_53080,0
sequence_19369,1
sequence_19420,1
sequence_19395,1
sequence_19502,2
sequence_19409,2
sequence_19501,2
sequence_20041,1
sequence_20065,1
sequence_19412,0
sequence_19477,1
sequence_53064,0
sequence_19396,1
sequence_53073,0
sequence_19507,1
sequence_19461,2
sequence_53076,0
sequence_20052,1
sequence_20042,1
sequence_19440,2
sequence_19399,1
sequence_20063,2
sequence_20058,2
sequence_19463,1
sequence_20059,1
sequence_53074,1
sequence_53085,0
sequence_19509,1
sequence_19425,2
sequence_19500,2
sequence_20034,2
sequence_19520,1
sequence_20068,1
sequence_53061,0
sequence_19516,2
sequence_19362,0
sequence_20069,2
sequence_19449,0
sequence_19460,2
sequence_19487,1
sequence_19484,1
sequence_20050,2
sequence_19368,1
sequence_19455,0
sequence_19481,1
sequence_19365,2
sequence_53078,1
sequence_19418,2
sequence_19510,1
sequence_53058,0
sequence_53072,0
sequence_19515,0
sequence_19370,1
sequence_19363,0
sequence_19466,0
sequence_20055,1
sequence_19527,1
sequence_19359,2
sequence_19486,1
sequence_19518,0
sequence_19401,2
sequence_19355,2
sequence_19356,2
sequence_20071,1
sequence_53075,0
sequence_19458,2
sequence_19522,1
sequence_19349,0
sequence_20061,1
sequence_19419,0
sequence_20070,0
sequence_19361,0
sequence_53068,0
sequence_20074,2
sequence_19485,1
sequence_19475,0
sequence_19406,0
sequence_19503,1
sequence_20035,2
sequence_19350,0
sequence_19483,0
sequence_19391,1
sequence_20060,2
sequence_19383,2
sequence_19443,2
sequence_53066,0
sequence_19513,1
sequence_19504,1
sequence_53082,0
sequence_19404,1
sequence_19514,2
sequence_19414,2
sequence_20075,2
sequence_19473,2
sequence_19371,2
sequence_53086,0
sequence_19400,2
sequence_20044,0
sequence_19382,2
sequence_19519,2
sequence_20038,0
sequence_19512,2
sequence_19427,2
sequence_19434,0
sequence_19508,1
sequence_19499,2
sequence_19454,1
sequence_19357,2
sequence_53070,1
sequence_19444,0
sequence_19462,2
sequence_19376,0
sequence_20039,0
sequence_19394,0
sequence_19374,1
sequence_20045,2
sequence_53052,0
sequence_20049,1
sequence_19397,1
sequence_19384,1
sequence_53077,0
sequence_20046,2
sequence_19385,2
sequence_53087,0
sequence_19415,2
sequence_19388,1
sequence_19479,2
sequence_19358,0
sequence_19496,1
sequence_19468,2
sequence_19381,2
sequence_19373,1
sequence_19352,2
sequence_19436,1
sequence_53063,0
sequence_19493,0
sequence_19413,0
sequence_19423,2
sequence_53060,0
sequence_19367,1
sequence_19450,1
sequence_19441,2
sequence_19494,1
sequence_53081,0
sequence_19474,2
sequence_53056,0
sequence_20067,2
sequence_19375,1
