,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_51016,0,0,0,0,0,0,0,0,0,0
1,sequence_51170,7,7,7,8,8,8,8,8,8,7
2,sequence_32130,1,1,1,1,1,1,1,1,1,1
3,sequence_51136,15,15,15,6,6,6,6,6,6,14
4,sequence_51191,6,6,6,7,7,7,7,7,7,6
5,sequence_51140,7,7,7,8,8,8,8,8,8,7
6,sequence_51149,7,7,7,8,8,8,8,8,8,7
7,sequence_51181,7,7,7,8,8,8,8,8,8,7
8,sequence_51159,7,7,7,8,8,8,8,8,8,7
9,sequence_51175,7,7,7,8,8,8,8,8,8,7
10,sequence_51174,7,7,7,8,8,8,8,8,8,7
11,sequence_51169,7,7,7,8,8,8,8,8,8,7
12,sequence_51199,7,7,7,8,8,8,8,8,8,7
13,sequence_51144,7,7,7,8,8,8,8,8,8,7
14,sequence_51183,7,7,7,8,8,8,8,8,8,7
15,sequence_51157,7,7,7,8,8,8,8,8,8,7
16,sequence_51163,7,7,7,8,8,8,8,8,8,7
17,sequence_51173,7,7,7,8,8,8,8,8,8,7
18,sequence_51168,7,7,7,8,8,8,8,8,8,7
19,sequence_51171,8,8,8,9,9,9,9,9,9,8
20,sequence_51182,2,2,2,8,8,8,8,8,8,7
21,sequence_51131,15,15,15,16,16,16,16,16,16,14
22,sequence_51138,2,2,2,2,2,2,2,2,2,2
23,sequence_51196,6,6,6,7,7,7,7,7,7,6
24,sequence_51202,2,2,2,16,16,16,16,16,16,14
25,sequence_51192,15,15,15,16,16,16,16,16,16,14
26,sequence_51147,7,7,7,8,8,8,8,8,8,7
27,sequence_51151,7,7,7,8,8,8,8,8,8,7
28,sequence_51145,2,2,2,16,16,16,16,16,16,14
29,sequence_51187,6,6,6,7,7,7,7,7,7,6
30,sequence_51148,7,7,7,8,8,8,8,8,8,7
31,sequence_51141,7,7,7,8,8,8,8,8,8,7
32,sequence_51137,2,2,2,6,6,6,6,6,6,7
33,sequence_32151,1,1,1,1,1,1,1,1,1,1
34,sequence_32148,1,1,1,1,1,1,1,1,1,1
35,sequence_32117,1,1,1,1,1,1,1,1,1,1
36,sequence_32141,1,1,1,1,1,1,1,1,1,1
37,sequence_32124,1,1,1,1,1,1,1,1,1,1
38,sequence_32126,1,1,1,1,1,1,1,1,1,1
39,sequence_32127,1,1,1,1,1,1,1,1,1,1
40,sequence_32133,1,1,1,1,1,1,1,1,1,1
41,sequence_32131,1,1,1,1,1,1,1,1,1,1
42,sequence_32174,1,1,1,1,1,1,1,1,1,1
43,sequence_32114,1,1,1,1,1,1,1,1,1,1
44,sequence_32147,1,1,1,1,1,1,1,1,1,1
45,sequence_32119,1,1,1,1,1,1,1,1,1,1
46,sequence_32122,1,1,1,1,1,1,1,1,1,1
47,sequence_32125,1,1,1,1,1,1,1,1,1,1
48,sequence_32128,1,1,1,1,1,1,1,1,1,1
49,sequence_32129,1,1,1,1,1,1,1,1,1,1
50,sequence_32132,1,1,1,1,1,1,1,1,1,1
51,sequence_32167,10,10,10,11,11,11,11,11,11,9
52,sequence_50970,0,0,0,0,0,0,0,0,0,0
53,sequence_51045,0,0,0,0,0,0,0,0,0,0
54,sequence_51003,0,0,0,0,0,0,0,0,0,0
55,sequence_51032,0,0,0,0,0,0,0,0,0,0
56,sequence_51028,0,0,0,0,0,0,0,0,0,0
57,sequence_51025,0,0,0,0,0,0,0,0,0,0
58,sequence_51019,0,0,0,0,0,0,0,0,0,0
59,sequence_51017,0,0,0,0,0,0,0,0,0,0
60,sequence_51014,14,14,14,15,15,15,15,15,15,13
61,sequence_50984,0,0,0,0,0,0,0,0,0,0
62,sequence_51054,0,0,0,0,0,0,0,0,0,0
63,sequence_51002,0,0,0,0,0,0,0,0,0,0
64,sequence_51033,0,0,0,0,0,0,0,0,0,0
65,sequence_51027,0,0,0,0,0,0,0,0,0,0
66,sequence_51023,0,0,0,0,0,0,0,0,0,0
67,sequence_51012,0,0,0,0,0,0,0,0,0,0
68,sequence_51018,0,0,0,0,0,0,0,0,0,0
69,sequence_51015,14,14,14,15,15,15,15,15,15,13
70,sequence_50973,5,5,5,5,5,5,5,5,5,5
71,sequence_32112,9,9,9,10,10,10,10,10,10,1
72,sequence_50978,3,3,3,3,3,3,3,3,3,3
73,sequence_32162,10,10,10,11,11,11,11,11,11,9
74,sequence_50995,4,4,4,4,4,4,4,4,4,4
75,sequence_50972,3,3,3,3,3,4,4,4,4,4
76,sequence_32115,12,13,13,14,14,14,14,14,14,12
77,sequence_50979,3,3,3,3,3,3,3,3,3,3
78,sequence_32152,9,9,9,10,10,10,10,10,10,1
79,sequence_32113,1,1,1,1,1,1,1,1,1,1
80,sequence_32182,10,10,10,11,11,11,11,11,11,9
81,sequence_50987,13,12,12,13,13,4,4,4,4,4
82,sequence_51052,4,4,4,4,4,15,15,15,15,13
83,sequence_50988,5,5,5,5,5,5,5,5,5,5
84,sequence_32158,11,11,11,12,12,12,12,12,12,10
85,sequence_32180,9,9,9,10,10,10,10,10,10,10
86,sequence_51046,4,4,4,4,4,15,15,15,15,13
87,sequence_32181,11,11,11,12,12,12,12,12,12,10
88,sequence_32163,11,11,11,12,12,12,12,12,12,10
89,sequence_50980,0,12,12,13,13,4,4,4,4,4
90,sequence_50969,3,3,3,3,3,3,3,3,3,3
91,sequence_50996,3,3,3,3,3,4,4,4,4,4
92,sequence_50989,5,5,5,5,5,5,5,5,5,5
93,sequence_32150,11,11,11,12,12,12,12,12,12,10
94,sequence_51053,4,4,4,4,4,5,5,5,5,5
95,sequence_50966,14,14,14,15,15,15,15,15,15,13
96,sequence_32116,1,1,1,1,1,1,1,1,1,1
97,sequence_32159,9,9,9,10,10,10,10,10,10,1
98,sequence_32149,9,9,9,10,10,10,10,10,10,12
99,sequence_51133,15,15,15,6,6,6,6,6,6,14
100,sequence_51189,6,6,6,7,7,7,7,7,7,6
101,sequence_51167,7,7,7,8,8,8,8,8,8,7
102,sequence_51130,7,7,7,8,8,8,8,8,8,7
103,sequence_51186,7,7,7,8,8,8,8,8,8,7
104,sequence_51178,7,7,7,8,8,8,8,8,8,7
105,sequence_51158,7,7,7,8,8,8,8,8,8,7
106,sequence_51165,7,7,7,8,8,8,8,8,8,7
107,sequence_51176,7,7,7,8,8,8,8,8,8,7
108,sequence_51155,7,7,7,8,8,8,8,8,8,7
109,sequence_51162,7,7,7,8,8,8,8,8,8,7
110,sequence_51172,7,7,7,8,8,8,8,8,8,7
111,sequence_51195,7,7,7,8,8,8,8,8,8,7
112,sequence_51152,7,7,7,8,8,8,8,8,8,7
113,sequence_51177,7,7,7,8,8,8,8,8,8,7
114,sequence_51161,8,8,8,9,9,9,9,9,9,8
115,sequence_51166,7,7,7,8,8,8,8,8,8,7
116,sequence_51156,7,7,7,8,8,8,8,8,8,7
117,sequence_51180,7,7,7,8,8,8,8,8,8,7
118,sequence_51164,7,7,7,8,8,8,8,8,8,7
119,sequence_51194,2,2,2,8,8,8,8,8,8,7
120,sequence_51154,8,8,8,9,9,9,9,9,9,8
121,sequence_51188,2,2,2,16,16,16,16,16,16,14
122,sequence_51179,2,2,2,2,2,2,2,2,2,2
123,sequence_51127,15,15,15,16,16,16,16,16,16,14
124,sequence_51198,7,7,7,8,8,8,8,8,8,7
125,sequence_51160,7,7,7,8,8,8,8,8,8,7
126,sequence_51184,7,7,7,8,8,8,8,8,8,7
127,sequence_51129,8,8,8,9,9,9,9,9,9,8
128,sequence_51185,2,2,2,2,2,2,2,2,2,2
129,sequence_51128,15,15,15,6,6,6,6,6,6,7
130,sequence_51134,6,6,6,7,7,7,7,7,7,6
131,sequence_51135,7,7,7,6,6,6,6,6,6,7
132,sequence_51190,6,6,6,7,7,7,7,7,7,6
133,sequence_32134,1,1,1,1,1,1,1,1,1,1
134,sequence_32160,9,9,9,10,10,10,10,10,10,1
135,sequence_32110,1,1,1,1,1,1,1,1,1,1
136,sequence_32120,1,1,1,1,1,1,1,1,1,1
137,sequence_32142,1,1,1,1,1,1,1,1,1,1
138,sequence_32137,1,1,1,1,1,1,1,1,1,1
139,sequence_32123,1,1,1,1,1,1,1,1,1,1
140,sequence_32143,1,1,1,1,1,1,1,1,1,1
141,sequence_32139,1,1,1,1,1,1,1,1,1,1
142,sequence_32135,1,1,1,1,1,1,1,1,1,1
143,sequence_32176,9,9,9,10,10,10,10,10,10,1
144,sequence_32109,1,1,1,1,1,1,1,1,1,1
145,sequence_32121,1,1,1,1,1,1,1,1,1,1
146,sequence_32140,1,1,1,1,1,1,1,1,1,1
147,sequence_32136,1,1,1,1,1,1,1,1,1,1
148,sequence_50974,5,5,5,5,5,5,5,5,5,5
149,sequence_32118,1,1,1,1,1,1,1,1,1,1
150,sequence_32146,1,1,1,1,1,1,1,1,1,1
151,sequence_32138,1,1,1,1,1,1,1,1,1,1
152,sequence_50962,0,0,0,0,0,0,0,0,0,0
153,sequence_51050,0,0,0,0,0,0,0,0,0,0
154,sequence_51029,0,0,0,0,0,0,0,0,0,0
155,sequence_51008,14,14,14,15,15,15,15,15,15,13
156,sequence_51011,0,0,0,0,0,0,0,0,0,0
157,sequence_32164,10,10,10,11,11,11,11,11,11,9
158,sequence_51035,0,0,0,0,0,0,0,0,0,0
159,sequence_51005,0,0,0,0,0,0,0,0,0,0
160,sequence_51010,0,0,0,0,0,0,0,0,0,0
161,sequence_51013,0,0,0,0,0,0,0,0,0,0
162,sequence_50991,0,0,0,0,0,0,0,0,0,0
163,sequence_51043,0,0,0,0,0,0,0,0,0,0
164,sequence_51009,0,0,0,0,0,0,0,0,0,0
165,sequence_51031,14,14,14,15,15,15,15,15,15,13
166,sequence_51020,0,0,0,0,0,0,0,0,0,0
167,sequence_51034,0,0,0,0,0,0,0,0,0,0
168,sequence_51007,0,0,0,0,0,0,0,0,0,0
169,sequence_51026,0,0,0,0,0,0,0,0,0,0
170,sequence_32169,11,11,11,12,12,12,12,12,12,10
171,sequence_51000,5,5,5,5,5,5,5,5,5,5
172,sequence_32171,11,11,11,12,12,12,12,12,12,10
173,sequence_32170,11,11,11,12,12,12,12,12,12,10
174,sequence_32166,11,11,11,12,12,12,12,12,12,10
