id,label
sequence_51160,2
sequence_51144,2
sequence_51142,2
sequence_51188,2
sequence_51191,2
sequence_51174,2
sequence_51005,0
sequence_32131,0
sequence_32142,0
sequence_51006,0
sequence_32178,2
sequence_50963,0
sequence_32171,0
sequence_32162,0
sequence_51194,2
sequence_51189,2
sequence_32129,0
sequence_32159,0
sequence_51131,0
sequence_50979,2
sequence_32149,0
sequence_50998,0
sequence_32173,0
sequence_32176,0
sequence_51003,2
sequence_51153,2
sequence_51164,2
sequence_51054,2
sequence_32113,0
sequence_51145,2
sequence_51009,2
sequence_50981,1
sequence_50997,2
sequence_32141,0
sequence_51008,0
sequence_51038,0
sequence_51049,0
sequence_51173,2
sequence_51168,2
sequence_51014,0
sequence_50966,2
sequence_51159,2
sequence_51199,2
sequence_51129,2
sequence_50976,0
sequence_51180,2
sequence_51019,0
sequence_32118,0
sequence_51157,2
sequence_51135,2
sequence_51044,2
sequence_50986,2
sequence_51165,2
sequence_50987,2
sequence_51167,2
sequence_32124,0
sequence_51197,2
sequence_50965,0
sequence_51035,2
sequence_50985,0
sequence_51170,2
sequence_51046,0
sequence_50962,0
sequence_51161,2
sequence_51048,0
sequence_51021,0
sequence_51002,2
sequence_51146,2
sequence_50984,2
sequence_32165,0
sequence_51017,2
sequence_51177,2
sequence_32156,0
sequence_32139,0
sequence_50993,2
sequence_51041,0
sequence_51012,2
sequence_50983,2
sequence_51127,0
sequence_32163,0
sequence_51013,2
sequence_32147,0
sequence_51037,2
sequence_51158,2
sequence_32172,0
sequence_51155,2
sequence_51148,2
sequence_32182,2
sequence_51154,2
sequence_51141,2
sequence_32164,0
sequence_50980,0
sequence_51181,2
sequence_51056,2
sequence_50995,2
sequence_32168,0
sequence_51183,2
sequence_50991,2
sequence_32177,1
sequence_51176,2
sequence_32123,0
sequence_51032,2
sequence_51126,0
sequence_32175,2
sequence_51004,0
sequence_32150,0
sequence_50967,2
sequence_32153,0
sequence_51042,0
sequence_32115,0
sequence_32136,0
sequence_32154,0
sequence_51187,2
sequence_32122,0
sequence_50992,2
sequence_32180,0
sequence_51011,0
sequence_32160,0
sequence_51169,2
sequence_50978,0
sequence_32117,0
sequence_51149,2
sequence_51031,0
sequence_32130,0
sequence_51057,2
sequence_50996,2
sequence_51133,0
sequence_51172,2
sequence_51195,2
sequence_50988,0
sequence_51193,2
sequence_51192,2
sequence_51150,2
sequence_32127,0
sequence_51036,0
sequence_51018,2
sequence_51033,0
sequence_32133,0
sequence_51015,0
sequence_32144,0
sequence_51028,2
sequence_51163,2
sequence_51190,2
sequence_51029,2
sequence_51020,0
sequence_51034,2
sequence_50990,2
sequence_51178,2
sequence_51130,2
sequence_51022,0
sequence_50977,0
sequence_51016,2
sequence_50999,2
sequence_51024,0
sequence_51185,2
sequence_51171,2
sequence_32134,0
sequence_51030,2
sequence_51051,2
sequence_50982,0
sequence_51151,2
sequence_51001,2
sequence_51200,2
sequence_51198,2
sequence_50964,0
sequence_32145,0
sequence_32138,0
sequence_51136,0
sequence_51027,0
sequence_51140,2
sequence_32126,0
sequence_32128,0
sequence_32170,0
sequence_51055,0
sequence_32112,0
sequence_50969,0
sequence_51128,0
sequence_50974,0
sequence_51010,2
sequence_50971,0
sequence_51182,2
sequence_51052,2
sequence_32166,0
sequence_51152,2
sequence_51196,2
sequence_51186,2
sequence_51137,2
sequence_51040,2
sequence_32125,0
sequence_51201,2
sequence_51139,1
sequence_51175,2
sequence_32155,0
sequence_32151,0
sequence_51050,0
sequence_32157,0
sequence_32137,0
sequence_51143,2
sequence_51043,2
sequence_51053,0
sequence_51138,2
sequence_32121,0
sequence_32119,0
sequence_32109,0
sequence_51134,2
sequence_51132,0
sequence_32161,0
sequence_32140,0
sequence_32148,0
sequence_51023,0
sequence_32152,0
sequence_32179,0
sequence_32116,0
sequence_50961,2
sequence_51025,0
sequence_32143,0
sequence_50973,0
sequence_32174,0
sequence_32158,0
sequence_32181,0
sequence_50989,0
sequence_51179,2
sequence_32169,0
sequence_51156,2
sequence_51000,0
sequence_51166,2
sequence_50970,2
sequence_51007,2
sequence_51147,2
sequence_51184,2
sequence_51202,0
sequence_32110,0
sequence_32114,0
sequence_32135,0
sequence_32146,0
sequence_32111,0
sequence_50968,0
sequence_50975,0
sequence_32120,0
sequence_32132,0
sequence_50972,0
sequence_51039,0
sequence_51045,0
sequence_51026,0
sequence_51162,2
sequence_50994,2
sequence_32167,0
sequence_51047,0
