,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_51016,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
1,sequence_51170,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
2,sequence_32130,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
3,sequence_51136,1,2,2,1,0,4,7,7,9,8,11,6,4,11,5,6,6,11,11,10,0,11,19,11,10,23,0,15
4,sequence_51191,1,2,2,1,0,4,7,7,0,7,3,12,9,9,7,4,15,7,18,19,11,8,3,23,19,4,6,7
5,sequence_51140,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
6,sequence_51149,1,2,2,1,4,2,5,2,3,0,2,3,13,3,11,2,14,0,6,4,16,4,12,10,14,17,20,6
7,sequence_51181,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
8,sequence_51159,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
9,sequence_51175,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
10,sequence_51174,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,5,3,17,23,26
11,sequence_51169,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,17,12,10,3,21,14,22
12,sequence_51199,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
13,sequence_51144,1,2,2,1,4,2,5,2,3,0,2,3,13,3,11,2,14,0,6,4,16,4,12,10,14,17,20,6
14,sequence_51183,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
