,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,730.3778,1-2-2-2-144-1
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,531.2887000000001,1-2-2-2-144-1
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,712.8841,1-2-2-2-144-1
12,sequence_51016,-4.626935645431157,sequence_51144,-7.6062267387969245,730.3778,0-2-2-2-115-1
259,sequence_51170,-5.599110392902725,sequence_51144,-7.6062267387969245,591.8984,0-2-2-2-115-1
506,sequence_32130,-5.7157882520247325,sequence_51144,-7.6062267387969245,712.8841,0-2-2-2-115-1
211,sequence_51016,-4.626935645431157,sequence_51142,-7.121316080640148,730.3778,1-2-2-2-86-4
458,sequence_51170,-5.599110392902725,sequence_51142,-7.121316080640148,531.2887000000001,1-2-2-2-86-4
705,sequence_32130,-5.7157882520247325,sequence_51142,-7.121316080640148,712.8841,1-2-2-2-86-4
120,sequence_51016,-4.626935645431157,sequence_51188,-7.477058965090089,730.3778,1-2-2-2-102-4
367,sequence_51170,-5.599110392902725,sequence_51188,-7.477058965090089,591.8984,1-2-2-2-102-4
614,sequence_32130,-5.7157882520247325,sequence_51188,-7.477058965090089,714.7492,1-2-2-2-102-4
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,730.3778,1-2-2-2-98-4
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,591.8984,1-2-2-2-98-4
497,sequence_32130,-5.7157882520247325,sequence_51191,-4.187052068679792,714.7492,1-2-2-2-98-4
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,730.3778,0-2-2-2-131-1
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,488.7765,0-2-2-2-131-1
503,sequence_32130,-5.7157882520247325,sequence_51174,-8.191804956045784,712.8841,0-2-2-2-131-1
158,sequence_51016,-4.626935645431157,sequence_51005,-5.462621475453159,506.2702,0-1-1-1-192-0
405,sequence_51170,-5.599110392902725,sequence_51005,-5.462621475453159,730.3778,0-1-1-1-192-0
652,sequence_32130,-5.7157882520247325,sequence_51005,-5.462621475453159,730.3778,0-1-1-1-192-0
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,730.3778,1-0-0-0-10-2
