,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,17110.525,2-2-2-2-125-1
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,2478.2358,2-2-2-2-125-1
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,17097.4801,2-2-2-2-125-1
12,sequence_51016,-4.626935645431157,sequence_51144,-7.6062267387969245,17042.7667,2-2-2-2-108-1
259,sequence_51170,-5.599110392902725,sequence_51144,-7.6062267387969245,1254.9477000000002,2-2-2-2-108-1
506,sequence_32130,-5.7157882520247325,sequence_51144,-7.6062267387969245,17318.784,2-2-2-2-108-1
211,sequence_51016,-4.626935645431157,sequence_51142,-7.121316080640148,17721.8696,2-2-2-2-90-8
458,sequence_51170,-5.599110392902725,sequence_51142,-7.121316080640148,4792.62,2-2-2-2-90-8
705,sequence_32130,-5.7157882520247325,sequence_51142,-7.121316080640148,17359.0299,2-2-2-2-90-8
120,sequence_51016,-4.626935645431157,sequence_51188,-7.477058965090089,17480.252500000002,2-2-2-2-92-3
367,sequence_51170,-5.599110392902725,sequence_51188,-7.477058965090089,6843.917900000001,2-2-2-2-92-3
614,sequence_32130,-5.7157882520247325,sequence_51188,-7.477058965090089,17274.885,2-2-2-2-92-3
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,17547.9868,2-2-2-2-97-3
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,5856.155200000001,2-2-2-2-97-3
497,sequence_32130,-5.7157882520247325,sequence_51191,-4.187052068679792,17652.7617,2-2-2-2-97-3
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,17282.398,2-2-2-2-137-1
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,965.314,2-2-2-2-137-1
503,sequence_32130,-5.7157882520247325,sequence_51174,-8.191804956045784,17080.5795,2-2-2-2-137-1
158,sequence_51016,-4.626935645431157,sequence_51005,-5.462621475453159,190.6286,1-1-1-1-204-0
405,sequence_51170,-5.599110392902725,sequence_51005,-5.462621475453159,17099.9704,1-1-1-1-204-0
652,sequence_32130,-5.7157882520247325,sequence_51005,-5.462621475453159,16834.7819,1-1-1-1-204-0
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,16993.273699999998,0-0-0-0-24-2
287,sequence_51170,-5.599110392902725,sequence_32131,-6.7244621963556055,17087.795700000002,0-0-0-0-24-2
534,sequence_32130,-5.7157882520247325,sequence_32131,-6.7244621963556055,1266.95,0-0-0-0-24-2
136,sequence_51016,-4.626935645431157,sequence_32142,-5.589646359982146,16976.388899999998,0-0-0-0-34-2
383,sequence_51170,-5.599110392902725,sequence_32142,-5.589646359982146,16988.9051,0-0-0-0-34-2
630,sequence_32130,-5.7157882520247325,sequence_32142,-5.589646359982146,1568.3962,0-0-0-0-34-2
231,sequence_51016,-4.626935645431157,sequence_51006,-4.088195248253983,1396.7681000000002,2-1-1-1-205-0
478,sequence_51170,-5.599110392902725,sequence_51006,-4.088195248253983,16937.0099,2-1-1-1-205-0
725,sequence_32130,-5.7157882520247325,sequence_51006,-4.088195248253983,16944.9096,2-1-1-1-205-0
180,sequence_51016,-4.626935645431157,sequence_32178,-7.97958130655809,16540.8661,2-0-0-0-57-5
427,sequence_51170,-5.599110392902725,sequence_32178,-7.97958130655809,16532.5713,2-0-0-0-57-5
674,sequence_32130,-5.7157882520247325,sequence_32178,-7.97958130655809,5201.7478,2-0-0-0-57-5
188,sequence_51016,-4.626935645431157,sequence_50963,-4.781440038086389,5301.6031,1-1-1-1-153-6
435,sequence_51170,-5.599110392902725,sequence_50963,-4.781440038086389,17542.767499999998,1-1-1-1-153-6
682,sequence_32130,-5.7157882520247325,sequence_50963,-4.781440038086389,17162.873399999997,1-1-1-1-153-6
171,sequence_51016,-4.626935645431157,sequence_32171,-6.784871272007103,16837.3131,1-0-0-0-50-5
418,sequence_51170,-5.599110392902725,sequence_32171,-6.784871272007103,16817.7579,1-0-0-0-50-5
665,sequence_32130,-5.7157882520247325,sequence_32171,-6.784871272007103,6527.1684,1-0-0-0-50-5
72,sequence_51016,-4.626935645431157,sequence_32162,-7.3445848975979535,16610.7392,2-0-0-0-40-7
319,sequence_51170,-5.599110392902725,sequence_32162,-7.3445848975979535,16835.689599999998,2-0-0-0-40-7
566,sequence_32130,-5.7157882520247325,sequence_32162,-7.3445848975979535,5512.262299999999,2-0-0-0-40-7
118,sequence_51016,-4.626935645431157,sequence_51194,-5.951019832085327,17509.319199999998,2-2-2-2-99-3
365,sequence_51170,-5.599110392902725,sequence_51194,-5.951019832085327,2830.7886,2-2-2-2-99-3
612,sequence_32130,-5.7157882520247325,sequence_51194,-5.951019832085327,17676.879500000003,2-2-2-2-99-3
99,sequence_51016,-4.626935645431157,sequence_51189,-4.558817450583756,17525.8603,2-2-2-2-93-3
