,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,1.0614,1-0-0-0-6
47,sequence_40826,539,sequence_40824,523,1.0834,1-0-0-0-6
22,sequence_40826,539,sequence_40829,528,0.966,1-0-0-0-6
45,sequence_40826,539,sequence_40835,535,0.9779,1-0-0-0-6
19,sequence_40826,539,sequence_40818,522,1.0188,1-0-0-0-6
46,sequence_40826,539,sequence_40819,532,1.045,1-0-0-0-6
59,sequence_40826,539,sequence_40836,543,0.9912,1-0-0-0-6
18,sequence_40826,539,sequence_40817,528,1.0999,1-0-0-0-6
48,sequence_40826,539,sequence_40825,532,0.9199,1-0-0-0-1
4,sequence_40826,539,sequence_40807,528,0.9379000000000002,1-0-0-0-1
14,sequence_40826,539,sequence_40842,522,1.2512000000000003,1-0-0-0-1
6,sequence_40826,539,sequence_40811,534,1.0455,1-0-0-0-1
20,sequence_40826,539,sequence_40827,525,1.2048,1-0-0-0-1
44,sequence_40826,539,sequence_40839,538,1.0834,1-0-0-0-1
43,sequence_40826,539,sequence_40860,535,1.1101,1-0-0-0-1
9,sequence_40826,539,sequence_40845,495,0.8031,1-0-0-0-1
12,sequence_40826,539,sequence_40840,528,1.0729000000000002,1-0-0-0-1
58,sequence_40826,539,sequence_40859,543,1.6586000000000003,1-0-0-0-1
63,sequence_40826,539,sequence_40822,549,1.0842999999999998,1-0-0-0-1
57,sequence_40826,539,sequence_40862,546,0.8529,1-0-0-0-1
7,sequence_40826,539,sequence_40813,528,0.9882,1-0-0-0-1
56,sequence_40826,539,sequence_40810,549,0.9954000000000004,1-0-0-0-1
16,sequence_40826,539,sequence_40838,531,1.6903,1-0-0-0-1
5,sequence_40826,539,sequence_40809,528,1.2666000000000002,1-0-0-0-1
50,sequence_40826,539,sequence_40800,558,0.9064,1-0-0-0-1
8,sequence_40826,539,sequence_40814,510,1.111,0-0-0-0-1
3,sequence_40826,539,sequence_40806,525,1.5046,0-0-0-0-1
10,sequence_40826,539,sequence_40855,522,1.0117000000000005,0-0-0-0-1
17,sequence_40826,539,sequence_40816,531,0.6947999999999999,1-0-0-0-0
62,sequence_40826,539,sequence_40821,549,0.5187,1-0-0-0-0
49,sequence_40826,539,sequence_40797,558,0.3497,1-0-0-0-0
64,sequence_40826,539,sequence_40823,546,0.6252000000000002,1-0-0-0-0
15,sequence_40826,539,sequence_40844,519,0.5274000000000001,1-0-0-0-0
52,sequence_40826,539,sequence_40804,561,0.573,1-0-0-0-0
60,sequence_40826,539,sequence_40837,543,0.6195999999999999,1-0-0-0-0
75,sequence_40826,539,sequence_40795,562,0.6553,1-0-0-0-0
66,sequence_40826,539,sequence_40832,555,0.5299,1-0-0-0-5
13,sequence_40826,539,sequence_40841,528,0.6799000000000002,1-0-0-0-5
54,sequence_40826,539,sequence_40864,549,0.9893,1-0-0-0-5
53,sequence_40826,539,sequence_40805,564,0.7533000000000003,1-0-0-0-5
41,sequence_40826,539,sequence_40792,517,0.4437,1-0-0-0-5
11,sequence_40826,539,sequence_40857,522,0.7204,1-0-0-0-5
2,sequence_40826,539,sequence_40794,519,0.8221,1-0-0-0-5
67,sequence_40826,539,sequence_40833,549,0.8184000000000002,1-0-0-0-5
23,sequence_40826,539,sequence_40831,525,0.7609000000000002,1-0-0-0-5
61,sequence_40826,539,sequence_40820,543,0.7817000000000001,1-0-0-0-5
1,sequence_40826,539,sequence_40789,510,0.8722,1-0-0-0-5
65,sequence_40826,539,sequence_40834,546,0.8838000000000001,1-0-0-0-5
42,sequence_40826,539,sequence_40790,523,0.5700000000000002,1-0-0-0-5
21,sequence_40826,539,sequence_40828,519,0.7351,1-0-0-0-5
0,sequence_40826,539,sequence_40787,510,0.6418,1-0-0-0-5
34,sequence_40826,539,sequence_40861,464,2.5542,0-1-0-1-4
37,sequence_40826,539,sequence_40853,463,2.4534,0-1-0-1-4
40,sequence_40826,539,sequence_40850,462,2.3669,0-1-0-1-4
35,sequence_40826,539,sequence_40812,464,2.6262,0-1-0-1-4
38,sequence_40826,539,sequence_40848,461,2.5446,0-1-0-1-4
39,sequence_40826,539,sequence_40849,464,2.4498,0-1-0-1-4
69,sequence_40826,539,sequence_40798,579,0.9970000000000002,1-0-0-0-7
55,sequence_40826,539,sequence_40808,543,1.1377000000000002,1-0-0-0-7
68,sequence_40826,539,sequence_40830,558,1.077,1-0-0-0-7
