,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.0359,0-1-0-0-14
144,sequence_47787,5.0,sequence_47788,5.0,0.025,0-1-0-0-14
19,sequence_47787,5.0,sequence_47785,25.0,0.0327000000000001,0-1-0-0-14
143,sequence_47787,5.0,sequence_47791,4.0,0.0161999999999999,0-1-0-0-14
2,sequence_47787,5.0,sequence_47790,9.0,0.0232,0-1-0-0-14
17,sequence_47787,5.0,sequence_47778,26.0,0.0464999999999999,0-1-0-0-14
1,sequence_47787,5.0,sequence_47789,10.0,0.0263,0-1-0-0-14
146,sequence_47787,5.0,sequence_47809,10.0,0.041,0-1-0-0-14
18,sequence_47787,5.0,sequence_47780,23.0,0.0342,0-1-0-0-14
3,sequence_47787,5.0,sequence_47781,12.0,0.0406999999999999,0-1-0-0-14
11,sequence_47787,5.0,sequence_47776,9.0,0.0081999999999999,0-1-0-0-14
83,sequence_47787,5.0,sequence_47708,111.0,0.0718999999999998,0-1-0-0-6
72,sequence_47787,5.0,sequence_47702,69.0,0.0629999999999999,0-1-0-0-6
34,sequence_47787,5.0,sequence_47700,65.0,0.0645,0-1-0-0-6
82,sequence_47787,5.0,sequence_47704,98.0,0.0776999999999998,0-1-0-0-6
88,sequence_47787,5.0,sequence_47707,79.0,0.0660999999999998,0-1-0-0-6
42,sequence_47787,5.0,sequence_47807,42.0,0.0649,0-1-0-0-6
87,sequence_47787,5.0,sequence_47703,95.0,0.0723,0-1-0-0-6
78,sequence_47787,5.0,sequence_47706,77.0,0.0599999999999998,0-1-0-0-6
74,sequence_47787,5.0,sequence_47705,71.0,0.0619999999999998,0-1-0-0-6
77,sequence_47787,5.0,sequence_47701,63.0,0.0658999999999998,0-1-0-0-6
58,sequence_47787,5.0,sequence_47743,63.0,0.0578,1-1-0-0-5
70,sequence_47787,5.0,sequence_47738,55.0,0.0574999999999999,1-1-0-0-5
53,sequence_47787,5.0,sequence_47758,22.0,0.0555,1-1-0-0-5
63,sequence_47787,5.0,sequence_47749,81.0,0.056,1-1-0-0-5
121,sequence_47787,5.0,sequence_47742,108.0,0.0567,1-1-0-0-5
25,sequence_47787,5.0,sequence_47750,25.0,0.0594,1-1-0-0-5
