,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.0019871114187896,1-1-9-9-140-0
83,sequence_47787,5.0,sequence_47708,111.0,0.016082512455339,0-23-22-22-62-14
58,sequence_47787,5.0,sequence_47743,63.0,0.0036693684767532,0-1-9-9-24-10
130,sequence_47787,5.0,sequence_47674,38.0,0.0109167940389255,1-0-14-14-82-11
57,sequence_47787,5.0,sequence_47741,102.0,0.0042566359044985,1-1-9-9-26-10
40,sequence_47787,5.0,sequence_47724,48.0,0.0129841897123495,0-23-1-1-51-14
36,sequence_47787,5.0,sequence_47683,75.0,0.0127558510331224,0-23-1-1-87-14
60,sequence_47787,5.0,sequence_47745,83.0,0.0047296222719239,1-9-10-10-31-1
49,sequence_47787,5.0,sequence_47727,45.0,0.0073640596728676,0-15-4-4-14-13
5,sequence_47787,5.0,sequence_47779,11.0,0.0019871114187896,1-1-9-9-138-0
133,sequence_47787,5.0,sequence_47739,35.0,0.0107335498861407,1-3-18-18-34-7
115,sequence_47787,5.0,sequence_47732,30.0,0.0103658174321411,1-6-6-6-7-13
47,sequence_47787,5.0,sequence_47666,69.0,0.0079508861593185,0-28-8-8-46-8
107,sequence_47787,5.0,sequence_47661,52.0,0.0108704225162349,1-22-17-17-41-12
70,sequence_47787,5.0,sequence_47738,55.0,0.0042566359044985,0-1-9-9-35-10
101,sequence_47787,5.0,sequence_47714,51.0,0.013452056200603,0-12-11-11-15-2
145,sequence_47787,5.0,sequence_47729,34.0,0.0013969783319898,1-14-16-16-12-0
59,sequence_47787,5.0,sequence_47752,67.0,0.005887175069054,1-21-13-13-21-10
72,sequence_47787,5.0,sequence_47702,69.0,0.0109149567052995,1-0-14-14-94-11
55,sequence_47787,5.0,sequence_47798,23.0,0.0093707411086394,1-27-25-25-111-3
144,sequence_47787,5.0,sequence_47788,5.0,0.0029750223845715,0-10-15-15-130-9
41,sequence_47787,5.0,sequence_47806,73.0,0.009512635942958,1-3-18-18-142-7
71,sequence_47787,5.0,sequence_47769,25.0,0.0095142356125636,1-3-18-18-118-7
19,sequence_47787,5.0,sequence_47785,25.0,0.0089006244539835,0-25-5-5-135-7
131,sequence_47787,5.0,sequence_47676,56.0,0.0144302487691104,0-23-1-1-80-14
148,sequence_47787,5.0,sequence_47810,5.57,0.0017754962614021,1-14-8-8-146-0
127,sequence_47787,5.0,sequence_47719,66.0,0.0145463263274488,0-23-1-1-59-14
147,sequence_47787,5.0,sequence_47737,27.0,0.0015795160109913,1-14-16-16-3-0
137,sequence_47787,5.0,sequence_47805,22.0,0.005497917971945,2-4-3-3-105-3
7,sequence_47787,5.0,sequence_47786,18.0,0.0028635456237796,1-21-13-13-123-0
81,sequence_47787,5.0,sequence_47688,90.0,0.0145378193399202,0-19-12-12-72-6
128,sequence_47787,5.0,sequence_47723,69.0,0.0143757216780841,0-13-2-2-50-14
24,sequence_47787,5.0,sequence_47796,20.0,0.0059777866364885,2-4-3-3-113-3
23,sequence_47787,5.0,sequence_47783,24.5,0.0062923207329607,1-15-4-4-133-13
21,sequence_47787,5.0,sequence_47663,36.0,0.0067936319654975,2-28-8-8-44-8
102,sequence_47787,5.0,sequence_47725,57.0,0.0168964547926747,1-18-2-2-49-6
94,sequence_47787,5.0,sequence_47764,118.0,0.0095628043864749,1-3-18-18-143-7
112,sequence_47787,5.0,sequence_47662,28.0,0.0105045175958888,1-22-17-17-42-12
120,sequence_47787,5.0,sequence_47740,158.0,0.0076746098785221,0-10-15-15-27-9
75,sequence_47787,5.0,sequence_47694,51.0,0.0153295511507416,0-8-0-0-65-4
113,sequence_47787,5.0,sequence_47731,32.0,0.0073530161113988,2-4-3-3-10-3
110,sequence_47787,5.0,sequence_47734,110.0,0.0108292363240799,1-15-4-4-6-13
143,sequence_47787,5.0,sequence_47791,4.0,0.0016331678697764,1-9-10-10-127-1
136,sequence_47787,5.0,sequence_47801,4.0,0.0035330265825781,1-17-3-3-108-3
28,sequence_47787,5.0,sequence_47768,17.0,0.00305209102424,1-1-9-9-119-10
116,sequence_47787,5.0,sequence_47755,100.0,0.0085178356062799,1-10-24-24-19-9
37,sequence_47787,5.0,sequence_47697,55.5,0.0149669711728999,0-7-21-21-68-6
114,sequence_47787,5.0,sequence_47733,25.0,0.0100483615134042,1-6-6-6-8-13
134,sequence_47787,5.0,sequence_47735,55.0,0.0107763390704214,1-3-18-18-2-7
111,sequence_47787,5.0,sequence_47811,24.0,0.0064299046788554,1-15-4-4-144-13
54,sequence_47787,5.0,sequence_47797,27.0,0.0092876852279982,1-6-6-6-112-13
68,sequence_47787,5.0,sequence_47770,25.0,0.0102563106953457,1-3-18-18-117-7
35,sequence_47787,5.0,sequence_47689,52.0,0.011023442930984,1-16-7-7-74-8
90,sequence_47787,5.0,sequence_47765,118.0,0.0120699773284126,0-2-1-1-148-14
26,sequence_47787,5.0,sequence_47760,26.0,0.0022308541017015,1-14-16-16-99-10
2,sequence_47787,5.0,sequence_47790,9.0,0.0065253793254046,1-25-5-5-128-7
141,sequence_47787,5.0,sequence_47808,4.0,0.0001826382274419,1-14-16-16-102-0
105,sequence_47787,5.0,sequence_47670,97.0,0.0131832020358098,0-11-27-27-40-12
126,sequence_47787,5.0,sequence_47716,84.0,0.0150371460408086,0-26-23-23-54-14
85,sequence_47787,5.0,sequence_47677,103.0,0.0138438060516371,0-23-1-1-79-14
99,sequence_47787,5.0,sequence_47690,63.0,0.0175723248661284,2-24-26-26-73-6
