id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,0.12360287213491437
sequence_53082,55.0,sequence_20054,49.0,0.1177589062449206
sequence_53082,55.0,sequence_20048,39.8,0.11409206808538441
sequence_53082,55.0,sequence_20036,52.9,0.07137646670997377
sequence_53082,55.0,sequence_19525,48.8,0.11927832996818827
sequence_53082,55.0,sequence_20061,45.0,0.057037882148621176
sequence_53082,55.0,sequence_19496,48.3,0.1146884475437696
sequence_53082,55.0,sequence_19477,61.5,0.08372251787900309
sequence_53082,55.0,sequence_19363,54.6,0.0929384204729131
sequence_53082,55.0,sequence_19500,51.2,0.1154576112692446
sequence_53082,55.0,sequence_19453,47.3,0.11880787010968592
sequence_53082,55.0,sequence_53075,51.6,0.05451100806259228
sequence_53082,55.0,sequence_19522,45.4,0.11807688173389404
sequence_53082,55.0,sequence_19523,50.8,0.11836612691137612
sequence_53082,55.0,sequence_53078,43.3,0.1012161054378205
sequence_53082,55.0,sequence_20069,53.4,0.07437949986387377
sequence_53082,55.0,sequence_53062,49.1,0.061463403745643616
sequence_53082,55.0,sequence_20060,52.6,0.06208284787282233
sequence_53082,55.0,sequence_53066,39.2,0.10271236537048495
sequence_53082,55.0,sequence_19417,47.9,0.11731977667895553
sequence_53082,55.0,sequence_19391,46.8,0.11720465007839918
sequence_53082,55.0,sequence_19447,51.0,0.0887779251841357
sequence_53082,55.0,sequence_53079,47.8,0.0987483670751066
sequence_53082,55.0,sequence_20042,49.4,0.10428806259586954
sequence_53082,55.0,sequence_19419,53.3,0.11341785573709282
sequence_53082,55.0,sequence_19425,56.9,0.06936764375413076
sequence_53082,55.0,sequence_19450,46.0,0.08919041428315039
sequence_53082,55.0,sequence_53085,51.2,0.0383066573848463
sequence_53082,55.0,sequence_19509,50.6,0.11681733604221593
sequence_53082,55.0,sequence_53059,47.1,0.10173809512665351
sequence_53082,55.0,sequence_19430,45.7,0.1224267536121088
sequence_53082,55.0,sequence_20052,42.9,0.10540545526679344
sequence_53082,55.0,sequence_19369,47.9,0.1130962864111815
sequence_53082,55.0,sequence_53064,48.4,0.07017250173679145
sequence_53082,55.0,sequence_20072,48.7,0.0718399610244883
sequence_53082,55.0,sequence_20038,49.1,0.08349029883764938
sequence_53082,55.0,sequence_20039,52.6,0.06896064094829744
sequence_53082,55.0,sequence_19506,49.3,0.12025094594222534
sequence_53082,55.0,sequence_20064,47.3,0.10869875804258296
sequence_53082,55.0,sequence_19530,45.6,0.11361381958195046
sequence_53082,55.0,sequence_19498,63.2,0.08324463946705514
