id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40826,539,sequence_40787,510,0.0078007988266901584
sequence_40826,539,sequence_40789,510,6.662060382245372e-05
sequence_40826,539,sequence_40794,519,0.001702452457349346
sequence_40826,539,sequence_40806,525,0.0013634325980808049
sequence_40826,539,sequence_40807,528,0.001575555128458972
sequence_40826,539,sequence_40809,528,0.0004102733347817189
sequence_40826,539,sequence_40811,534,0.0029227408664251886
sequence_40826,539,sequence_40813,528,2.0375423762653e-06
sequence_40826,539,sequence_40814,510,0.0021728636218847353
sequence_40826,539,sequence_40845,495,0.0007533385882444454
sequence_40826,539,sequence_40855,522,0.0006920766613768281
sequence_40826,539,sequence_40857,522,0.0018643210420968837
sequence_40826,539,sequence_40840,528,0.0004994881457258682
sequence_40826,539,sequence_40841,528,0.0005653225571269349
sequence_40826,539,sequence_40842,522,0.0031489887091339375
sequence_40826,539,sequence_40844,519,0.003351922940482477
sequence_40826,539,sequence_40838,531,0.0003151091721451671
sequence_40826,539,sequence_40816,531,0.01137530848648205
sequence_40826,539,sequence_40817,528,0.0006957547892537663
sequence_40826,539,sequence_40818,522,0.01755430725589957
sequence_40826,539,sequence_40827,525,0.0011257987057088359
sequence_40826,539,sequence_40828,519,0.005887211449239649
sequence_40826,539,sequence_40829,528,0.006425110493020969
sequence_40826,539,sequence_40831,525,0.011325181346741542
sequence_40826,539,sequence_40856,498,0.016033401150963744
sequence_40826,539,sequence_40815,498,0.01757840014380052
sequence_40826,539,sequence_40851,477,0.00524400051736007
sequence_40826,539,sequence_40847,486,0.016160795892029012
sequence_40826,539,sequence_40858,495,0.017271189460324243
sequence_40826,539,sequence_40852,474,0.01541848687049896
sequence_40826,539,sequence_40843,495,0.015386846402634657
sequence_40826,539,sequence_40846,483,0.005951545191433039
sequence_40826,539,sequence_40791,454,0.016719859792662328
sequence_40826,539,sequence_40793,456,0.01661976628274653
sequence_40826,539,sequence_40861,464,0.015437069829280725
sequence_40826,539,sequence_40812,464,0.016069023195121712
sequence_40826,539,sequence_40854,465,0.01606053285806419
sequence_40826,539,sequence_40853,463,0.017899688295907268
sequence_40826,539,sequence_40848,461,0.016282689929770333
sequence_40826,539,sequence_40849,464,0.016173679823524578
sequence_40826,539,sequence_40850,462,0.015442001908057446
sequence_40826,539,sequence_40792,517,0.0011693637719574212
sequence_40826,539,sequence_40790,523,0.0012691920218582675
sequence_40826,539,sequence_40860,535,2.062684106707291e-05
sequence_40826,539,sequence_40839,538,0.0006920766613768281
sequence_40826,539,sequence_40835,535,0.002510305593116935
sequence_40826,539,sequence_40819,532,0.0008969981498946344
sequence_40826,539,sequence_40824,523,0.0007809137501789687
sequence_40826,539,sequence_40825,532,2.575746703081805e-05
sequence_40826,539,sequence_40797,558,0.0005613159816681978
sequence_40826,539,sequence_40800,558,0.00037811838904833195
sequence_40826,539,sequence_40803,549,0.0005231829998564308
sequence_40826,539,sequence_40804,561,2.0631358901956887e-05
sequence_40826,539,sequence_40805,564,0.0015530778770549425
sequence_40826,539,sequence_40864,549,0.00041041294307619935
sequence_40826,539,sequence_40808,543,0.00029382632753094384
sequence_40826,539,sequence_40810,549,0.0017877686918805757
sequence_40826,539,sequence_40862,546,0.001264219745731765
sequence_40826,539,sequence_40859,543,0.026366532761996186
sequence_40826,539,sequence_40836,543,0.0007419326978832519
sequence_40826,539,sequence_40837,543,0.0033923367553836403
sequence_40826,539,sequence_40820,543,0.0012691920218582675
sequence_40826,539,sequence_40821,549,0.0011693637719574212
sequence_40826,539,sequence_40822,549,0.002714480440244915
sequence_40826,539,sequence_40823,546,0.0008498356260526752
sequence_40826,539,sequence_40834,546,0.00397298091272047
sequence_40826,539,sequence_40832,555,0.002150585355432
sequence_40826,539,sequence_40833,549,0.0003788265988650119
sequence_40826,539,sequence_40830,558,0.0029327811316769425
sequence_40826,539,sequence_40798,579,0.003495206256417638
sequence_40826,539,sequence_40865,580,0.0033441077471436653
sequence_40826,539,sequence_40863,566,0.0015804424517290583
sequence_40826,539,sequence_40801,561,0.0033104059997193236
sequence_40826,539,sequence_40802,560,0.0016385925687235625
sequence_40826,539,sequence_40796,567,0.004669956238147366
sequence_40826,539,sequence_40795,562,0.0017316789707608748
sequence_40826,539,sequence_40866,620,0.005651393315998621
sequence_40826,539,sequence_40799,597,0.004238438376386822
sequence_40826,539,sequence_40788,510,0.0035630753182035457
sequence_40826,539,sequence_40867,622,0.006395315160525938
sequence_40787,510,sequence_40826,539,0.0078007988266901584
sequence_40787,510,sequence_40789,510,0.006427942238117046
sequence_40787,510,sequence_40794,519,0.002218814267384017
sequence_40787,510,sequence_40806,525,0.009150084172941941
sequence_40787,510,sequence_40807,528,0.009367837834915793
sequence_40787,510,sequence_40809,528,0.008209798349010367
sequence_40787,510,sequence_40811,534,0.010710458431888448
sequence_40787,510,sequence_40813,528,0.007803077261363756
sequence_40787,510,sequence_40814,510,0.0099845755484671
sequence_40787,510,sequence_40845,495,0.008564672853559219
sequence_40787,510,sequence_40855,522,0.00847174588286681
sequence_40787,510,sequence_40857,522,0.009676387875845904
sequence_40787,510,sequence_40840,528,0.008300895120729401
sequence_40787,510,sequence_40841,528,0.008366503565076067
sequence_40787,510,sequence_40842,522,0.010913920085823703
sequence_40787,510,sequence_40844,519,0.011138234835741279
sequence_40787,510,sequence_40838,531,0.008124065547512993
sequence_40787,510,sequence_40816,531,0.019196387329231124
sequence_40787,510,sequence_40817,528,0.008518159643873036
sequence_40787,510,sequence_40818,522,0.025353384051838623
sequence_40787,510,sequence_40827,525,0.0089409480749425
sequence_40787,510,sequence_40828,519,0.013694921620225897
sequence_40787,510,sequence_40829,528,0.014230978182396381
sequence_40787,510,sequence_40831,525,0.019110817198600527
sequence_40787,510,sequence_40856,498,0.023804948926408054
sequence_40787,510,sequence_40815,498,0.02538186763773198
sequence_40787,510,sequence_40851,477,0.013055116278616219
sequence_40787,510,sequence_40847,486,0.02396388642995473
sequence_40787,510,sequence_40858,495,0.02507501031918058
sequence_40787,510,sequence_40852,474,0.023200141949491493
sequence_40787,510,sequence_40843,495,0.023179441914160215
sequence_40787,510,sequence_40846,483,0.01378434337169887
sequence_40787,510,sequence_40791,454,0.018230473205163356
sequence_40787,510,sequence_40793,456,0.01838228138345943
sequence_40787,510,sequence_40861,464,0.023217857957349097
sequence_40787,510,sequence_40812,464,0.02384081632349988
sequence_40787,510,sequence_40854,465,0.023821225749357522
sequence_40787,510,sequence_40853,463,0.025672209383052702
sequence_40787,510,sequence_40848,461,0.02405124987490581
sequence_40787,510,sequence_40849,464,0.023945178014004198
sequence_40787,510,sequence_40850,462,0.023222710358249743
sequence_40787,510,sequence_40792,517,0.0029340747042300164
sequence_40787,510,sequence_40790,523,0.0027812888312447326
sequence_40787,510,sequence_40860,535,0.007820551783287999
sequence_40787,510,sequence_40839,538,0.00847174588286681
sequence_40787,510,sequence_40835,535,0.010301894869239159
sequence_40787,510,sequence_40819,532,0.008684596622796525
sequence_40787,510,sequence_40824,523,0.008571473949070096
sequence_40787,510,sequence_40825,532,0.007825602090561823
sequence_40787,510,sequence_40797,558,0.008363181939790465
sequence_40787,510,sequence_40800,558,0.008171497715792397
sequence_40787,510,sequence_40803,549,0.008314642921377624
sequence_40787,510,sequence_40804,561,0.0078223134456471
sequence_40787,510,sequence_40805,564,0.00933270516377016
sequence_40787,510,sequence_40864,549,0.008212667030154885
sequence_40787,510,sequence_40808,543,0.008093963584531627
sequence_40787,510,sequence_40810,549,0.009581256233990199
sequence_40787,510,sequence_40862,546,0.009049576620582034
sequence_40787,510,sequence_40859,543,0.03421859107689884
sequence_40787,510,sequence_40836,543,0.008542585540426195
sequence_40787,510,sequence_40837,543,0.011178728219278233
sequence_40787,510,sequence_40820,543,0.00908608374768538
sequence_40787,510,sequence_40821,549,0.008985991664527848
sequence_40787,510,sequence_40822,549,0.010501831896967628
sequence_40787,510,sequence_40823,546,0.008611635813985274
sequence_40787,510,sequence_40834,546,0.011812720579063574
sequence_40787,510,sequence_40832,555,0.009959763306283342
sequence_40787,510,sequence_40833,549,0.008187232751631468
sequence_40787,510,sequence_40830,558,0.01074802168428457
sequence_40787,510,sequence_40798,579,0.011311519062038311
