,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.302,0-0-0-12-0
5,sequence_47787,5.0,sequence_47779,11.0,0.2888,0-0-0-12-0
7,sequence_47787,5.0,sequence_47786,18.0,0.3252,0-0-0-12-0
8,sequence_47787,5.0,sequence_47782,17.0,0.2914,0-0-0-12-0
3,sequence_47787,5.0,sequence_47781,12.0,0.3157000000000001,0-0-0-12-0
83,sequence_47787,5.0,sequence_47708,111.0,0.6615,0-1-0-16-8
82,sequence_47787,5.0,sequence_47704,98.0,0.6999000000000001,0-1-0-16-8
84,sequence_47787,5.0,sequence_47709,119.0,0.6389,0-1-0-16-8
88,sequence_47787,5.0,sequence_47707,79.0,0.5807,0-1-0-16-8
87,sequence_47787,5.0,sequence_47703,95.0,0.6121,0-1-0-16-8
58,sequence_47787,5.0,sequence_47743,63.0,0.6093999999999999,1-0-0-3-6
57,sequence_47787,5.0,sequence_47741,102.0,0.6089,1-0-0-3-6
60,sequence_47787,5.0,sequence_47745,83.0,0.5599000000000001,1-0-0-3-6
70,sequence_47787,5.0,sequence_47738,55.0,0.5810000000000001,1-0-0-3-6
130,sequence_47787,5.0,sequence_47674,38.0,0.5889000000000001,2-2-0-1-15
131,sequence_47787,5.0,sequence_47676,56.0,0.6397999999999999,2-2-0-1-15
79,sequence_47787,5.0,sequence_47675,57.0,0.6940999999999999,2-2-0-1-15
40,sequence_47787,5.0,sequence_47724,48.0,0.5658000000000001,0-1-0-6-1
36,sequence_47787,5.0,sequence_47683,75.0,0.6323,0-1-0-6-8
49,sequence_47787,5.0,sequence_47727,45.0,0.4115,1-0-0-22-17
140,sequence_47787,5.0,sequence_47728,12.0,0.1991999999999998,1-0-0-22-17
150,sequence_47787,5.0,sequence_47736,19.0,0.2577999999999999,1-0-0-22-17
0,sequence_47787,5.0,sequence_47684,23.0,0.3094999999999999,1-0-0-22-17
133,sequence_47787,5.0,sequence_47739,35.0,0.6805,2-2-0-27-14
120,sequence_47787,5.0,sequence_47740,158.0,0.7944,2-2-0-27-14
121,sequence_47787,5.0,sequence_47742,108.0,0.7055,2-2-0-27-14
122,sequence_47787,5.0,sequence_47715,101.0,0.6793,2-2-0-27-14
115,sequence_47787,5.0,sequence_47732,30.0,0.5334,1-2-0-17-12
113,sequence_47787,5.0,sequence_47731,32.0,0.5809000000000001,1-2-0-17-12
54,sequence_47787,5.0,sequence_47797,27.0,0.4531999999999999,1-2-0-17-12
47,sequence_47787,5.0,sequence_47666,69.0,0.4574,1-0-0-10-6
108,sequence_47787,5.0,sequence_47667,86.0,0.4879,1-0-0-10-6
107,sequence_47787,5.0,sequence_47661,52.0,0.5938999999999999,1-2-0-9-11
103,sequence_47787,5.0,sequence_47669,32.0,0.5785999999999998,1-2-0-9-11
101,sequence_47787,5.0,sequence_47714,51.0,0.8046000000000001,2-2-0-18-10
102,sequence_47787,5.0,sequence_47725,57.0,0.7126999999999999,2-2-0-18-10
98,sequence_47787,5.0,sequence_47693,64.0,0.7366999999999999,2-2-0-18-10
96,sequence_47787,5.0,sequence_47699,62.0,0.7424,2-2-0-18-10
86,sequence_47787,5.0,sequence_47692,87.5,0.7806,2-2-0-18-10
100,sequence_47787,5.0,sequence_47712,49.0,0.7551,2-2-0-18-10
145,sequence_47787,5.0,sequence_47729,34.0,0.4243,1-0-0-15-2
59,sequence_47787,5.0,sequence_47752,67.0,0.5528,2-0-0-3-6
53,sequence_47787,5.0,sequence_47758,22.0,0.5403,2-0-0-3-6
62,sequence_47787,5.0,sequence_47748,79.0,0.5156999999999999,2-0-0-3-6
61,sequence_47787,5.0,sequence_47747,72.0,0.5450999999999999,2-0-0-3-6
64,sequence_47787,5.0,sequence_47744,69.0,0.5569999999999999,2-0-0-3-6
72,sequence_47787,5.0,sequence_47702,69.0,0.5768,0-1-0-5-7
34,sequence_47787,5.0,sequence_47700,65.0,0.4951,0-1-0-5-7
30,sequence_47787,5.0,sequence_47681,44.0,0.5436,0-1-0-5-7
73,sequence_47787,5.0,sequence_47672,76.0,0.5055000000000001,0-1-0-5-7
32,sequence_47787,5.0,sequence_47680,73.0,0.5481,0-1-0-5-7
78,sequence_47787,5.0,sequence_47706,77.0,0.5652999999999999,0-1-0-5-7
74,sequence_47787,5.0,sequence_47705,71.0,0.5178,0-1-0-5-7
77,sequence_47787,5.0,sequence_47701,63.0,0.5987,0-1-0-5-7
55,sequence_47787,5.0,sequence_47798,23.0,0.3205,1-0-0-4-0
144,sequence_47787,5.0,sequence_47788,5.0,0.2647,0-1-0-24-0
41,sequence_47787,5.0,sequence_47806,73.0,0.5006,0-1-0-11-9
94,sequence_47787,5.0,sequence_47764,118.0,0.6107,0-1-0-11-9
90,sequence_47787,5.0,sequence_47765,118.0,0.6902000000000001,0-1-0-11-9
89,sequence_47787,5.0,sequence_47762,127.0,0.6298000000000001,0-1-0-11-9
93,sequence_47787,5.0,sequence_47761,120.0,0.5827,0-1-0-11-9
92,sequence_47787,5.0,sequence_47812,121.0,0.6406000000000002,0-1-0-11-9
95,sequence_47787,5.0,sequence_47763,122.0,0.6666999999999998,0-1-0-11-9
42,sequence_47787,5.0,sequence_47807,42.0,0.4889,0-1-0-11-9
71,sequence_47787,5.0,sequence_47769,25.0,0.4533000000000001,0-2-0-26-1
19,sequence_47787,5.0,sequence_47785,25.0,0.4761,2-1-0-7-1
18,sequence_47787,5.0,sequence_47780,23.0,0.3806,2-1-0-7-1
148,sequence_47787,5.0,sequence_47810,5.57,0.1423999999999999,1-0-0-25-17
