,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_40826,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,18,3,2,5,12,0,17,4,4,6,20
1,sequence_40787,0,1,0,1,0,6,6,8,8,5,5,6,4,14,1,10,12,8,7,6,19,0,9,12,12,14,25,25
2,sequence_40789,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,18,3,2,5,12,0,17,4,4,6,20
3,sequence_40794,0,1,0,1,0,0,6,5,8,5,5,4,4,14,1,14,13,13,19,6,0,0,9,14,18,23,7,10
4,sequence_40806,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,18,3,2,5,12,0,17,25,0,6,24
5,sequence_40807,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,16,3,2,5,10,23,3,4,4,0,20
6,sequence_40809,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,16,3,2,5,10,23,3,4,4,0,20
7,sequence_40811,0,1,0,1,0,0,5,5,0,0,9,4,6,8,11,12,15,18,3,11,21,17,20,16,21,24,22,22
8,sequence_40813,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,18,3,2,5,12,0,17,4,4,6,20
9,sequence_40814,0,1,0,1,5,0,5,5,7,0,6,4,9,0,6,8,8,15,1,7,12,9,17,11,1,13,14,12
10,sequence_40845,0,1,0,1,0,0,5,5,7,0,6,4,9,0,6,8,8,15,1,7,12,9,17,11,1,13,14,12
11,sequence_40855,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,18,3,2,5,12,0,17,4,4,6,20
12,sequence_40857,0,1,0,1,5,0,5,5,7,0,6,4,9,0,6,8,8,15,1,7,12,9,17,11,1,13,14,12
13,sequence_40840,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,5,18,3,2,5,12,0,17,17,4,6,19
14,sequence_40841,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,5,18,3,2,5,12,0,17,17,4,6,19
15,sequence_40842,0,1,0,1,0,0,5,5,0,0,6,4,8,8,5,0,17,12,16,12,20,15,18,23,22,16,19,18
16,sequence_40844,0,1,0,1,5,4,7,7,6,6,7,7,12,9,7,6,5,7,8,5,1,8,3,24,17,20,8,19
17,sequence_40838,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,18,3,2,5,12,0,17,4,4,6,20
18,sequence_40816,0,1,0,4,4,5,3,3,5,2,2,5,7,6,4,3,7,6,5,0,8,4,7,4,0,5,4,4
19,sequence_40817,0,1,0,1,0,0,5,5,0,0,6,4,6,8,5,0,17,18,3,2,5,12,0,17,4,4,6,20
20,sequence_40818,0,1,0,4,4,5,3,3,5,2,2,5,7,6,4,3,7,6,5,0,8,4,7,4,0,5,4,4
21,sequence_40827,0,0,0,2,0,0,5,2,0,3,6,12,6,7,3,0,2,3,10,1,3,12,14,2,14,6,18,1
