,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.0017304160053229,2-1-0-0-23-4
83,sequence_47787,5.0,sequence_47708,111.0,0.0031968143782439,2-1-0-0-63-9
58,sequence_47787,5.0,sequence_47743,63.0,0.0035992286168154,1-1-0-0-135-13
130,sequence_47787,5.0,sequence_47674,38.0,0.0033440555657574,2-1-0-0-97-9
57,sequence_47787,5.0,sequence_47741,102.0,0.003726025408118,1-1-0-0-137-13
40,sequence_47787,5.0,sequence_47724,48.0,0.00259046353728,2-1-0-0-59-3
36,sequence_47787,5.0,sequence_47683,75.0,0.0023799074491427,2-1-0-0-89-3
60,sequence_47787,5.0,sequence_47745,83.0,0.0032317245455575,1-1-0-0-132-13
49,sequence_47787,5.0,sequence_47727,45.0,0.0144418210915531,0-0-1-1-103-6
5,sequence_47787,5.0,sequence_47779,11.0,0.0017304160053229,2-1-0-0-29-4
133,sequence_47787,5.0,sequence_47739,35.0,0.0038320132846532,1-1-0-0-134-13
115,sequence_47787,5.0,sequence_47732,30.0,0.0139011606711041,0-0-1-1-104-6
47,sequence_47787,5.0,sequence_47666,69.0,0.0079956283278148,1-0-1-1-146-5
107,sequence_47787,5.0,sequence_47661,52.0,0.0082589895796293,1-0-1-1-151-5
70,sequence_47787,5.0,sequence_47738,55.0,0.003726025408118,1-1-0-0-133-13
101,sequence_47787,5.0,sequence_47714,51.0,0.0032971880757934,2-1-0-0-139-3
145,sequence_47787,5.0,sequence_47729,34.0,0.0019305979068529,2-1-0-0-101-14
59,sequence_47787,5.0,sequence_47752,67.0,0.002409616260689,2-1-0-0-124-7
72,sequence_47787,5.0,sequence_47702,69.0,0.0031927069372168,2-1-0-0-68-9
55,sequence_47787,5.0,sequence_47798,23.0,0.0049955880538899,0-0-1-1-34-11
144,sequence_47787,5.0,sequence_47788,5.0,0.0002695056325447,1-1-0-0-18-0
41,sequence_47787,5.0,sequence_47806,73.0,0.0023521624785625,2-1-0-0-5-4
71,sequence_47787,5.0,sequence_47769,25.0,0.0025040380735837,2-1-0-0-43-4
19,sequence_47787,5.0,sequence_47785,25.0,0.0010676594571229,1-1-0-0-28-0
131,sequence_47787,5.0,sequence_47676,56.0,0.0031705748845743,2-1-0-0-99-9
148,sequence_47787,5.0,sequence_47810,5.57,0.000183839714806,1-1-0-0-44-0
127,sequence_47787,5.0,sequence_47719,66.0,0.0029805849765269,2-0-0-0-113-7
147,sequence_47787,5.0,sequence_47737,27.0,0.0043339806892097,2-1-0-0-53-15
137,sequence_47787,5.0,sequence_47805,22.0,0.0015446468429188,2-1-0-0-7-14
7,sequence_47787,5.0,sequence_47786,18.0,0.0018079621186058,2-1-0-0-17-14
81,sequence_47787,5.0,sequence_47688,90.0,0.0060155211042653,2-0-1-1-82-11
128,sequence_47787,5.0,sequence_47723,69.0,0.0025837491103981,2-1-0-0-60-9
24,sequence_47787,5.0,sequence_47796,20.0,0.0049229330035216,0-0-1-1-33-11
23,sequence_47787,5.0,sequence_47783,24.5,0.0137693621731811,0-0-1-1-26-6
21,sequence_47787,5.0,sequence_47663,36.0,0.0073181936948658,1-0-1-1-149-5
102,sequence_47787,5.0,sequence_47725,57.0,0.0020569553614986,2-1-0-0-58-3
94,sequence_47787,5.0,sequence_47764,118.0,0.0036742564579146,1-1-0-0-48-10
112,sequence_47787,5.0,sequence_47662,28.0,0.0162440981093601,0-0-1-1-150-6
120,sequence_47787,5.0,sequence_47740,158.0,0.0054661030648011,2-1-0-0-136-13
75,sequence_47787,5.0,sequence_47694,51.0,0.0088768311878578,1-0-0-0-73-8
113,sequence_47787,5.0,sequence_47731,32.0,0.0082362228794542,1-0-1-1-105-6
110,sequence_47787,5.0,sequence_47734,110.0,0.0151636578992044,0-0-1-1-100-6
143,sequence_47787,5.0,sequence_47791,4.0,0.0001557464782439,0-1-0-0-22-0
136,sequence_47787,5.0,sequence_47801,4.0,0.0001368989704862,1-1-0-0-9-0
28,sequence_47787,5.0,sequence_47768,17.0,0.0023976494022821,2-1-0-0-42-4
