id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_47787,5.0,sequence_47684,23.0,549.9216000000001
sequence_47787,5.0,sequence_47789,10.0,736.2336
sequence_47787,5.0,sequence_47790,9.0,744.8326999999999
sequence_47787,5.0,sequence_47781,12.0,151.31399999999996
sequence_47787,5.0,sequence_47777,11.0,228.5648
sequence_47787,5.0,sequence_47779,11.0,228.5648
sequence_47787,5.0,sequence_47784,21.0,299.66229999999996
sequence_47787,5.0,sequence_47786,18.0,329.5047000000002
sequence_47787,5.0,sequence_47782,17.0,329.1416999999999
sequence_47787,5.0,sequence_47772,12.0,122.12509999999997
sequence_47787,5.0,sequence_47795,7.0,422.20889999999997
sequence_47787,5.0,sequence_47776,9.0,112.5195
sequence_47787,5.0,sequence_47685,24.0,864.9064999999999
sequence_47787,5.0,sequence_47679,44.0,749.6048999999998
sequence_47787,5.0,sequence_47695,52.0,932.0448000000001
sequence_47787,5.0,sequence_47710,43.0,1079.8562000000002
sequence_47787,5.0,sequence_47686,22.0,1232.6274999999996
sequence_47787,5.0,sequence_47778,26.0,944.5904
sequence_47787,5.0,sequence_47780,23.0,938.3063999999999
sequence_47787,5.0,sequence_47785,25.0,866.9547
sequence_47787,5.0,sequence_47803,12.0,1044.0099
sequence_47787,5.0,sequence_47663,36.0,704.7619999999997
sequence_47787,5.0,sequence_47757,36.0,405.61519999999973
sequence_47787,5.0,sequence_47783,24.5,627.9688999999998
sequence_47787,5.0,sequence_47796,20.0,677.0904
sequence_47787,5.0,sequence_47750,25.0,255.3417999999997
sequence_47787,5.0,sequence_47760,26.0,255.61439999999993
sequence_47787,5.0,sequence_47773,19.0,858.3587
sequence_47787,5.0,sequence_47768,17.0,343.0816
sequence_47787,5.0,sequence_47771,18.0,523.7507
sequence_47787,5.0,sequence_47681,44.0,1048.2810999999997
sequence_47787,5.0,sequence_47696,47.0,1140.4191
sequence_47787,5.0,sequence_47680,73.0,809.5587999999998
sequence_47787,5.0,sequence_47673,65.5,818.1552999999999
sequence_47787,5.0,sequence_47700,65.0,818.0320000000002
sequence_47787,5.0,sequence_47689,52.0,1099.0863999999997
sequence_47787,5.0,sequence_47683,75.0,1379.5488999999998
sequence_47787,5.0,sequence_47697,55.5,1428.4859999999999
sequence_47787,5.0,sequence_47678,37.0,1296.4928
sequence_47787,5.0,sequence_47682,53.0,1436.1279
sequence_47787,5.0,sequence_47724,48.0,1395.0571
sequence_47787,5.0,sequence_47806,73.0,970.3738000000001
sequence_47787,5.0,sequence_47807,42.0,1109.2983
sequence_47787,5.0,sequence_47804,23.0,1066.1394
sequence_47787,5.0,sequence_47800,20.0,1084.9144
sequence_47787,5.0,sequence_47799,24.0,1100.4326
sequence_47787,5.0,sequence_47664,32.0,936.2186000000002
sequence_47787,5.0,sequence_47666,69.0,741.6614999999997
sequence_47787,5.0,sequence_47671,36.0,872.7658000000006
sequence_47787,5.0,sequence_47727,45.0,725.1247000000003
sequence_47787,5.0,sequence_47756,37.0,714.3269
sequence_47787,5.0,sequence_47775,23.0,732.2336
sequence_47787,5.0,sequence_47730,35.0,720.7055
sequence_47787,5.0,sequence_47758,22.0,716.3946999999998
sequence_47787,5.0,sequence_47797,27.0,1038.5920999999998
sequence_47787,5.0,sequence_47798,23.0,997.5796999999998
sequence_47787,5.0,sequence_47751,34.0,569.2303999999999
sequence_47787,5.0,sequence_47741,102.0,407.16929999999957
sequence_47787,5.0,sequence_47743,63.0,339.71039999999994
sequence_47787,5.0,sequence_47752,67.0,642.9923000000003
sequence_47787,5.0,sequence_47745,83.0,465.53790000000004
sequence_47787,5.0,sequence_47747,72.0,449.8299999999999
sequence_47787,5.0,sequence_47748,79.0,492.06960000000004
sequence_47787,5.0,sequence_47749,81.0,474.10000000000014
sequence_47787,5.0,sequence_47744,69.0,490.79699999999957
sequence_47787,5.0,sequence_47721,40.0,1265.3345999999997
sequence_47787,5.0,sequence_47759,36.0,895.2746999999999
sequence_47787,5.0,sequence_47774,21.0,888.7966000000001
sequence_47787,5.0,sequence_47770,25.0,1045.9361
sequence_47787,5.0,sequence_47713,51.0,403.6886999999997
sequence_47787,5.0,sequence_47738,55.0,401.4731999999999
sequence_47787,5.0,sequence_47769,25.0,981.0888000000001
sequence_47787,5.0,sequence_47702,69.0,1108.6754999999998
sequence_47787,5.0,sequence_47672,76.0,1063.3615999999997
sequence_47787,5.0,sequence_47705,71.0,1050.2585
sequence_47787,5.0,sequence_47694,51.0,1460.0238000000004
sequence_47787,5.0,sequence_47691,40.0,1281.0486
sequence_47787,5.0,sequence_47701,63.0,865.5989
sequence_47787,5.0,sequence_47706,77.0,961.1221
sequence_47787,5.0,sequence_47675,57.0,878.4423999999999
sequence_47787,5.0,sequence_47698,56.0,1262.6351999999997
sequence_47787,5.0,sequence_47688,90.0,1472.9236999999998
sequence_47787,5.0,sequence_47704,98.0,1438.7522
sequence_47787,5.0,sequence_47708,111.0,1381.7617
sequence_47787,5.0,sequence_47709,119.0,1529.7232
sequence_47787,5.0,sequence_47677,103.0,1441.9595
sequence_47787,5.0,sequence_47692,87.5,1375.2739000000001
sequence_47787,5.0,sequence_47703,95.0,1493.8066
sequence_47787,5.0,sequence_47707,79.0,1440.4724999999999
sequence_47787,5.0,sequence_47762,127.0,1223.3617
sequence_47787,5.0,sequence_47765,118.0,1232.9427999999998
