,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,6457.010599999998,1-0-0-0-22-1
48,sequence_40826,539,sequence_40825,532,4427.4854000000005,2-0-0-0-43-1
8,sequence_40826,539,sequence_40814,510,14026.791,1-0-1-1-70-0
17,sequence_40826,539,sequence_40816,531,8625.9114,2-0-0-0-59-1
66,sequence_40826,539,sequence_40832,555,1171.354900000002,0-0-0-0-33-1
34,sequence_40826,539,sequence_40861,464,25738.9959,1-1-3-3-5-3
13,sequence_40826,539,sequence_40841,528,894.904300000001,2-0-0-0-37-1
69,sequence_40826,539,sequence_40798,579,9009.539100000002,2-0-0-0-67-10
73,sequence_40826,539,sequence_40802,560,25225.8173,0-0-7-7-8-8
62,sequence_40826,539,sequence_40821,549,18930.6311,2-0-2-2-73-9
47,sequence_40826,539,sequence_40824,523,2001.6895000000009,0-0-0-0-29-1
36,sequence_40826,539,sequence_40854,465,24950.3491,1-1-3-3-18-3
49,sequence_40826,539,sequence_40797,558,7969.7237,2-0-0-0-57-10
4,sequence_40826,539,sequence_40807,528,9698.163500000002,2-0-0-0-62-1
22,sequence_40826,539,sequence_40829,528,7375.3622,1-0-0-0-19-1
30,sequence_40826,539,sequence_40843,495,19534.5146,1-1-4-4-1-4
14,sequence_40826,539,sequence_40842,522,129.0106000000007,1-0-0-0-35-1
6,sequence_40826,539,sequence_40811,534,5585.961099999999,2-0-0-0-25-1
64,sequence_40826,539,sequence_40823,546,5333.672099999998,2-0-0-0-45-1
15,sequence_40826,539,sequence_40844,519,18552.4864,2-1-4-4-9-4
79,sequence_40826,539,sequence_40867,622,10196.1948,2-0-0-0-52-10
54,sequence_40826,539,sequence_40864,549,3285.288599999999,1-0-0-0-27-1
37,sequence_40826,539,sequence_40853,463,26325.6279,1-1-3-3-6-3
3,sequence_40826,539,sequence_40806,525,4238.8628,0-0-0-0-44-1
40,sequence_40826,539,sequence_40850,462,24859.006200000003,1-1-3-3-28-3
31,sequence_40826,539,sequence_40846,483,24229.8333,1-1-1-1-60-2
45,sequence_40826,539,sequence_40835,535,12013.873700000002,2-0-0-0-12-7
53,sequence_40826,539,sequence_40805,564,5809.882400000002,2-0-0-0-50-10
41,sequence_40826,539,sequence_40792,517,19118.264299999995,2-0-5-5-74-6
20,sequence_40826,539,sequence_40827,525,6461.382599999999,2-0-0-0-53-1
26,sequence_40826,539,sequence_40851,477,24178.8468,1-1-1-1-58-2
44,sequence_40826,539,sequence_40839,538,1391.498199999999,1-0-0-0-32-1
11,sequence_40826,539,sequence_40857,522,3119.4064,1-0-0-0-41-1
28,sequence_40826,539,sequence_40858,495,19697.3439,2-1-4-4-3-4
35,sequence_40826,539,sequence_40812,464,26337.0365,1-1-3-3-4-3
76,sequence_40826,539,sequence_40866,620,9024.2594,2-0-0-0-64-10
52,sequence_40826,539,sequence_40804,561,12905.4121,2-0-0-0-66-10
77,sequence_40826,539,sequence_40799,597,10095.667500000003,2-0-0-0-56-10
19,sequence_40826,539,sequence_40818,522,13023.0502,2-0-0-0-69-1
43,sequence_40826,539,sequence_40860,535,13033.5023,2-0-7-7-11-8
9,sequence_40826,539,sequence_40845,495,18764.6278,2-0-1-1-76-0
12,sequence_40826,539,sequence_40840,528,7443.571300000001,2-0-0-0-55-1
58,sequence_40826,539,sequence_40859,543,19024.5393,2-0-0-0-7-1
