,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.0123707499576063,2-1-0-0-79-1
83,sequence_47787,5.0,sequence_47708,111.0,0.0197445644876861,1-7-2-2-21-11
58,sequence_47787,5.0,sequence_47743,63.0,0.0167759516305631,1-1-0-0-29-8
130,sequence_47787,5.0,sequence_47674,38.0,0.0192491520613511,0-1-0-0-7-9
57,sequence_47787,5.0,sequence_47741,102.0,0.0178196037330443,2-1-0-0-22-8
40,sequence_47787,5.0,sequence_47724,48.0,0.0238581677757006,1-0-6-6-71-11
36,sequence_47787,5.0,sequence_47683,75.0,0.0190997666789468,1-7-2-2-41-11
60,sequence_47787,5.0,sequence_47745,83.0,0.0088288209133725,0-4-5-5-70-4
49,sequence_47787,5.0,sequence_47727,45.0,0.0182819292913017,1-3-1-1-124-6
5,sequence_47787,5.0,sequence_47779,11.0,0.0126985700361529,0-1-0-0-78-1
133,sequence_47787,5.0,sequence_47739,35.0,0.0233815866975252,1-7-2-2-12-11
115,sequence_47787,5.0,sequence_47732,30.0,0.0220546779234933,2-3-1-1-104-6
47,sequence_47787,5.0,sequence_47666,69.0,0.0156382294602868,1-4-5-5-107-12
107,sequence_47787,5.0,sequence_47661,52.0,0.0158666203232971,2-4-5-5-73-12
70,sequence_47787,5.0,sequence_47738,55.0,0.0179845660300704,2-1-0-0-23-8
101,sequence_47787,5.0,sequence_47714,51.0,0.0364499816060239,0-0-6-6-52-13
145,sequence_47787,5.0,sequence_47729,34.0,0.0034682400381655,1-2-3-3-113-2
59,sequence_47787,5.0,sequence_47752,67.0,0.0287887454246416,0-1-0-0-2-8
72,sequence_47787,5.0,sequence_47702,69.0,0.0177157149236568,0-1-0-0-36-9
55,sequence_47787,5.0,sequence_47798,23.0,0.0167168885615217,1-4-1-1-51-4
144,sequence_47787,5.0,sequence_47788,5.0,0.0016391486766649,2-2-3-3-133-0
41,sequence_47787,5.0,sequence_47806,73.0,0.0192743373411461,0-7-2-2-77-5
71,sequence_47787,5.0,sequence_47769,25.0,0.020727442781713,0-7-2-2-33-5
19,sequence_47787,5.0,sequence_47785,25.0,0.0177500532553164,0-7-2-2-67-5
131,sequence_47787,5.0,sequence_47676,56.0,0.0233308717789281,1-7-2-2-10-11
148,sequence_47787,5.0,sequence_47810,5.57,0.0121163747192394,2-6-4-4-150-14
127,sequence_47787,5.0,sequence_47719,66.0,0.0228733789220205,2-0-6-6-75-13
147,sequence_47787,5.0,sequence_47737,27.0,0.0201519629079213,2-6-4-4-145-14
137,sequence_47787,5.0,sequence_47805,22.0,0.0130616041966761,0-1-0-0-72-1
7,sequence_47787,5.0,sequence_47786,18.0,0.009448705378649,0-1-0-0-92-1
81,sequence_47787,5.0,sequence_47688,90.0,0.0114939949883917,1-4-5-5-93-4
128,sequence_47787,5.0,sequence_47723,69.0,0.0338342335391338,0-0-6-6-16-13
24,sequence_47787,5.0,sequence_47796,20.0,0.0124161009502178,2-4-5-5-87-4
23,sequence_47787,5.0,sequence_47783,24.5,0.0163019461776487,1-3-1-1-141-6
21,sequence_47787,5.0,sequence_47663,36.0,0.0129854165224195,2-4-5-5-114-4
102,sequence_47787,5.0,sequence_47725,57.0,0.0316392454325191,0-0-6-6-31-13
94,sequence_47787,5.0,sequence_47764,118.0,0.0267279224765201,0-0-2-2-117-10
112,sequence_47787,5.0,sequence_47662,28.0,0.0212945825963787,1-3-1-1-139-6
120,sequence_47787,5.0,sequence_47740,158.0,0.0216922574879337,1-7-2-2-1-11
75,sequence_47787,5.0,sequence_47694,51.0,0.004655286558628,2-2-3-3-116-2
113,sequence_47787,5.0,sequence_47731,32.0,0.014581235114803,0-4-5-5-68-4
110,sequence_47787,5.0,sequence_47734,110.0,0.0253675178503541,1-3-1-1-131-6
143,sequence_47787,5.0,sequence_47791,4.0,0.0108578459851023,0-1-0-0-100-1
136,sequence_47787,5.0,sequence_47801,4.0,0.0004753874449549,2-2-3-3-138-0
28,sequence_47787,5.0,sequence_47768,17.0,0.0151041215447657,2-1-0-0-50-8
116,sequence_47787,5.0,sequence_47755,100.0,0.0294646972673565,0-1-0-0-0-9
37,sequence_47787,5.0,sequence_47697,55.5,0.0082569171239526,2-5-7-7-110-3
114,sequence_47787,5.0,sequence_47733,25.0,0.0155511333158848,2-4-5-5-32-12
134,sequence_47787,5.0,sequence_47735,55.0,0.0409373787625564,1-0-6-6-83-13
111,sequence_47787,5.0,sequence_47811,24.0,0.0164267083872287,1-3-1-1-142-6
54,sequence_47787,5.0,sequence_47797,27.0,0.019883978463056,1-3-1-1-126-6
68,sequence_47787,5.0,sequence_47770,25.0,0.0234234713407983,0-7-2-2-28-5
35,sequence_47787,5.0,sequence_47689,52.0,0.0109901914896166,0-4-5-5-85-4
90,sequence_47787,5.0,sequence_47765,118.0,0.0221336097821881,1-7-2-2-99-10
26,sequence_47787,5.0,sequence_47760,26.0,0.0183898020562711,2-6-4-4-147-14
2,sequence_47787,5.0,sequence_47790,9.0,0.0041993730785111,1-5-7-7-123-3
141,sequence_47787,5.0,sequence_47808,4.0,0.0158457709628975,2-6-4-4-151-14
105,sequence_47787,5.0,sequence_47670,97.0,0.0163578162082818,2-4-5-5-63-12
126,sequence_47787,5.0,sequence_47716,84.0,0.0257660031826668,1-0-6-6-66-13
85,sequence_47787,5.0,sequence_47677,103.0,0.0223883233072628,0-7-2-2-14-11
99,sequence_47787,5.0,sequence_47690,63.0,0.0167167928129884,2-3-1-1-76-6
34,sequence_47787,5.0,sequence_47700,65.0,0.0164844537562465,2-1-0-0-60-8
46,sequence_47787,5.0,sequence_47664,32.0,0.0139956582720894,2-4-5-5-94-12
104,sequence_47787,5.0,sequence_47668,48.0,0.0164789350825066,2-4-5-5-90-12
89,sequence_47787,5.0,sequence_47762,127.0,0.019735273386075,1-7-2-2-86-10
82,sequence_47787,5.0,sequence_47704,98.0,0.0210055091753066,0-7-2-2-56-11
69,sequence_47787,5.0,sequence_47713,51.0,0.0260180089876208,0-0-6-6-74-8
27,sequence_47787,5.0,sequence_47773,19.0,0.0084488612510241,1-5-7-7-118-3
129,sequence_47787,5.0,sequence_47722,75.0,0.035662149090945,0-0-6-6-24-13
45,sequence_47787,5.0,sequence_47799,24.0,0.0186792343495298,2-7-2-2-54-5
53,sequence_47787,5.0,sequence_47758,22.0,0.0144568194693492,0-4-5-5-62-4
93,sequence_47787,5.0,sequence_47761,120.0,0.021358728365856,1-7-2-2-96-10
106,sequence_47787,5.0,sequence_47665,50.0,0.019082815248735,2-4-5-5-105-12
63,sequence_47787,5.0,sequence_47749,81.0,0.0128091648548767,1-1-0-0-43-8
140,sequence_47787,5.0,sequence_47728,12.0,0.0021935201501329,2-2-3-3-129-2
43,sequence_47787,5.0,sequence_47804,23.0,0.0255677570404472,0-7-2-2-26-5
98,sequence_47787,5.0,sequence_47693,64.0,0.0200085930828638,1-7-2-2-30-11
17,sequence_47787,5.0,sequence_47778,26.0,0.017541089650747,0-7-2-2-65-5
48,sequence_47787,5.0,sequence_47671,36.0,0.0153553350955176,0-4-5-5-106-12
96,sequence_47787,5.0,sequence_47699,62.0,0.0280506019653743,0-7-2-2-8-5
13,sequence_47787,5.0,sequence_47679,44.0,0.0151718497610898,2-1-0-0-55-1
52,sequence_47787,5.0,sequence_47730,35.0,0.0143872671144996,0-4-5-5-59-4
76,sequence_47787,5.0,sequence_47691,40.0,0.0242499925347073,0-1-0-0-4-9
139,sequence_47787,5.0,sequence_47794,18.0,0.0143465182975605,0-1-0-0-47-1
67,sequence_47787,5.0,sequence_47774,21.0,0.0277583380402532,0-7-2-2-13-5
97,sequence_47787,5.0,sequence_47687,92.0,0.0182105400746577,2-7-2-2-38-11
51,sequence_47787,5.0,sequence_47775,23.0,0.0165378009613095,1-3-1-1-136-6
20,sequence_47787,5.0,sequence_47803,12.0,0.0063354345040417,1-5-7-7-130-3
1,sequence_47787,5.0,sequence_47789,10.0,0.0056572380574283,1-5-7-7-137-3
10,sequence_47787,5.0,sequence_47795,7.0,0.0036215254236121,2-2-3-3-146-0
125,sequence_47787,5.0,sequence_47720,80.0,0.019081270034876,1-5-1-1-108-7
