id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_47787,5.0,sequence_47684,23.0,0.016809202365077443
sequence_47787,5.0,sequence_47789,10.0,0.025223875921568197
sequence_47787,5.0,sequence_47790,9.0,0.023128540309702857
sequence_47787,5.0,sequence_47781,12.0,0.042368993444690604
sequence_47787,5.0,sequence_47777,11.0,0.037511686701369056
sequence_47787,5.0,sequence_47779,11.0,0.038081498706773305
sequence_47787,5.0,sequence_47784,21.0,0.03310363599587467
sequence_47787,5.0,sequence_47786,18.0,0.03415771742841738
sequence_47787,5.0,sequence_47782,17.0,0.035018486545897766
sequence_47787,5.0,sequence_47772,12.0,0.017277848372728638
sequence_47787,5.0,sequence_47795,7.0,0.021734669364576253
sequence_47787,5.0,sequence_47776,9.0,0.005526230879066933
sequence_47787,5.0,sequence_47685,24.0,0.020264529439333375
sequence_47787,5.0,sequence_47679,44.0,0.041031490327618735
sequence_47787,5.0,sequence_47695,52.0,0.017471436373921956
sequence_47787,5.0,sequence_47710,43.0,0.01918407861782121
sequence_47787,5.0,sequence_47686,22.0,0.028315659785676867
sequence_47787,5.0,sequence_47778,26.0,0.04485791281880599
sequence_47787,5.0,sequence_47780,23.0,0.045582837608619683
sequence_47787,5.0,sequence_47785,25.0,0.04535104976959437
sequence_47787,5.0,sequence_47803,12.0,0.02629726580472595
sequence_47787,5.0,sequence_47663,36.0,0.037359628168429054
sequence_47787,5.0,sequence_47757,36.0,0.0351712662100263
sequence_47787,5.0,sequence_47783,24.5,0.04106849520652047
sequence_47787,5.0,sequence_47796,20.0,0.036896933841668735
sequence_47787,5.0,sequence_47750,25.0,0.021625256201275554
sequence_47787,5.0,sequence_47760,26.0,0.04674850078597988
sequence_47787,5.0,sequence_47773,19.0,0.02993353859421572
sequence_47787,5.0,sequence_47768,17.0,0.04059008584628803
sequence_47787,5.0,sequence_47771,18.0,0.03037363856173361
sequence_47787,5.0,sequence_47681,44.0,0.04274223848310825
sequence_47787,5.0,sequence_47696,47.0,0.021379475785180072
sequence_47787,5.0,sequence_47680,73.0,0.04106346089601477
sequence_47787,5.0,sequence_47673,65.5,0.04400913151234744
sequence_47787,5.0,sequence_47700,65.0,0.04263762799732157
