,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,35.27742597336908,2-0-0-12-0
83,sequence_47787,5.0,sequence_47708,111.0,59.6073917962547,0-1-0-16-8
82,sequence_47787,5.0,sequence_47704,98.0,61.07204904646886,0-1-0-16-8
84,sequence_47787,5.0,sequence_47709,119.0,59.74254539417015,0-1-0-16-8
88,sequence_47787,5.0,sequence_47707,79.0,54.97424798315144,0-1-0-16-8
87,sequence_47787,5.0,sequence_47703,95.0,56.934362646352014,0-1-0-16-8
58,sequence_47787,5.0,sequence_47743,63.0,58.19422571346468,0-0-0-3-6
62,sequence_47787,5.0,sequence_47748,79.0,47.33386707858935,0-0-0-3-6
130,sequence_47787,5.0,sequence_47674,38.0,54.27633864877468,2-2-0-1-15
57,sequence_47787,5.0,sequence_47741,102.0,56.22378140439165,2-0-0-3-6
70,sequence_47787,5.0,sequence_47738,55.0,55.49066976024911,2-0-0-3-6
59,sequence_47787,5.0,sequence_47752,67.0,51.06594416443936,2-0-0-3-6
61,sequence_47787,5.0,sequence_47747,72.0,51.56117681850895,2-0-0-3-6
64,sequence_47787,5.0,sequence_47744,69.0,50.74966692897948,2-0-0-3-6
40,sequence_47787,5.0,sequence_47724,48.0,53.96383998566186,1-1-0-6-1
36,sequence_47787,5.0,sequence_47683,75.0,58.03021110940613,0-1-0-6-8
60,sequence_47787,5.0,sequence_47745,83.0,53.054579941628944,1-0-0-3-6
53,sequence_47787,5.0,sequence_47758,22.0,48.22828077290649,1-0-0-3-6
63,sequence_47787,5.0,sequence_47749,81.0,56.477387123089855,1-0-0-3-6
49,sequence_47787,5.0,sequence_47727,45.0,38.65255209734285,2-0-0-22-17
140,sequence_47787,5.0,sequence_47728,12.0,24.219838610165368,2-0-0-22-17
150,sequence_47787,5.0,sequence_47736,19.0,25.45354069217159,2-0-0-22-17
0,sequence_47787,5.0,sequence_47684,23.0,27.578774245027223,2-0-0-22-17
5,sequence_47787,5.0,sequence_47779,11.0,31.4539028063812,0-0-0-12-0
7,sequence_47787,5.0,sequence_47786,18.0,31.31167738243419,0-0-0-12-0
8,sequence_47787,5.0,sequence_47782,17.0,30.651357079493117,0-0-0-12-0
3,sequence_47787,5.0,sequence_47781,12.0,34.318602070283454,0-0-0-12-0
133,sequence_47787,5.0,sequence_47739,35.0,60.76936401865367,1-2-0-27-14
120,sequence_47787,5.0,sequence_47740,158.0,68.73601703226916,1-2-0-27-14
121,sequence_47787,5.0,sequence_47742,108.0,62.38149387729962,1-2-0-27-14
122,sequence_47787,5.0,sequence_47715,101.0,61.07325030453573,1-2-0-27-14
115,sequence_47787,5.0,sequence_47732,30.0,49.00151254524009,1-2-0-17-12
47,sequence_47787,5.0,sequence_47666,69.0,46.64372606353808,2-0-0-10-6
108,sequence_47787,5.0,sequence_47667,86.0,50.22039678616035,2-0-0-10-6
107,sequence_47787,5.0,sequence_47661,52.0,53.97208635966673,2-2-0-9-11
105,sequence_47787,5.0,sequence_47670,97.0,51.19644941624755,2-2-0-9-11
106,sequence_47787,5.0,sequence_47665,50.0,54.62075548411387,2-2-0-9-11
103,sequence_47787,5.0,sequence_47669,32.0,53.550248302126825,2-2-0-9-11
101,sequence_47787,5.0,sequence_47714,51.0,66.6011348588257,1-2-0-18-10
102,sequence_47787,5.0,sequence_47725,57.0,59.41953314357487,1-2-0-18-10
98,sequence_47787,5.0,sequence_47693,64.0,61.68175224991926,1-2-0-18-10
96,sequence_47787,5.0,sequence_47699,62.0,61.79107168403245,1-2-0-18-10
86,sequence_47787,5.0,sequence_47692,87.5,65.14986418168262,1-2-0-18-10
100,sequence_47787,5.0,sequence_47712,49.0,63.74402990489844,1-2-0-18-10
145,sequence_47787,5.0,sequence_47729,34.0,43.21723077138431,2-0-0-15-2
72,sequence_47787,5.0,sequence_47702,69.0,54.531492233891946,0-1-0-5-7
34,sequence_47787,5.0,sequence_47700,65.0,47.88809028941094,0-1-0-5-7
30,sequence_47787,5.0,sequence_47681,44.0,52.430810329749775,0-1-0-5-7
73,sequence_47787,5.0,sequence_47672,76.0,49.35991709075429,0-1-0-5-7
32,sequence_47787,5.0,sequence_47680,73.0,53.75775522814321,0-1-0-5-7
78,sequence_47787,5.0,sequence_47706,77.0,53.056524571715656,0-1-0-5-7
74,sequence_47787,5.0,sequence_47705,71.0,50.90706191083013,0-1-0-5-7
77,sequence_47787,5.0,sequence_47701,63.0,54.24263005701612,0-1-0-5-7
55,sequence_47787,5.0,sequence_47798,23.0,33.63124847439754,2-0-0-4-0
144,sequence_47787,5.0,sequence_47788,5.0,29.398291990878363,2-1-0-24-0
41,sequence_47787,5.0,sequence_47806,73.0,48.31388496678059,0-1-0-11-9
94,sequence_47787,5.0,sequence_47764,118.0,59.04763264563776,0-1-0-11-9
90,sequence_47787,5.0,sequence_47765,118.0,64.41108399284938,0-1-0-11-9
89,sequence_47787,5.0,sequence_47762,127.0,61.36662529229229,0-1-0-11-9
93,sequence_47787,5.0,sequence_47761,120.0,56.54702623664814,0-1-0-11-9
92,sequence_47787,5.0,sequence_47812,121.0,60.975322875769294,0-1-0-11-9
95,sequence_47787,5.0,sequence_47763,122.0,58.740320723947775,0-1-0-11-9
42,sequence_47787,5.0,sequence_47807,42.0,49.218917081538976,0-1-0-11-9
71,sequence_47787,5.0,sequence_47769,25.0,45.81573500074587,0-2-0-26-1
67,sequence_47787,5.0,sequence_47774,21.0,46.73747953241679,0-2-0-26-1
19,sequence_47787,5.0,sequence_47785,25.0,43.710269220912906,1-1-0-7-1
18,sequence_47787,5.0,sequence_47780,23.0,36.59443694813693,1-1-0-7-1
131,sequence_47787,5.0,sequence_47676,56.0,57.25591887114531,0-2-0-1-15
134,sequence_47787,5.0,sequence_47735,55.0,54.16267520115065,0-2-0-1-15
85,sequence_47787,5.0,sequence_47677,103.0,58.77791495074608,0-2-0-1-15
132,sequence_47787,5.0,sequence_47711,57.0,59.68124444471494,0-2-0-1-15
148,sequence_47787,5.0,sequence_47810,5.57,17.59491349827393,2-0-0-25-17
141,sequence_47787,5.0,sequence_47808,4.0,16.669565426660068,2-0-0-25-17
127,sequence_47787,5.0,sequence_47719,66.0,60.17086841534152,1-2-0-28-14
126,sequence_47787,5.0,sequence_47716,84.0,64.32017086684027,1-2-0-28-14
125,sequence_47787,5.0,sequence_47720,80.0,56.47293122772044,1-2-0-28-14
124,sequence_47787,5.0,sequence_47717,66.0,66.66422274402845,1-2-0-28-14
147,sequence_47787,5.0,sequence_47737,27.0,44.66155976357602,2-0-0-15-17
146,sequence_47787,5.0,sequence_47809,10.0,34.82187502959822,2-0-0-15-17
137,sequence_47787,5.0,sequence_47805,22.0,54.13743675222865,2-0-0-13-16
81,sequence_47787,5.0,sequence_47688,90.0,67.6766939579584,1-2-0-0-4
35,sequence_47787,5.0,sequence_47689,52.0,55.333670265930735,1-2-0-0-4
128,sequence_47787,5.0,sequence_47723,69.0,54.61461730508608,0-2-0-1-10
24,sequence_47787,5.0,sequence_47796,20.0,30.493126258308525,0-0-0-4-0
23,sequence_47787,5.0,sequence_47783,24.5,29.385661238932173,2-0-0-22-0
