,secuencia,meanshift-2,meanshift-3,meanshift-4,meanshift-5,meanshift-6,meanshift-7,meanshift-8,meanshift-9,meanshift-10,meanshift-11,meanshift-12,meanshift-13,meanshift-14,meanshift-15,meanshift-16,meanshift-17,meanshift-18,meanshift-19,meanshift-20,meanshift-21,meanshift-22,meanshift-23,meanshift-24,meanshift-25,meanshift-26,meanshift-27,meanshift-28,meanshift-29
0,sequence_47787,113,113,113,113,113,113,113,113,113,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,sequence_47684,121,121,121,121,121,121,121,121,121,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,sequence_47789,96,96,96,96,96,96,96,96,96,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,sequence_47790,115,115,115,115,115,115,115,115,115,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
4,sequence_47781,75,75,75,75,75,75,75,75,75,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
5,sequence_47777,78,78,78,78,78,78,78,78,78,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
6,sequence_47779,77,77,77,77,77,77,77,77,77,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
7,sequence_47784,130,130,130,130,130,130,130,130,130,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
8,sequence_47786,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
9,sequence_47782,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
10,sequence_47772,98,98,98,98,98,98,98,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,sequence_47795,142,142,142,142,142,142,142,142,142,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
12,sequence_47776,44,44,44,44,44,44,44,44,44,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
13,sequence_47685,127,127,127,127,127,127,127,127,127,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
14,sequence_47679,82,82,82,82,82,82,82,82,82,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
15,sequence_47695,120,120,120,120,120,120,120,120,120,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
16,sequence_47710,133,133,133,133,133,133,133,133,133,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
17,sequence_47686,102,102,102,102,102,102,102,102,102,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18,sequence_47778,56,56,56,56,56,56,56,56,56,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
19,sequence_47780,55,55,55,55,55,55,55,55,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,sequence_47785,72,72,72,72,72,72,72,72,72,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
21,sequence_47803,95,95,95,95,95,95,95,95,95,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22,sequence_47663,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
23,sequence_47757,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
24,sequence_47783,148,148,148,148,148,148,148,148,148,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
25,sequence_47796,119,119,119,119,119,119,119,119,119,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
26,sequence_47750,74,74,74,74,74,74,74,74,74,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
