id,label
sequence_19347,2
sequence_19511,0
sequence_19445,1
sequence_19351,1
sequence_53065,0
sequence_19426,2
sequence_19517,0
sequence_19410,1
sequence_19447,1
sequence_20040,1
sequence_19526,1
sequence_19437,1
sequence_19529,1
sequence_19470,1
sequence_19472,2
sequence_19403,2
sequence_20062,1
sequence_19429,1
sequence_19524,1
sequence_19459,1
sequence_19478,1
sequence_19467,2
sequence_20057,2
sequence_19432,1
sequence_53062,0
sequence_19353,1
sequence_19422,0
sequence_19378,1
sequence_19452,0
sequence_19417,2
sequence_19497,1
sequence_19488,1
sequence_19380,2
sequence_20048,1
sequence_19402,1
sequence_20073,2
sequence_19424,1
sequence_20066,1
sequence_19446,1
sequence_53098,0
sequence_19523,1
sequence_53083,0
sequence_19389,2
sequence_19480,1
sequence_19489,1
sequence_20051,2
sequence_53088,0
sequence_19431,1
sequence_20053,2
sequence_19428,1
sequence_53079,0
sequence_19439,2
sequence_19490,0
sequence_19408,2
sequence_19416,1
sequence_19430,1
sequence_19398,2
sequence_19360,0
sequence_20054,1
sequence_19469,1
sequence_53099,0
sequence_19451,2
sequence_19506,1
sequence_19442,1
sequence_53084,0
sequence_19491,1
sequence_53069,0
sequence_20072,1
sequence_19433,1
sequence_19405,0
sequence_19392,0
sequence_19482,0
sequence_19421,1
sequence_19390,0
sequence_19453,1
sequence_20036,1
sequence_53067,0
sequence_19438,1
sequence_19525,1
sequence_53059,0
sequence_19498,2
sequence_19354,1
sequence_19457,1
sequence_19372,1
sequence_19407,2
sequence_19366,2
sequence_20037,1
sequence_19530,1
sequence_19456,2
sequence_20043,2
sequence_20047,1
sequence_19435,1
sequence_19386,2
sequence_19411,2
sequence_19364,1
sequence_19387,2
sequence_19465,1
sequence_19495,1
sequence_19521,1
sequence_20076,1
sequence_19492,2
sequence_19528,1
sequence_19476,0
sequence_19393,1
sequence_19464,2
sequence_19505,1
sequence_19448,2
sequence_19471,1
sequence_20064,2
sequence_19379,2
sequence_19377,1
sequence_19348,2
sequence_20056,1
sequence_53080,0
sequence_19369,1
sequence_19420,2
sequence_19395,1
sequence_19502,1
sequence_19409,0
sequence_19501,0
sequence_20041,1
sequence_20065,1
sequence_19412,2
sequence_19477,2
sequence_53064,0
sequence_19396,1
sequence_53073,0
sequence_19507,1
sequence_19461,2
sequence_53076,0
sequence_20052,1
sequence_20042,2
sequence_19440,1
sequence_19399,1
sequence_20063,2
sequence_20058,2
sequence_19463,1
sequence_20059,2
sequence_53074,0
sequence_53085,0
sequence_19509,1
sequence_19425,2
sequence_19500,2
sequence_20034,1
sequence_19520,2
sequence_20068,1
sequence_53061,0
sequence_19516,1
sequence_19362,2
sequence_20069,2
sequence_19449,1
sequence_19460,2
sequence_19487,1
sequence_19484,0
sequence_20050,2
sequence_19368,2
sequence_19455,0
sequence_19481,2
sequence_19365,0
sequence_53078,0
sequence_19418,0
sequence_19510,1
sequence_53058,0
sequence_53072,0
sequence_19515,1
sequence_19370,1
sequence_19363,2
sequence_19466,2
sequence_20055,1
sequence_19527,1
sequence_19359,2
sequence_19486,1
sequence_19518,1
sequence_19401,1
sequence_19355,1
sequence_19356,1
sequence_20071,1
sequence_53075,0
sequence_19458,2
sequence_19522,0
sequence_19349,2
sequence_20061,1
sequence_19419,0
sequence_20070,1
sequence_19361,0
sequence_53068,0
sequence_20074,2
sequence_19485,1
sequence_19475,0
sequence_19406,1
sequence_19503,2
sequence_20035,1
sequence_19350,0
sequence_19483,2
sequence_19391,1
sequence_20060,1
sequence_19383,1
sequence_19443,1
sequence_53066,0
sequence_19513,1
sequence_19504,1
sequence_53082,0
sequence_19404,2
sequence_19514,0
sequence_19414,0
sequence_20075,2
sequence_19473,0
sequence_19371,0
sequence_53086,0
sequence_19400,1
sequence_20044,2
sequence_19382,2
sequence_19519,2
sequence_20038,2
sequence_19512,1
sequence_19427,1
sequence_19434,1
sequence_19508,1
sequence_19499,1
sequence_19454,1
sequence_19357,2
sequence_53070,0
sequence_19444,0
sequence_19462,1
sequence_19376,0
sequence_20039,2
sequence_19394,0
sequence_19374,0
sequence_20045,2
sequence_53052,0
sequence_20049,1
sequence_19397,1
sequence_19384,1
sequence_53077,0
sequence_20046,2
sequence_19385,0
sequence_53087,0
sequence_19415,1
sequence_19388,1
sequence_19479,2
sequence_19358,2
sequence_19496,1
sequence_19468,2
sequence_19381,1
sequence_19373,1
sequence_19352,2
sequence_19436,1
sequence_53063,0
sequence_19493,1
sequence_19413,1
sequence_19423,1
sequence_53060,0
sequence_19367,1
sequence_19450,1
sequence_19441,1
sequence_19494,2
sequence_53081,0
sequence_19474,0
sequence_53056,0
sequence_20067,2
sequence_19375,1
