,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,5841.477500000001,0-1-1-1-226-33
515,sequence_19402,43.0,sequence_19347,58.9,56621.5201,0-1-1-1-226-33
775,sequence_20054,49.0,sequence_19347,58.9,63616.1823,0-1-1-1-226-33
95,sequence_53082,55.0,sequence_19511,62.4,20261.410000000003,0-1-1-1-61-28
355,sequence_19402,43.0,sequence_19511,62.4,57865.602600000006,0-1-1-1-61-28
615,sequence_20054,49.0,sequence_19511,62.4,61955.9272,0-1-1-1-61-28
112,sequence_53082,55.0,sequence_19445,45.5,30618.845300000004,1-1-1-1-128-6
372,sequence_19402,43.0,sequence_19445,45.5,56634.9149,1-1-1-1-128-6
632,sequence_20054,49.0,sequence_19445,45.5,53581.3165,1-1-1-1-128-6
228,sequence_53082,55.0,sequence_19351,60.9,25230.7852,1-1-1-1-222-28
488,sequence_19402,43.0,sequence_19351,60.9,54128.2332,1-1-1-1-222-28
748,sequence_20054,49.0,sequence_19351,60.9,61824.5474,1-1-1-1-222-28
96,sequence_53082,55.0,sequence_53065,44.8,51069.153600000005,2-0-0-0-251-23
356,sequence_19402,43.0,sequence_53065,44.8,16639.8976,2-0-0-0-251-23
616,sequence_20054,49.0,sequence_53065,44.8,33359.17140000001,2-0-0-0-251-23
153,sequence_53082,55.0,sequence_19426,56.3,57899.36810000001,2-0-0-0-147-29
413,sequence_19402,43.0,sequence_19426,56.3,24924.5169,2-0-0-0-147-29
673,sequence_20054,49.0,sequence_19426,56.3,14015.1767,2-0-0-0-147-29
235,sequence_53082,55.0,sequence_19517,61.6,54210.66400000001,0-0-0-0-54-30
495,sequence_19402,43.0,sequence_19517,61.6,23320.334800000004,0-0-0-0-54-30
755,sequence_20054,49.0,sequence_19517,61.6,24942.1636,0-0-0-0-54-30
70,sequence_53082,55.0,sequence_19410,49.9,55206.83640000001,2-0-0-0-165-8
330,sequence_19402,43.0,sequence_19410,49.9,16118.8178,2-0-0-0-165-8
590,sequence_20054,49.0,sequence_19410,49.9,24481.4766,2-0-0-0-165-8
21,sequence_53082,55.0,sequence_19447,51.0,55241.30930000001,2-0-0-0-125-18
281,sequence_19402,43.0,sequence_19447,51.0,23417.6993,2-0-0-0-125-18
541,sequence_20054,49.0,sequence_19447,51.0,17182.5951,2-0-0-0-125-18
57,sequence_53082,55.0,sequence_20040,47.2,63610.8931,2-0-0-0-36-14
317,sequence_19402,43.0,sequence_20040,47.2,25904.2629,2-0-0-0-36-14
577,sequence_20054,49.0,sequence_20040,47.2,7298.881499999999,2-0-0-0-36-14
67,sequence_53082,55.0,sequence_19526,49.3,58221.52560000001,2-0-0-0-45-9
327,sequence_19402,43.0,sequence_19526,49.3,18628.4026,2-0-0-0-45-9
587,sequence_20054,49.0,sequence_19526,49.3,23897.5466,2-0-0-0-45-9
158,sequence_53082,55.0,sequence_19437,46.7,62530.9169,2-0-0-0-138-11
418,sequence_19402,43.0,sequence_19437,46.7,17068.9435,2-0-0-0-138-11
678,sequence_20054,49.0,sequence_19437,46.7,16134.200899999998,2-0-0-0-138-11
152,sequence_53082,55.0,sequence_19529,48.8,57280.907600000006,2-0-0-0-43-21
412,sequence_19402,43.0,sequence_19529,48.8,15554.806800000002,2-0-0-0-43-21
672,sequence_20054,49.0,sequence_19529,48.8,26199.834800000004,2-0-0-0-43-21
199,sequence_53082,55.0,sequence_19470,61.0,54827.291,0-0-0-0-102-31
459,sequence_19402,43.0,sequence_19470,61.0,23603.8044,0-0-0-0-102-31
719,sequence_20054,49.0,sequence_19470,61.0,22998.0932,0-0-0-0-102-31
223,sequence_53082,55.0,sequence_19472,59.9,55323.5252,2-0-0-0-94-27
483,sequence_19402,43.0,sequence_19472,59.9,17512.482,2-0-0-0-94-27
743,sequence_20054,49.0,sequence_19472,59.9,23409.0108,2-0-0-0-94-27
113,sequence_53082,55.0,sequence_19403,50.9,23486.8554,1-1-1-1-170-34
373,sequence_19402,43.0,sequence_19403,50.9,54184.2928,1-1-1-1-170-34
633,sequence_20054,49.0,sequence_19403,50.9,64358.2208,1-1-1-1-170-34
85,sequence_53082,55.0,sequence_20062,57.9,55405.3127,2-0-0-0-13-13
345,sequence_19402,43.0,sequence_20062,57.9,26440.2261,2-0-0-0-13-13
605,sequence_20054,49.0,sequence_20062,57.9,14481.266700000002,2-0-0-0-13-13
125,sequence_53082,55.0,sequence_19429,50.9,30373.273500000003,1-1-1-1-144-6
385,sequence_19402,43.0,sequence_19429,50.9,58341.6959,1-1-1-1-144-6
645,sequence_20054,49.0,sequence_19429,50.9,51874.5355,1-1-1-1-144-6
171,sequence_53082,55.0,sequence_19524,46.4,58249.9484,2-0-0-0-48-2
431,sequence_19402,43.0,sequence_19524,46.4,17690.4002,2-0-0-0-48-2
691,sequence_20054,49.0,sequence_19524,46.4,19155.1442,2-0-0-0-48-2
208,sequence_53082,55.0,sequence_19459,59.2,21822.315,0-1-1-1-113-28
468,sequence_19402,43.0,sequence_19459,59.2,57765.9068,0-1-1-1-113-28
728,sequence_20054,49.0,sequence_19459,59.2,60395.0222,0-1-1-1-113-28
227,sequence_53082,55.0,sequence_19478,60.1,55847.008,2-0-0-0-100-27
487,sequence_19402,43.0,sequence_19478,60.1,25172.6418,2-0-0-0-100-27
747,sequence_20054,49.0,sequence_19478,60.1,22025.5872,2-0-0-0-100-27
