id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,14777.460799999997
sequence_53082,55.0,sequence_20054,49.0,15761.556799999998
sequence_53082,55.0,sequence_20048,39.8,15637.32
sequence_53082,55.0,sequence_20036,52.9,14762.166599999999
sequence_53082,55.0,sequence_19525,48.8,14443.622999999998
sequence_53082,55.0,sequence_20061,45.0,13607.4921
sequence_53082,55.0,sequence_19496,48.3,14235.9939
sequence_53082,55.0,sequence_19477,61.5,12947.892800000001
sequence_53082,55.0,sequence_19363,54.6,13713.944599999999
sequence_53082,55.0,sequence_19500,51.2,13251.233400000001
sequence_53082,55.0,sequence_19453,47.3,15173.5209
sequence_53082,55.0,sequence_53075,51.6,11932.920799999998
sequence_53082,55.0,sequence_19522,45.4,13645.833599999998
sequence_53082,55.0,sequence_19523,50.8,13770.986899999998
sequence_53082,55.0,sequence_53078,43.3,13021.894699999999
sequence_53082,55.0,sequence_20069,53.4,13389.1068
sequence_53082,55.0,sequence_53062,49.1,4737.6167000000005
sequence_53082,55.0,sequence_20060,52.6,14081.000999999998
sequence_53082,55.0,sequence_53066,39.2,13500.1521
sequence_53082,55.0,sequence_19417,47.9,15209.6748
sequence_53082,55.0,sequence_19391,46.8,15070.237899999998
sequence_53082,55.0,sequence_19447,51.0,13643.674199999998
sequence_53082,55.0,sequence_53079,47.8,12423.232499999998
sequence_53082,55.0,sequence_20042,49.4,15745.032599999999
sequence_53082,55.0,sequence_19419,53.3,15029.592999999997
sequence_53082,55.0,sequence_19425,56.9,14497.5086
sequence_53082,55.0,sequence_19450,46.0,13574.7672
sequence_53082,55.0,sequence_53085,51.2,10918.1166
sequence_53082,55.0,sequence_19509,50.6,14659.922999999999
sequence_53082,55.0,sequence_53059,47.1,13913.0998
sequence_53082,55.0,sequence_19430,45.7,15108.4088
sequence_53082,55.0,sequence_20052,42.9,15408.359299999998
sequence_53082,55.0,sequence_19369,47.9,6721.557999999999
sequence_53082,55.0,sequence_53064,48.4,12411.1782
sequence_53082,55.0,sequence_20072,48.7,13001.6638
sequence_53082,55.0,sequence_20038,49.1,13856.3828
sequence_53082,55.0,sequence_20039,52.6,14656.0587
sequence_53082,55.0,sequence_19506,49.3,14335.6425
sequence_53082,55.0,sequence_20064,47.3,5380.6566
sequence_53082,55.0,sequence_19530,45.6,13736.966399999998
sequence_53082,55.0,sequence_19498,63.2,13371.821899999999
sequence_53082,55.0,sequence_19504,50.6,6650.9109
sequence_53082,55.0,sequence_19386,50.7,13625.277399999999
sequence_53082,55.0,sequence_19519,50.3,12926.938999999998
sequence_53082,55.0,sequence_19404,51.3,6313.311199999999
sequence_53082,55.0,sequence_19446,39.5,15130.9164
sequence_53082,55.0,sequence_20063,48.9,13203.392299999998
sequence_53082,55.0,sequence_20043,46.6,6800.4596
sequence_53082,55.0,sequence_19497,54.9,13602.655199999997
sequence_53082,55.0,sequence_19490,52.9,13950.800799999999
sequence_53082,55.0,sequence_19376,53.0,15129.0855
sequence_53082,55.0,sequence_19406,53.8,13534.130699999998
sequence_53082,55.0,sequence_19405,48.7,13921.573699999997
sequence_53082,55.0,sequence_19382,52.0,14684.854399999998
sequence_53082,55.0,sequence_20067,50.8,13458.013799999997
sequence_53082,55.0,sequence_19409,51.1,13735.144400000001
sequence_53082,55.0,sequence_19354,60.0,13908.004899999998
sequence_53082,55.0,sequence_20040,47.2,15851.140499999998
sequence_53082,55.0,sequence_19370,51.7,7776.159299999999
sequence_53082,55.0,sequence_19432,51.0,15818.245799999999
sequence_53082,55.0,sequence_19371,49.0,15384.421799999996
sequence_53082,55.0,sequence_19434,48.0,15513.010699999999
sequence_53082,55.0,sequence_19505,42.4,14882.623199999998
sequence_53082,55.0,sequence_53070,45.7,13580.840500000002
sequence_53082,55.0,sequence_19392,50.5,15314.799999999997
sequence_53082,55.0,sequence_19357,58.5,14619.728399999998
sequence_53082,55.0,sequence_20056,56.9,5793.0424
sequence_53082,55.0,sequence_19526,49.3,13625.7916
sequence_53082,55.0,sequence_20046,47.4,14567.391499999998
sequence_53082,55.0,sequence_19443,48.0,13973.035499999998
sequence_53082,55.0,sequence_19410,49.9,13733.257899999999
sequence_53082,55.0,sequence_19390,46.3,15109.3253
sequence_53082,55.0,sequence_19439,49.5,13930.767699999999
sequence_53082,55.0,sequence_20071,44.9,12964.4629
sequence_53082,55.0,sequence_19451,51.0,14286.490699999998
sequence_53082,55.0,sequence_20041,48.5,15070.51
sequence_53082,55.0,sequence_19415,52.8,13664.3509
sequence_53082,55.0,sequence_20035,52.5,14724.965699999999
sequence_53082,55.0,sequence_20051,42.5,15283.205999999998
sequence_53082,55.0,sequence_19397,49.6,15551.128099999998
sequence_53082,55.0,sequence_19394,45.4,14714.251299999998
sequence_53082,55.0,sequence_19374,50.7,15197.9925
sequence_53082,55.0,sequence_19378,52.4,15127.198999999999
sequence_53082,55.0,sequence_19441,49.0,14041.9425
sequence_53082,55.0,sequence_19433,50.1,15344.7369
sequence_53082,55.0,sequence_20062,57.9,13802.054499999998
sequence_53082,55.0,sequence_19393,53.7,15352.000899999997
sequence_53082,55.0,sequence_20065,46.5,14959.935399999998
sequence_53082,55.0,sequence_19383,50.5,13932.399
sequence_53082,55.0,sequence_19422,46.6,14667.258899999997
sequence_53082,55.0,sequence_19495,58.9,14748.590199999999
sequence_53082,55.0,sequence_19431,50.5,16059.9914
sequence_53082,55.0,sequence_20058,54.9,13477.774
sequence_53082,55.0,sequence_19488,51.3,14267.699999999999
sequence_53082,55.0,sequence_19375,49.9,15196.106
sequence_53082,55.0,sequence_19511,62.4,5336.2332
sequence_53082,55.0,sequence_53065,44.8,12136.796499999999
sequence_53082,55.0,sequence_53074,48.3,12001.8278
sequence_53082,55.0,sequence_20050,47.9,14263.1391
sequence_53082,55.0,sequence_19515,50.4,12517.7723
sequence_53082,55.0,sequence_20057,51.9,13745.8082
sequence_53082,55.0,sequence_19438,56.1,14441.477499999999
sequence_53082,55.0,sequence_19486,54.2,14817.497199999998
sequence_53082,55.0,sequence_19389,44.0,15021.372899999998
sequence_53082,55.0,sequence_19468,54.8,13408.8076
sequence_53082,55.0,sequence_20068,50.6,13782.294299999998
sequence_53082,55.0,sequence_19420,40.6,15071.358699999999
sequence_53082,55.0,sequence_20076,55.7,13229.053099999997
sequence_53082,55.0,sequence_20070,51.8,13477.059199999998
sequence_53082,55.0,sequence_19399,47.5,14913.378499999997
sequence_53082,55.0,sequence_19436,46.4,15199.5416
sequence_53082,55.0,sequence_19492,58.5,14990.335799999999
sequence_53082,55.0,sequence_19445,45.5,7651.6595
sequence_53082,55.0,sequence_19403,50.9,6238.608399999999
sequence_53082,55.0,sequence_19428,49.3,14389.5142
sequence_53082,55.0,sequence_19377,50.3,15002.045699999997
sequence_53082,55.0,sequence_19427,53.8,13948.6414
sequence_53082,55.0,sequence_19521,53.0,3895.6157999999996
sequence_53082,55.0,sequence_20045,48.8,14479.4391
sequence_53082,55.0,sequence_19412,55.3,13465.2237
sequence_53082,55.0,sequence_19508,49.5,14534.769699999999
sequence_53082,55.0,sequence_53080,50.4,11645.126399999997
sequence_53082,55.0,sequence_20073,51.0,13588.233999999999
sequence_53082,55.0,sequence_19442,47.4,14129.894900000001
sequence_53082,55.0,sequence_53077,43.5,4148.9856
sequence_53082,55.0,sequence_19429,50.9,7740.3267
sequence_53082,55.0,sequence_19416,49.4,14623.104599999999
sequence_53082,55.0,sequence_20055,46.3,15960.683999999997
sequence_53082,55.0,sequence_19388,48.4,14908.311599999997
sequence_53082,55.0,sequence_20049,43.9,15935.311899999999
sequence_53082,55.0,sequence_20059,52.3,13090.331
sequence_53082,55.0,sequence_19467,64.4,13055.8872
sequence_53082,55.0,sequence_19373,53.1,15671.501399999997
sequence_53082,55.0,sequence_19396,43.1,15317.478299999999
sequence_53082,55.0,sequence_19527,50.1,13662.9925
sequence_53082,55.0,sequence_19435,51.4,15712.1379
sequence_53082,55.0,sequence_53069,50.9,12251.124499999998
sequence_53082,55.0,sequence_19418,47.2,14736.1659
sequence_53082,55.0,sequence_20075,54.9,13738.832900000001
sequence_53082,55.0,sequence_19423,61.2,14530.144699999999
sequence_53082,55.0,sequence_19516,51.9,13633.5956
sequence_53082,55.0,sequence_19512,54.4,5481.6093
