,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,8.709411997276373e-05,0-0-0-0-7
48,sequence_40826,539,sequence_40825,532,0.0001969913351436,0-0-0-0-7
8,sequence_40826,539,sequence_40814,510,0.0010931070880865,0-0-0-0-7
66,sequence_40826,539,sequence_40832,555,0.0010847952969604,0-0-0-0-7
73,sequence_40826,539,sequence_40802,560,0.0010780228970005,0-0-0-0-7
62,sequence_40826,539,sequence_40821,549,0.0006735499869353,0-0-0-0-7
47,sequence_40826,539,sequence_40824,523,0.0005463840516013,0-0-0-0-7
49,sequence_40826,539,sequence_40797,558,0.0005347316044292,0-0-0-0-7
4,sequence_40826,539,sequence_40807,528,0.0008853591833206,0-0-0-0-7
14,sequence_40826,539,sequence_40842,522,0.0024155667686333,0-0-0-0-7
6,sequence_40826,539,sequence_40811,534,0.0024498498287048,0-0-0-0-7
54,sequence_40826,539,sequence_40864,549,0.0007257227408202,0-0-0-0-7
3,sequence_40826,539,sequence_40806,525,0.0007004691471241,0-0-0-0-7
53,sequence_40826,539,sequence_40805,564,0.0003575992984458,0-0-0-0-7
44,sequence_40826,539,sequence_40839,538,0.0008198783853088,0-0-0-0-7
11,sequence_40826,539,sequence_40857,522,0.0013677300269844,0-0-0-0-7
52,sequence_40826,539,sequence_40804,561,9.98801367247948e-05,0-0-0-0-7
43,sequence_40826,539,sequence_40860,535,0.0001032827634044,0-0-0-0-7
9,sequence_40826,539,sequence_40845,495,0.0003849510452893,0-0-0-0-7
46,sequence_40826,539,sequence_40819,532,0.0002807450172752,0-0-0-0-7
67,sequence_40826,539,sequence_40833,549,6.450817658265606e-06,0-0-0-0-7
55,sequence_40826,539,sequence_40808,543,0.0005423994626956,0-0-0-0-7
63,sequence_40826,539,sequence_40822,549,0.0014687364021143,0-0-0-0-7
61,sequence_40826,539,sequence_40820,543,0.0010181800895531,0-0-0-0-7
1,sequence_40826,539,sequence_40789,510,0.0001638828439243,0-0-0-0-7
57,sequence_40826,539,sequence_40862,546,0.0010678173444583,0-0-0-0-7
7,sequence_40826,539,sequence_40813,528,3.659457834082058e-05,0-0-0-0-7
56,sequence_40826,539,sequence_40810,549,0.0018723250671636,0-0-0-0-7
16,sequence_40826,539,sequence_40838,531,0.0002380934410617,0-0-0-0-7
75,sequence_40826,539,sequence_40795,562,0.0013660624550525,0-0-0-0-7
5,sequence_40826,539,sequence_40809,528,0.0007432942909414,0-0-0-0-7
18,sequence_40826,539,sequence_40817,528,0.0008217049493114,0-0-0-0-7
50,sequence_40826,539,sequence_40800,558,6.19485380171092e-06,0-0-0-0-7
10,sequence_40826,539,sequence_40855,522,0.0008886679069753,0-0-0-0-7
71,sequence_40826,539,sequence_40863,566,0.0015835192425468,0-0-0-0-7
17,sequence_40826,539,sequence_40816,531,0.0080464699915054,0-0-0-0-1
19,sequence_40826,539,sequence_40818,522,0.0130846204630821,0-0-0-0-1
34,sequence_40826,539,sequence_40861,464,0.0112920795383932,1-1-1-1-3
36,sequence_40826,539,sequence_40854,465,0.0124369950629225,1-1-1-1-3
30,sequence_40826,539,sequence_40843,495,0.0111375289124832,1-1-1-1-3
37,sequence_40826,539,sequence_40853,463,0.0130578671685557,1-1-1-1-3
40,sequence_40826,539,sequence_40850,462,0.0113592168642376,1-1-1-1-3
28,sequence_40826,539,sequence_40858,495,0.0123807309109822,1-1-1-1-3
35,sequence_40826,539,sequence_40812,464,0.0114941190211371,1-1-1-1-3
29,sequence_40826,539,sequence_40852,474,0.0111784376468524,1-1-1-1-3
24,sequence_40826,539,sequence_40856,498,0.011979821163636,1-1-1-1-3
25,sequence_40826,539,sequence_40815,498,0.0121297545622713,1-1-1-1-3
38,sequence_40826,539,sequence_40848,461,0.0114861907110893,1-1-1-1-3
32,sequence_40826,539,sequence_40791,454,0.0122084041543922,1-1-1-1-3
33,sequence_40826,539,sequence_40793,456,0.01186996764431,1-1-1-1-3
39,sequence_40826,539,sequence_40849,464,0.0116950385577631,1-1-1-1-3
27,sequence_40826,539,sequence_40847,486,0.011482913052109,1-1-1-1-3
13,sequence_40826,539,sequence_40841,528,0.0006615791041696,1-0-0-0-7
12,sequence_40826,539,sequence_40840,528,0.0003905967053712,1-0-0-0-7
69,sequence_40826,539,sequence_40798,579,0.002904259374186,1-0-0-0-8
79,sequence_40826,539,sequence_40867,622,0.0052162423745554,1-0-0-0-8
20,sequence_40826,539,sequence_40827,525,0.0008978640226513,1-0-0-0-8
77,sequence_40826,539,sequence_40799,597,0.0042121962274224,1-0-0-0-8
68,sequence_40826,539,sequence_40830,558,0.00240622647506,1-0-0-0-8
78,sequence_40826,539,sequence_40788,510,0.0030566459476989,1-0-0-0-8
74,sequence_40826,539,sequence_40796,567,0.0038415404696824,1-0-0-0-8
70,sequence_40826,539,sequence_40865,580,0.0030868724608767,1-0-0-0-8
72,sequence_40826,539,sequence_40801,561,0.0024141625070427,1-0-0-0-8
22,sequence_40826,539,sequence_40829,528,0.0038633635925466,0-0-0-0-8
76,sequence_40826,539,sequence_40866,620,0.0039555170699254,0-0-0-0-8
21,sequence_40826,539,sequence_40828,519,0.0030729168608844,0-0-0-0-8
64,sequence_40826,539,sequence_40823,546,0.0021033640609235,0-0-0-0-6
65,sequence_40826,539,sequence_40834,546,0.0026796836333115,0-0-0-0-6
15,sequence_40826,539,sequence_40844,519,0.0026547021096161,1-0-0-0-2
31,sequence_40826,539,sequence_40846,483,0.0041722430603823,0-0-0-0-2
26,sequence_40826,539,sequence_40851,477,0.0038097980434801,0-0-0-0-2
