,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,215.5941,1-1-1-1-0-31
515,sequence_19402,43.0,sequence_19347,58.9,260.5908,1-1-1-1-0-31
775,sequence_20054,49.0,sequence_19347,58.9,258.7629,1-1-1-1-0-31
95,sequence_53082,55.0,sequence_19511,62.4,258.7629,1-1-1-1-126-27
355,sequence_19402,43.0,sequence_19511,62.4,260.5908,1-1-1-1-126-27
615,sequence_20054,49.0,sequence_19511,62.4,258.7629,1-1-1-1-126-27
112,sequence_53082,55.0,sequence_19445,45.5,258.7629,1-1-1-1-9-6
372,sequence_19402,43.0,sequence_19445,45.5,260.5908,1-1-1-1-9-6
632,sequence_20054,49.0,sequence_19445,45.5,258.7629,1-1-1-1-9-6
228,sequence_53082,55.0,sequence_19351,60.9,258.7629,1-1-1-1-83-27
488,sequence_19402,43.0,sequence_19351,60.9,260.5908,1-1-1-1-83-27
748,sequence_20054,49.0,sequence_19351,60.9,258.7629,1-1-1-1-83-27
96,sequence_53082,55.0,sequence_53065,44.8,260.5908,0-0-0-0-235-20
356,sequence_19402,43.0,sequence_53065,44.8,215.5941,0-0-0-0-235-20
616,sequence_20054,49.0,sequence_53065,44.8,258.7629,0-0-0-0-235-20
153,sequence_53082,55.0,sequence_19426,56.3,260.5908,0-0-0-0-25-7
413,sequence_19402,43.0,sequence_19426,56.3,258.7629,0-0-0-0-25-7
673,sequence_20054,49.0,sequence_19426,56.3,188.3417,0-0-0-0-25-7
235,sequence_53082,55.0,sequence_19517,61.6,258.7629,1-0-0-0-131-26
495,sequence_19402,43.0,sequence_19517,61.6,215.5941,1-0-0-0-131-26
755,sequence_20054,49.0,sequence_19517,61.6,258.7629,1-0-0-0-131-26
70,sequence_53082,55.0,sequence_19410,49.9,260.5908,0-0-0-0-66-4
330,sequence_19402,43.0,sequence_19410,49.9,258.7629,0-0-0-0-66-4
590,sequence_20054,49.0,sequence_19410,49.9,188.3417,0-0-0-0-66-4
21,sequence_53082,55.0,sequence_19447,51.0,258.7629,1-0-0-0-11-4
281,sequence_19402,43.0,sequence_19447,51.0,258.7629,1-0-0-0-11-4
541,sequence_20054,49.0,sequence_19447,51.0,188.3417,1-0-0-0-11-4
57,sequence_53082,55.0,sequence_20040,47.2,260.5908,0-0-0-0-203-5
317,sequence_19402,43.0,sequence_20040,47.2,258.7629,0-0-0-0-203-5
577,sequence_20054,49.0,sequence_20040,47.2,188.3417,0-0-0-0-203-5
67,sequence_53082,55.0,sequence_19526,49.3,258.7629,1-0-0-0-140-26
327,sequence_19402,43.0,sequence_19526,49.3,215.5941,1-0-0-0-140-26
587,sequence_20054,49.0,sequence_19526,49.3,258.7629,1-0-0-0-140-26
158,sequence_53082,55.0,sequence_19437,46.7,260.5908,0-0-0-0-35-9
418,sequence_19402,43.0,sequence_19437,46.7,258.7629,0-0-0-0-35-9
678,sequence_20054,49.0,sequence_19437,46.7,231.5105,0-0-0-0-35-9
152,sequence_53082,55.0,sequence_19529,48.8,260.5908,0-0-0-0-144-17
412,sequence_19402,43.0,sequence_19529,48.8,215.5941,0-0-0-0-144-17
672,sequence_20054,49.0,sequence_19529,48.8,258.7629,0-0-0-0-144-17
199,sequence_53082,55.0,sequence_19470,61.0,260.5908,0-0-0-0-157-24
