,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_47787,0,0,0,0,0,0,0,0,0,0
1,sequence_47684,2,2,2,2,2,2,2,2,0,0
2,sequence_47789,0,0,0,0,0,0,0,0,0,0
3,sequence_47790,0,0,0,0,0,0,0,0,0,0
4,sequence_47781,5,4,5,5,5,4,4,4,0,0
5,sequence_47777,5,4,5,5,5,4,4,4,0,0
6,sequence_47779,5,4,5,5,5,4,4,4,0,0
7,sequence_47784,3,3,3,3,3,11,11,11,0,0
8,sequence_47786,15,16,16,16,16,15,15,15,0,0
9,sequence_47782,3,3,3,3,3,13,13,13,0,0
10,sequence_47772,0,0,0,0,0,0,0,0,0,0
11,sequence_47795,1,1,1,1,1,1,1,1,0,0
12,sequence_47776,0,0,0,0,0,0,0,0,0,0
13,sequence_47685,2,2,2,2,2,2,2,2,0,0
14,sequence_47679,4,11,4,4,4,3,3,3,0,0
15,sequence_47695,2,2,2,2,2,2,2,2,0,0
16,sequence_47710,2,2,2,2,2,2,2,2,0,0
17,sequence_47686,2,2,2,2,2,2,2,2,0,0
18,sequence_47778,5,4,5,5,5,4,4,4,0,0
19,sequence_47780,5,4,5,5,5,4,4,4,0,0
20,sequence_47785,0,0,0,0,0,0,0,0,0,0
21,sequence_47803,0,0,0,0,0,0,0,0,0,0
22,sequence_47663,7,6,7,6,6,5,5,5,0,0
23,sequence_47757,7,6,7,6,6,5,5,5,0,0
24,sequence_47783,6,5,6,7,7,6,6,6,0,0
25,sequence_47796,3,3,3,3,3,11,11,11,0,0
26,sequence_47750,8,7,8,8,8,7,7,7,0,0
27,sequence_47760,16,17,17,17,17,16,16,16,0,0
28,sequence_47773,0,0,0,0,0,0,0,0,0,0
29,sequence_47768,5,4,5,5,5,4,4,4,0,0
30,sequence_47771,0,0,0,0,0,0,0,0,0,0
31,sequence_47681,4,11,4,4,4,3,3,3,0,0
32,sequence_47696,2,2,2,2,2,2,2,2,0,0
33,sequence_47680,4,11,4,4,4,3,3,3,0,0
34,sequence_47673,10,9,10,10,10,9,9,9,0,0
35,sequence_47700,10,9,10,10,10,9,9,9,0,0
