,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,29.21216090069805,2-1-1-1-31
253,sequence_53082,55.0,sequence_53099,53.0,24.668999885941872,2-1-1-1-31
117,sequence_53082,55.0,sequence_19521,53.0,62.80333950945287,2-1-1-1-31
259,sequence_53082,55.0,sequence_19401,47.4,59.09877561298823,2-1-1-1-31
515,sequence_19402,43.0,sequence_19347,58.9,203.43022804891885,2-1-1-1-31
513,sequence_19402,43.0,sequence_53099,53.0,207.97338906367503,2-1-1-1-31
377,sequence_19402,43.0,sequence_19521,53.0,198.98145186339164,2-1-1-1-31
519,sequence_19402,43.0,sequence_19401,47.4,173.54361333662868,2-1-1-1-31
775,sequence_20054,49.0,sequence_19347,58.9,226.0190178439124,2-1-1-1-31
773,sequence_20054,49.0,sequence_53099,53.0,229.53645857348425,2-1-1-1-31
637,sequence_20054,49.0,sequence_19521,53.0,211.19305318565063,2-1-1-1-31
779,sequence_20054,49.0,sequence_19401,47.4,226.51925965476244,2-1-1-1-31
95,sequence_53082,55.0,sequence_19511,62.4,83.85289488524728,2-1-1-1-24
208,sequence_53082,55.0,sequence_19459,59.2,90.94024279275284,2-1-1-1-24
66,sequence_53082,55.0,sequence_20056,56.9,83.31142401716136,2-1-1-1-24
221,sequence_53082,55.0,sequence_19461,61.2,75.84763574528736,2-1-1-1-24
167,sequence_53082,55.0,sequence_53076,46.3,77.4654737365994,2-1-1-1-24
213,sequence_53082,55.0,sequence_19463,62.7,88.56878315435338,2-1-1-1-24
176,sequence_53082,55.0,sequence_19484,52.0,108.50260735965348,2-1-1-1-24
141,sequence_53082,55.0,sequence_19512,54.4,85.98095316476162,2-1-1-1-24
355,sequence_19402,43.0,sequence_19511,62.4,204.0706964951196,2-1-1-1-24
468,sequence_19402,43.0,sequence_19459,59.2,202.0712418259872,2-1-1-1-24
326,sequence_19402,43.0,sequence_20056,56.9,222.20964202462636,2-1-1-1-24
481,sequence_19402,43.0,sequence_19461,61.2,201.9296170740949,2-1-1-1-24
427,sequence_19402,43.0,sequence_53076,46.3,229.4911012930101,2-1-1-1-24
473,sequence_19402,43.0,sequence_19463,62.7,201.59650844469277,2-1-1-1-24
436,sequence_19402,43.0,sequence_19484,52.0,203.8382287078568,2-1-1-1-24
401,sequence_19402,43.0,sequence_19512,54.4,201.9057184286057,2-1-1-1-24
615,sequence_20054,49.0,sequence_19511,62.4,225.38862370060505,2-1-1-1-24
728,sequence_20054,49.0,sequence_19459,59.2,218.30127579309948,2-1-1-1-24
586,sequence_20054,49.0,sequence_20056,56.9,197.67909895706924,2-1-1-1-24
741,sequence_20054,49.0,sequence_19461,61.2,216.3605751020625,2-1-1-1-24
687,sequence_20054,49.0,sequence_53076,46.3,205.9055521321273,2-1-1-1-24
733,sequence_20054,49.0,sequence_19463,62.7,218.29223253700283,2-1-1-1-24
696,sequence_20054,49.0,sequence_19484,52.0,207.28193462023285,2-1-1-1-24
661,sequence_20054,49.0,sequence_19512,54.4,224.99247163308132,2-1-1-1-24
112,sequence_53082,55.0,sequence_19445,45.5,117.69588949702344,2-1-1-1-8
125,sequence_53082,55.0,sequence_19429,50.9,116.7398398545409,2-1-1-1-8
